# per-agent token counts, derived by _ledger.py from session transcripts
# transcript manifest sha1: db1935b7ba8a0218c5f9de3402f885c457ec418a  (572 agents)
# uncached/cc5m/cc1h/cache_read/output: summed over requests, final row per requestId.
# ctx_final: the last request's context — this is what a task notification reports.
# reported: subagent_tokens as the task notification stated it (0 = not found).
# cc_after_gap: cache creation on a request >5min after the previous one.
# bytes_*: tool-result bytes by the material the call pulled in (not tokens).
round	role	arm	review	part	session	agent	t0	requests	tools	uncached	cc5m	cc1h	cache_read	output	ctx_final	reported	cc_after_gap	bytes_catalogue	bytes_diff	bytes_harness	bytes_other
round 17	review	N	1	b	e392c887	aa0e11bbb88171d0d	2026-08-08T15:24:17.208Z	8	15	15	74498	0	303575	23691	84523	84626	0	69112	23125	4242	0
round 17	review	N	1	c	e392c887	a1253daf2ddd9ee0c	2026-08-08T15:24:21.050Z	7	9	13	118160	0	194882	27777	82727	82765	0	51189	23358	4242	0
round 17	review	W	2	a	e392c887	a1a64ecaf174c035b	2026-08-08T15:24:22.034Z	8	10	15	114250	0	248703	32041	80830	80927	0	45716	23125	4242	0
round 17	review	W	2	b	e392c887	a85b482776136f04e	2026-08-08T15:24:25.062Z	7	9	13	115427	0	204418	28967	79728	79796	0	51057	23125	4242	0
round 17	review	W	2	c	e392c887	aa4bd199b4fd5302d	2026-08-08T15:24:27.104Z	7	11	13	121366	0	199600	29482	84846	84963	0	55520	23125	4242	0
round 17	review	N	2	a	e392c887	a969f55b63d9b5aec	2026-08-08T15:24:30.662Z	7	12	13	117239	0	192895	26906	81387	81456	0	50593	23125	4242	0
round 17	review	N	2	b	e392c887	a8f9d61b16c931272	2026-08-08T15:24:33.150Z	7	10	13	124581	0	198582	34167	86390	86447	0	54369	23358	4242	0
round 17	review	N	2	c	e392c887	a66f7406ff4ea7f04	2026-08-08T15:24:34.755Z	8	12	15	71288	0	301418	28011	81313	81447	0	58525	23125	4242	0
round 17	review	W	3	a	e392c887	aa4b8520398d3499e	2026-08-08T15:32:18.151Z	7	11	13	123865	0	203678	31919	86231	86289	0	57613	23125	4242	0
round 17	review	W	3	b	e392c887	af999b7d43664d4a0	2026-08-08T15:32:20.564Z	8	12	15	126204	0	261714	34677	86821	86880	0	55043	23125	4242	0
round 17	review	W	3	c	e392c887	a527935b57757c70b	2026-08-08T15:32:23.181Z	8	12	1445	138255	0	258882	32324	92655	92720	0	78365	23125	4242	0
round 17	review	N	3	a	e392c887	a68952cab5e785705	2026-08-08T15:32:25.669Z	8	15	15	136743	0	252111	34172	92607	92674	0	73220	23125	4242	0
round 17	review	N	3	b	e392c887	abd0f0281fea1a891	2026-08-08T15:32:28.752Z	7	12	13	133496	0	209758	35540	91228	91299	0	66167	23125	4242	0
round 17	review	N	3	c	e392c887	a08787b84babfd3c6	2026-08-08T15:32:30.988Z	7	9	13	112593	0	201765	25456	78687	78759	0	47915	23125	4242	0
round 17	review	W	4	a	e392c887	a3e181c06632e0d7e	2026-08-08T15:32:34.431Z	8	10	15	146537	0	255595	31115	96683	96750	0	49769	23358	4242	44807
round 17	review	W	4	b	e392c887	ab6361df368a3aaa2	2026-08-08T15:32:36.556Z	7	12	13	128955	0	204076	4877	89274	89383	0	62559	23125	4242	0
round 17	review	W	4	c	e392c887	a52cc1564cce2e1d4	2026-08-08T15:32:38.857Z	7	10	13	68209	0	250336	26158	78234	78300	0	52710	23358	4242	0
round 17	review	N	4	a	e392c887	a01a9ccd03a958770	2026-08-08T15:32:41.863Z	6	8	11	116865	0	149456	33909	83214	83265	0	47647	23125	4242	0
round 17	review	N	4	b	e392c887	af58e09e987965f12	2026-08-08T15:32:43.673Z	8	12	15	141256	0	257047	30602	95278	95342	85253	75806	23125	4242	0
round 17	review	N	4	c	e392c887	a9170cf909c1aab65	2026-08-08T15:32:46.350Z	6	10	11	122085	0	150468	35556	85879	85952	75854	50010	23125	4242	0
round 17	review	W	5	a	e392c887	abaec4e638df10637	2026-08-08T15:41:14.826Z	7	9	13	109813	0	193149	28799	77130	77208	0	42284	23125	4242	0
round 17	review	W	5	b	e392c887	a753bf7145113099c	2026-08-08T15:41:17.138Z	7	10	13	111992	0	191356	3855	79324	79379	0	44398	23125	4242	0
round 17	review	W	5	c	e392c887	a8b72f2e4af5a38a1	2026-08-08T15:41:19.852Z	9	10	17	118447	0	272939	34852	84657	84732	0	48401	23125	4242	0
round 17	review	N	5	a	e392c887	a9b749e062c6c6c2b	2026-08-08T15:41:22.229Z	8	10	15	69502	0	268463	29211	79527	79595	0	50606	23125	4242	0
round 17	review	N	5	b	e392c887	ae0d960380943c6f3	2026-08-08T15:41:24.716Z	8	9	15	67387	0	255408	7010	77411	77496	0	43455	24270	4242	0
round 17	review	N	5	c	e392c887	a5e3fb2ef116a42ea	2026-08-08T15:41:27.548Z	6	8	11	114607	0	148891	30062	82001	82044	0	45703	23125	4242	0
round 17	review	W	6	a	e392c887	acb19878cb1e4fbe1	2026-08-08T15:41:29.637Z	10	14	19	76020	0	431457	26900	86045	86119	0	59236	23125	4242	2
round 17	review	W	6	b	e392c887	ac7a217d7b9995f45	2026-08-08T15:41:32.248Z	10	17	18	81725	0	397558	17434	91749	91846	0	53378	23125	4242	2
round 17	review	W	6	c	e392c887	aa4683df02d69148a	2026-08-08T15:41:36.844Z	7	11	13	124884	0	203114	4158	86789	86899	0	60703	23125	4242	0
round 17	review	N	6	a	e392c887	a85be8798c8f37f2b	2026-08-08T15:41:38.899Z	8	11	881	129840	0	260748	33256	88094	88161	0	63533	23125	4242	0
round 17	review	N	6	b	e392c887	a18849a41be702071	2026-08-08T15:41:41.187Z	8	11	15	122002	0	244125	34280	85792	85858	0	53581	23125	4242	0
round 17	review	N	6	c	e392c887	a60c9091465b26090	2026-08-08T15:41:42.234Z	8	13	15	127040	0	259746	30306	85883	85984	0	62803	23125	4242	0
0	cluster	0	0	0	e392c887	ac38581f237b519fb	2026-08-08T15:51:24.885Z	8	9	10348	121675	0	532554	31198	131700	131752	0	0	23125	4134	171999
0	cluster	0	0	0	e392c887	a68700c6983bb0777	2026-08-08T15:51:26.902Z	8	8	15	66653	0	388225	11879	76678	76719	0	0	2555	4136	101830
0	cluster	0	0	0	e392c887	a5be30b8b0fd8d714	2026-08-08T15:51:30.140Z	9	9	17	62953	0	441548	13726	72978	73074	0	0	3287	4134	88118
0	cluster	0	0	0	e392c887	a8fcdf77e6c48c7fd	2026-08-08T15:51:33.463Z	4	4	8	43516	0	98668	7069	53541	53584	0	0	0	3896	63364
0	cluster	0	0	0	e392c887	a991e1c7edf31e58b	2026-08-08T15:51:37.507Z	8	8	16	56314	0	357228	3448	66339	66436	0	0	1913	4137	70546
0	cluster	0	0	0	e392c887	a4477c9db7d241009	2026-08-08T15:51:40.146Z	5	6	10	52103	0	178876	11297	62128	62160	0	0	23125	4138	48488
0	cluster	0	0	0	e392c887	aaa752a50e888467e	2026-08-08T15:53:37.330Z	6	6	12	54061	0	250722	12833	64086	64121	0	0	2995	4295	70255
0	adjudicate	0	0	0	e392c887	aab0cc434baaa5126	2026-08-08T15:57:20.598Z	5	5	10	32745	0	127604	8953	42770	42823	0	0	23125	2893	4721
0	adjudicate	0	0	0	e392c887	a7a8d1aea09242747	2026-08-08T15:57:23.571Z	5	5	10	32996	0	127946	9175	43021	43080	0	0	23125	2893	4721
0	adjudicate	0	0	0	e392c887	a1eaf631110fd397a	2026-08-08T15:57:26.084Z	6	5	12	36046	0	166474	12011	46071	46113	0	0	23125	2893	4721
round 17	review	W	7	a	e392c887	a108ef15508bc2fa8	2026-08-08T16:17:13.737Z	7	8	14	73530	0	238718	24181	73532	73618	0	48152	23125	4242	0
round 17	review	W	7	b	e392c887	a7d5a7613e2995c86	2026-08-08T16:17:16.151Z	8	9	15	136934	0	256208	28139	90126	90180	0	45733	23125	4242	39817
round 17	review	W	7	c	e392c887	aa5d17fd2b57a4e67	2026-08-08T16:17:18.886Z	8	12	881	123254	0	247983	33070	85454	85515	0	56275	23125	4242	0
round 17	review	N	7	a	e392c887	a1090b9f21780bb3e	2026-08-08T16:17:21.594Z	7	10	13	62776	0	235830	24449	72801	72868	0	43751	23125	4242	0
round 17	review	N	7	b	e392c887	a0002a19cf14bc27f	2026-08-08T16:17:24.471Z	8	10	15	71022	0	306594	24601	81047	81116	0	52579	23125	4242	0
round 17	review	N	7	c	e392c887	afd6b208e68eafe64	2026-08-08T16:17:26.161Z	8	9	15	148532	0	249536	32105	98415	98480	0	41628	23125	4242	55552
round 17	review	W	8	a	e392c887	a8c5729e06a60e06a	2026-08-08T16:17:30.410Z	7	16	13	139865	0	205529	32794	93345	93432	0	80147	23125	4475	0
round 17	review	W	8	b	e392c887	a49fd4fe27663a3cb	2026-08-08T16:17:33.641Z	7	10	13	116721	0	202712	26087	80666	80743	0	53445	23125	4242	0
round 17	review	W	8	c	e392c887	ae22f8cadeb769c04	2026-08-08T16:17:34.628Z	8	13	15	131793	0	258946	35393	91199	91258	0	64120	23125	4242	0
round 17	review	N	8	a	e392c887	adccec0d9e95006eb	2026-08-08T16:17:36.970Z	6	8	11	69118	0	197670	28389	79143	79189	0	50963	23125	4242	0
round 17	review	N	8	b	e392c887	ad2ef1a43f113f7e0	2026-08-08T16:17:38.870Z	10	14	19	128568	0	333249	30801	87462	87609	0	57757	23358	4242	0
round 17	review	N	8	c	e392c887	a2c57b4235ee88be8	2026-08-08T16:17:42.549Z	7	10	13	65119	0	234705	4602	75144	75193	0	49832	23125	4242	0
round 17	review	W	9	a	e392c887	adfb9d06dc4691246	2026-08-08T16:26:09.169Z	8	10	15	115868	0	252071	30688	81258	81315	71233	49714	23125	4242	0
round 17	review	W	9	b	e392c887	a94e9e900a8f6a00f	2026-08-08T16:26:11.078Z	9	14	17	137587	0	313748	28823	89653	89797	79628	79993	23125	4242	0
round 17	review	W	9	c	e392c887	a22fc6b1938bc3351	2026-08-08T16:26:13.819Z	7	11	13	106833	0	190322	30198	76187	76250	66162	36018	23125	4242	0
round 17	review	N	9	a	e392c887	a6166687995c46a34	2026-08-08T16:26:17.383Z	8	12	15	128286	0	258925	34096	88706	88791	78681	62369	23358	4242	0
round 17	review	N	9	b	e392c887	af5ff14bbff36c8d4	2026-08-08T16:26:20.338Z	11	14	21	129224	0	437668	27012	85697	85819	75672	75905	23125	4242	0
round 17	review	N	9	c	e392c887	a854045bc66df70bf	2026-08-08T16:26:21.230Z	7	9	13	113282	0	204021	27705	77759	77830	67734	48765	23125	4242	0
0	cluster	0	0	0	e392c887	ac74372a9ea3a87ab	2026-08-08T16:43:42.312Z	6	6	12	68116	0	242454	16025	78141	78199	0	0	0	4289	101175
0	cluster	0	0	0	e392c887	a373da5dc3a11fd33	2026-08-08T16:43:43.454Z	5	5	10	40919	0	167281	4560	50944	50982	0	0	0	4285	60483
0	cluster	0	0	0	e392c887	a00dd93fc062bf970	2026-08-08T16:43:48.031Z	5	6	10	51087	0	180839	7908	61112	61144	0	0	23125	4199	52815
0	cluster	0	0	0	e392c887	ab2f8e719fa033b24	2026-08-08T16:43:51.606Z	5	6	10343	42962	0	153643	3848	52987	53026	0	0	23125	4176	42120
0	cluster	0	0	0	e392c887	a420fd80214886d0b	2026-08-08T16:43:55.208Z	7	7	14	38557	0	228451	7316	48582	48632	0	0	6910	4287	40718
0	cluster	0	0	0	e392c887	acc8ca09675915b07	2026-08-08T16:43:58.879Z	7	7	7448	35884	0	203407	7303	45909	45960	0	0	6356	4288	35707
0	adjudicate	0	0	0	e392c887	aa6c5e15aaea7ed7c	2026-08-08T16:52:30.939Z	5	5	10	23958	0	117364	1410	33983	34042	0	0	23125	2893	939
0	adjudicate	0	0	0	e392c887	a8430e8bfc61b7598	2026-08-08T16:52:34.290Z	5	5	377	24094	0	117222	1736	34119	34173	0	0	23125	2893	939
0	adjudicate	0	0	0	e392c887	a47d3039045b2ac15	2026-08-08T16:52:37.257Z	6	5	12	27140	0	154883	2327	37165	37215	0	0	23125	2893	939
0	other	0	0	0	e5fcdaef	a3d16f15b7b74d436	2026-08-09T06:30:23.544Z	8	10	15	155832	0	274481	32882	92058	92111	0	76555	23125	4506	0
0	other	0	0	0	e5fcdaef	a62d26a386977b2be	2026-08-09T06:30:25.512Z	10	15	19	138022	0	400662	40156	97124	97245	86878	68444	23125	4506	403
0	other	0	0	0	e5fcdaef	a82d38a9a0a135104	2026-08-09T06:30:27.645Z	10	15	19	142817	0	409060	44352	101085	101172	90839	66660	23125	4506	0
round 18	review	W2	1	a	e5fcdaef	a8a105d72a422408e	2026-08-09T06:41:20.528Z	8	12	15	64212	0	329214	19676	74229	74323	14170	50314	23125	4506	204
round 18	review	W2	1	b	e5fcdaef	ad560f73c11a36165	2026-08-09T06:41:23.723Z	13	20	24	108352	0	737201	41385	118368	118532	22927	119691	23125	4506	2
round 18	review	W2	1	c	e5fcdaef	abf3f5604939645bc	2026-08-09T06:41:50.878Z	8	9	15	126198	0	285863	28970	85031	85106	74781	68057	23125	4506	0
round 18	review	N	1	a	e5fcdaef	a22b8cece299e734e	2026-08-09T06:41:53.431Z	8	13	15	112147	0	269474	28530	77705	77791	67457	46339	23125	4500	0
round 18	review	N	1	b	e5fcdaef	a0a6162451b74d653	2026-08-09T06:41:56.744Z	8	13	15	120206	0	283146	31545	85286	85437	75038	50144	23125	4500	0
round 18	review	N	1	c	e5fcdaef	a537910a8c528f31a	2026-08-09T06:41:57.026Z	10	15	19	138340	0	394550	6042	95331	95436	85056	38763	23125	4500	31106
round 18	review	W2	2	a	e5fcdaef	a50204c2d3f2bb8ae	2026-08-09T06:41:59.065Z	9	17	2872	130987	0	342609	28791	90430	90513	80181	69279	23125	4506	0
round 18	review	W2	2	b	e5fcdaef	a7646c7e8e487808f	2026-08-09T06:42:01.050Z	6	7	11	111183	0	178817	29024	80084	80124	69835	43808	23125	4506	0
round 18	review	W2	2	c	e5fcdaef	aad41bf3c1d3df8ef	2026-08-09T06:42:03.306Z	10	14	19	184070	0	442871	44944	121417	121502	111161	77366	23125	4506	50487
round 18	review	N	2	a	e5fcdaef	a47d5c60b222d3567	2026-08-09T06:42:05.394Z	9	15	17	124579	0	336612	34449	86200	86281	75952	53151	23125	4500	480
round 18	review	N	2	b	e5fcdaef	a789ef454166928a1	2026-08-09T06:42:09.028Z	7	14	13	127147	0	237229	28605	85349	85439	75101	63514	23125	4500	0
round 18	review	N	2	c	e5fcdaef	a9a011eee8537e956	2026-08-09T06:42:09.099Z	8	14	15	121840	0	283424	28902	82515	82654	72267	59814	23125	4500	0
round 18	review	W2	3	a	e5fcdaef	a49a862dd9a33a833	2026-08-09T06:55:33.720Z	8	9	15	134734	0	271784	5738	86444	86503	86182	57314	23125	4506	0
round 18	review	W2	3	b	e5fcdaef	a39e2f9bc2015fbda	2026-08-09T06:55:35.536Z	12	20	1865	164028	0	520767	36118	107799	107914	97549	107405	23125	4506	0
round 18	review	W2	3	c	e5fcdaef	a0107cef171c3b3fb	2026-08-09T06:55:37.527Z	9	14	17	126663	0	335712	29630	85780	85856	0	64036	23125	4506	0
round 18	review	N	3	b	e5fcdaef	ac751df3c25a068ee	2026-08-09T06:55:41.383Z	8	12	15	122760	0	266811	21697	76570	76706	76337	53069	23125	4500	0
round 18	review	N	3	a	e5fcdaef	a48bff995fd6fba13	2026-08-09T06:55:41.795Z	9	12	883	125095	0	338536	32907	87598	87701	0	61484	23125	4500	0
round 18	review	N	3	c	e5fcdaef	a33b00c638b85cb78	2026-08-09T06:55:43.326Z	7	12	13	113312	0	226820	24737	77410	77473	67162	54427	23125	4500	0
round 18	review	W2	4	a	e5fcdaef	aa8bfa79588a7e3ef	2026-08-09T06:55:46.643Z	7	11	13	128509	0	221239	29609	82601	82685	82339	55780	23125	4506	0
round 18	review	W2	4	b	e5fcdaef	a4e00d9e3b06d01d4	2026-08-09T06:55:47.993Z	7	8	13	134587	0	224499	30895	86726	86801	86369	66187	23125	4506	0
round 18	review	W2	4	c	e5fcdaef	aaa175c5ee2d3a053	2026-08-09T06:55:51.335Z	10	11	19	145656	0	398929	38016	99052	99140	88796	49681	23125	4506	31830
round 18	review	N	4	a	e5fcdaef	afeecf0f9492f60a6	2026-08-09T06:55:52.641Z	8	12	15	125897	0	291226	34065	86991	87123	0	56099	23125	4500	0
round 18	review	N	4	b	e5fcdaef	ac08a232234de848c	2026-08-09T06:55:54.073Z	9	14	17	125818	0	336041	32581	86342	86448	76094	58311	23125	4500	0
round 18	review	N	4	c	e5fcdaef	ade5510e85dd0969d	2026-08-09T06:55:57.312Z	8	15	15	132132	0	296275	29296	87886	87989	77638	73814	23125	4500	0
round 18	review	W2	5	a	e5fcdaef	a043ad5d38d2ac87e	2026-08-09T07:08:11.218Z	9	14	17	128556	0	344575	31522	89521	89650	79244	59638	23125	4506	0
round 18	review	W2	5	b	e5fcdaef	adb62aacf7ee505a5	2026-08-09T07:08:14.112Z	8	13	15	137355	0	305121	40523	96352	96416	86102	66511	23125	4506	0
round 18	review	W2	5	c	e5fcdaef	a78efad9bf4b0914a	2026-08-09T07:08:15.451Z	8	13	1426	129502	0	297232	33733	90099	90175	79849	66070	23125	4506	0
round 18	review	N	5	a	e5fcdaef	aef2c0a7163046ea2	2026-08-09T07:08:17.717Z	7	12	13	65232	0	271810	23377	75249	75317	0	54795	23125	4500	0
round 18	review	N	5	b	e5fcdaef	a2797767fc4ef907f	2026-08-09T07:08:19.670Z	8	10	15	120125	0	287435	30620	83149	83217	0	55995	23125	4500	0
round 18	review	N	5	c	e5fcdaef	a504ac8fcfdc6cb5c	2026-08-09T07:08:21.902Z	8	11	15	115510	0	279247	3939	82193	82289	71945	47479	23125	4500	0
round 18	review	W2	6	a	e5fcdaef	a58a064e4b9ecda92	2026-08-09T07:08:24.153Z	9	11	17	152388	0	347856	35639	103534	103610	93284	53987	23125	4506	34274
round 18	review	W2	6	b	e5fcdaef	ad242400563b9ea69	2026-08-09T07:08:26.438Z	8	15	7295	130135	0	297793	1926	93550	93659	83300	76973	23125	4506	0
round 18	review	W2	6	c	e5fcdaef	a591a0c224ffd1cff	2026-08-09T07:08:28.425Z	9	12	17	118995	0	339123	28338	83137	83211	0	53809	23125	4506	0
round 18	review	N	6	a	e5fcdaef	a0934c80254cf6c03	2026-08-09T07:08:30.776Z	9	14	958	125944	0	333353	31989	86444	86518	76196	61597	23125	4500	0
round 18	review	N	6	b	e5fcdaef	afaff4cc61c5c25ea	2026-08-09T07:08:33.174Z	8	10	15	113523	0	278911	26430	79324	79430	0	48194	23125	4500	0
round 18	review	N	6	c	e5fcdaef	aa6f4be3e710b6bee	2026-08-09T07:08:34.436Z	9	16	4300	132987	0	340759	38759	92017	92129	81770	56780	23125	4500	982
0	cluster	0	0	0	e5fcdaef	aa17ac9d530edaa4b	2026-08-09T07:24:00.659Z	8	9	15	112803	0	565466	23107	121247	121301	0	0	0	2969	195521
0	cluster	0	0	0	e5fcdaef	a86447a9f4eb034b1	2026-08-09T07:24:04.581Z	6	7	11	67571	0	289196	17453	77596	77650	0	0	0	2960	99285
0	cluster	0	0	0	e5fcdaef	a046f6bc6afb8ab2c	2026-08-09T07:24:08.985Z	6	6	12	47673	0	234152	8289	57699	57741	0	0	0	2936	73277
0	cluster	0	0	0	e5fcdaef	a28769dafc11dca4b	2026-08-09T07:24:11.988Z	6	7	12	51869	0	252417	6516	61895	61964	0	0	0	2964	83367
0	cluster	0	0	0	e5fcdaef	a11bc2c6cb9d4e415	2026-08-09T07:24:16.992Z	6	6	12	47581	0	228561	10072	57607	57648	0	0	0	2938	66751
0	cluster	0	0	0	e5fcdaef	a4b6c7ec49e2d0ba8	2026-08-09T07:24:20.383Z	5	5	10	33021	0	136285	3004	43047	43082	0	0	0	6590	43529
0	cluster	0	0	0	e5fcdaef	a39e789691ce1ac05	2026-08-09T07:24:24.053Z	5	5	10	39425	0	156743	7344	49451	49490	0	0	0	2969	53373
0	cluster	0	0	0	e5fcdaef	a03604d7df6e8bbab	2026-08-09T07:24:28.552Z	5	5	10	30095	0	128087	7737	40121	40165	0	0	0	2836	27852
0	adjudicate	0	0	0	e5fcdaef	ae7cddd8341b07c10	2026-08-09T07:33:44.959Z	5	5	667	28126	0	117955	3949	36570	36632	0	0	23125	2942	1860
0	adjudicate	0	0	0	e5fcdaef	a3027260794527d65	2026-08-09T07:33:47.573Z	5	5	667	26427	0	119491	3760	36444	36498	0	0	23125	2781	1860
0	adjudicate	0	0	0	e5fcdaef	a082fcf3700e59cdb	2026-08-09T07:33:49.865Z	5	5	667	26911	0	119881	4086	36928	36988	0	0	23125	2942	1860
round 19	review	W	1	a	e5fcdaef	a1e0a01ca787afc5b	2026-08-09T11:08:49.295Z	7	11	13	132335	0	224768	31681	84830	84891	0	58037	23125	4500	0
round 19	review	W	1	b	e5fcdaef	af8d52199282884eb	2026-08-09T11:08:51.543Z	10	18	19	146368	0	414674	33742	97263	97364	87015	88446	23125	4500	0
round 19	review	W	1	c	e5fcdaef	a7cbb941619a27611	2026-08-09T11:08:54.700Z	7	9	13	129675	0	236444	30519	88539	88606	0	73307	23125	4500	0
round 19	review	W2	1	a	e5fcdaef	a0eed950918c29ff6	2026-08-09T11:08:56.819Z	10	18	19	135258	0	401658	32246	90583	90702	0	71171	23125	4745	0
round 19	review	W2	1	b	e5fcdaef	a84a3d8d44d24bf8b	2026-08-09T11:08:58.137Z	8	23	15	224582	0	276518	37828	116249	116336	105974	121592	23125	4506	0
