id	review	part	severity	file	title	what_is_wrong
H0020	1	1	Major	docs/import.md — the "Auditing" section; src/audit/guard.ts — the `assertAudited` doc comm	docs/import.md and the guard's doc comment claim a control the implementation does not have	both state that a mutating query without an audit record is refused and that "the staging writes are the single exception", but `assertAudited` writes no audit record and verifies none — it checks that `ctx.actorId` is a non-empty string and emits a log line — and, per the two Criticals above, the exceptions are in fac
H0021	1	1	Minor	src/context/request.ts — `contextSnapshot`	`contextSnapshot` is exported but never called	the new export has no caller anywhere in the diff, and its `Readonly<RequestContext>` shallow copy looks like the defence against the aliasing bug in the first finding while doing nothing to prevent it, since `enterSystemOperation` still writes through the live store.
H0022	1	1	Minor	src/import/bulk.ts — `applyBatch` (`findMany({ where: { batchId } })` then a per-row `awai	promotion is unbounded and one round-trip per row, while staging is carefully chunked	staging bounds memory at `CHUNK = 200` but promotion loads the whole batch with no `take` and issues one sequential awaited upsert per row.
H0023	1	1	Minor	src/import/bulk.ts — `if (!row.email.includes("@"))`	email validity is decided deep in the promotion loop, not at the parse boundary, and rejections are unattributable	the only email check is a substring test applied after the row has already been persisted to staging, and the summary returns a count with no row numbers or reasons.
H0024	1	2	Critical	src/context/request.ts — `enterSystemOperation` (sets `ctx.skipAudit = true` on the live c	`enterSystemOperation` grants the audit exemption to the whole request, not to the staging call	the grant is an ambient flag written into the caller's own AsyncLocalStorage frame with no restore on either the return or the throw path, so its lifetime is the enclosing request rather than the `createMany` it was granted for.
H0025	1	2	Critical	src/import/parse.ts — `ALLOWED_ROLES = ["member", "admin", "owner"]`; src/import/bulk.ts —	bulk import lets an org admin grant `owner`, including to themselves	src/routes/import.ts admits `session.role === "admin"`, but the parser whitelists `owner` and `applyBatch` writes `row.role` verbatim with no check that the actor is entitled to grant that role, that the target row is not the actor's own membership, or that it is not overwriting an existing owner.
H0026	1	2	Critical	src/audit/guard.ts — `assertAudited` (`if (!ctx.actorId) throw …; logger.info(…)`); claims	the audit control is described as a refusal but on this route it can never refuse, and nothing writes an audit record	the guard's only denial branch is `!ctx.actorId`, and src/routes/import.ts always populates `actorId: session.userId` from an authenticated session, so on every path this change adds the guard is structurally undeniable — a class (d) detection-only log line documented as a class (a)/(b) enforceable refusal, with no cla
H0027	1	2	Major	src/import/bulk.ts — `runImport` (`stageRows` → `applyBatch` → `prisma.importStaging.delet	stage → apply → cleanup are three independent commits with no transaction and no failure path	the read of `import_staging` in `applyBatch`, the per-row `membership.upsert` loop, and the final `deleteMany` commit independently with no `prisma.$transaction` and no `try`/`finally`, so a throw part-way through the loop leaves some memberships changed, the rest not, and the staging rows never cleaned up.
H0028	1	2	Major	src/import/bulk.ts — `runImport`, `const batchId = \`${ctx.orgId}-${ctx.requestId}\``; src	the batch key is caller-controlled and `import_staging` has no tenancy column	`requestId` is taken verbatim from a client header, so the caller names the key that both `prisma.importStaging.findMany({ where: { batchId } })` and `prisma.importStaging.deleteMany({ where: { batchId } })` select on, and the table carries no `org_id` or other predicate to narrow those two queries.
H0029	1	2	Major	src/routes/import.ts — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`	the 5 MB cap counts UTF-16 code units and runs after the whole body is buffered	`String.prototype.length` counts UTF-16 code units rather than bytes, so a CSV of multi-byte display names up to roughly three times the limit passes, and the check is evaluated only after `req.text()` has already materialized the entire body in memory.
H0030	1	2	Major	src/import/parse.ts — `parseRows`, `const [header, ...body] = lines` and `cols.indexOf("em	`parseRows` throws on an empty upload and silently empties every email when the header is misspelled	when the CSV is empty or all-blank, `lines` is `[]`, `header` is `undefined` and `splitLine(header)` dereferences `line.length`, throwing a `TypeError`; and when a required column is absent, `indexOf` returns `-1` and `f[-1] ?? ""` yields an empty value rather than reporting a malformed header — all three index lookups
H0031	1	2	Major	src/import/parse.ts — `parseRows`, `csv.split(/\r?\n/)` applied before `splitLine`	quoted fields containing a newline are torn apart before the quote parser ever sees them	the record split happens on raw newlines ahead of quote parsing, so `splitLine`'s `quoted` state can never span a line and an RFC 4180 quoted field containing a newline — routinely produced by spreadsheet exports — is split into two records; the tests cover quoted commas and doubled quotes but contain no quoted-newline
H0032	1	2	Major	test/import/parse.test.ts is the only test in the diff, against new exports `enterSystemOp	every new export except the CSV parser ships with no test	the only tested module is the pure parser, while the security-relevant additions — the new `MUTATIONS` filter, the `skipAudit` branch, the system-operation grant and the admin/owner route gate — have no test that executes them.
H0033	1	2	Minor	src/routes/import.ts — `POST`	is `POST /api/import` behind the shared rate limiter?	the route body performs authentication, a role check and a size check but contains no limiter call, and a single request drives an unbounded number of `upsert` statements — I cannot tell from the diff alone whether a shared limiter wraps this path in a route table or middleware not shown here.
H0034	1	2	Minor	src/context/request.ts — `contextSnapshot`	`contextSnapshot` is exported with no caller, and the one site that wants it does not use it	nothing in the diff calls `contextSnapshot`, while `applyBatch` in src/import/bulk.ts — the one place that takes a stable read of the context and then holds it across many awaits — calls `currentContext()` directly.
H0035	1	2	Minor	src/import/bulk.ts — `applyBatch`, `if (!row.email.includes("@")) { rejected += 1; continu	the email check sits after the rows are already written, so `staged` counts rows that were never applicable	`parse.ts` already owns per-field validation — it is where the role allowlist and the normalisation live — but the only email check runs one layer later, after `stageRows` has committed the rows, so an invalid address is staged, counted in `ImportSummary.staged`, and only then rejected; `includes("@")` is also weaker t
H0036	1	3	Critical	src/context/request.ts — `enterSystemOperation` (sets `ctx.skipAudit = true` on the live c	the audit bypass is granted by an ambient request-scoped flag that is never cleared, so the whole import runs unaudited	`enterSystemOperation()` mutates the one `RequestContext` object created by `runWithContext` in the route and nothing ever restores it, so the grant's lifetime is the entire request rather than the staging write it was granted for (R54).
H0037	1	3	Critical	src/audit/guard.ts — `MUTATIONS` / `assertAudited` first line	the mutation allowlist omits `createMany` and the raw-query actions, so those writes skip the audit control entirely	`MUTATIONS` is a hand-written list (`create`, `update`, `delete`, `deleteMany`, `updateMany`, `upsert`) that omits real Prisma mutating actions — `createMany`, `createManyAndReturn`, `updateManyAndReturn`, `executeRaw`, `queryRawUnsafe` — and the new early `return` makes every omitted action bypass the control outright
H0038	1	3	Critical	src/import/parse.ts — `ALLOWED_ROLES`; src/import/bulk.ts — `applyBatch` `prisma.membershi	an org admin can promote any account, including their own, to `owner` through the CSV	`ALLOWED_ROLES` accepts `owner` regardless of who is uploading, and `applyBatch` writes `row.role` straight into the membership `create` and `update` bodies, while the route authorises anyone with `admin` or `owner`, so the assignable-role ceiling is never tied to the caller's own role.
H0039	1	3	Major	src/routes/import.ts — `requestId: req.headers.get("x-request-id") ?? crypto.randomUUID()`	`batchId` is built from a client-supplied header and the staging table is not scoped by org, so concurrent imports cross-apply and delete each other's rows	the batch key is `${ctx.orgId}-${requestId}` where `requestId` is whatever the caller puts in `x-request-id` (unvalidated — RS3), and `import_staging` carries no `org_id` and no uniqueness constraint, so the only thing separating two concurrent batches is a value the client chooses.
H0040	1	3	Major	src/import/bulk.ts — `runImport` (`stageRows` → `applyBatch` → `deleteMany` sequence); mig	staging, promotion and cleanup are three unwrapped operations, so a mid-run failure leaves half-applied memberships and orphaned staging rows forever	`applyBatch` reads the staged rows and then writes memberships one `upsert` at a time outside any transaction, and the `deleteMany` cleanup runs only on the success path (R5: read-then-write with no transaction, and no per-sub-operation atomicity for the audit/side-effect pair).
H0041	1	3	Major	src/import/parse.ts — `parseRows` (`const [header, ...body] = lines;` and `const iEmail = 	`parseRows` throws on an empty body and silently rejects every row when the header lacks an `email` column	for an empty or whitespace-only upload the filter leaves `lines` empty, so `header` is `undefined` and `splitLine(undefined)` dereferences `line.length` and throws a `TypeError`; and when the header has no `email` column, `iEmail` is `-1`, `f[-1] ?? ""` yields `""` for every row, and the rows are counted as `rejected` 
H0042	1	3	Major	src/routes/import.ts — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`	the 5 MB limit counts UTF-16 code units and is checked after the whole body has already been buffered	`String.prototype.length` counts UTF-16 code units, not bytes, so a UTF-8 body of up to roughly 15 MB passes a check named `MAX_CSV_BYTES`, and the check runs only after `req.text()` has fully materialised the body in memory, so it bounds nothing at the point where the memory is spent (RS3: a boundary check that reads 
H0043	1	3	Major	test/import/parse.test.ts (the only new test file); src/context/request.ts — `enterSystemO	the audit-bypass mechanism and the entire importer ship with no test	the diff adds the exported symbols `enterSystemOperation`, `contextSnapshot` and `runImport` and materially changes `assertAudited`, and the only test file added covers `parseRows` — nothing exercises the audit path, and nothing red-proves that `assertAudited` still refuses a write after the sanctioned staging call ret
H0044	1	3	Major	docs/import.md — "Auditing" section; src/import/bulk.ts — `stageRows` and `applyBatch` doc	the documentation and comments claim an audit guarantee and an inspection window the code does not provide	`docs/import.md` states that "the promotion step runs audited as normal" and that staging writes are "the single exception", while the leaked `skipAudit` flag means the promotion, the cleanup and the activity write are all unaudited; and both the doc and `stageRows`'s docstring justify the exception on the ground that 
H0045	1	3	Major	src/audit/guard.ts — `assertAudited` (`if (!ctx.actorId) throw ...`)	`assertAudited` proves an actor exists, not that an audit record was written	the function's own docstring says "a write that carries no audit intent is refused", but the only thing it checks is that `ctx.actorId` is a non-empty string, which is true for every authenticated request whether or not it writes an audit row (pre-existing in a file the diff changes, and in scope).
H0046	1	3	Major	src/routes/import.ts — `POST`; src/import/bulk.ts — `applyBatch` (sequential `await` per r	one request can perform unbounded database work, and the new route applies no per-org concurrency or request bound	the handler accepts a body up to the CSV cap, parses every row, and performs one awaited `upsert` per row inside the request with no cap on row count, no per-org concurrency limit, and no rate limiting in the handler (RS2).
H0047	1	3	Minor	src/context/request.ts — `contextSnapshot`	`contextSnapshot` is exported but never called, and it carries the audit grant	the new export has no caller anywhere in the diff, and its shallow copy includes `skipAudit`, so any snapshot taken after the grant preserves the exception in whatever stores or replays it.
H0048	1	3	Minor	src/import/bulk.ts — `applyBatch` (`rejected += 1; continue;`) and `runImport` (`deleteMan	rejected rows are reported only as a count and are then deleted	a row failing the `email.includes("@")` check increments a counter and the row is deleted with the batch, so the operator learns that N rows failed but never which ones or why.
H0049	1	3	Minor	migrations/0058_import.sql — `import_staging` (`display_name text`, `role text NOT NULL DE	the staging table's shape does not match what the importer assumes	`display_name` is nullable in SQL while `ImportRow.displayName` is a non-optional `string` and `applyBatch` writes `row.displayName` straight into the membership, and `role` has no `CHECK` constraint even though the application treats `member`/`admin`/`owner` as the closed set.
H0050	1	4	Critical	src/context/request.ts — `enterSystemOperation` (`ctx.skipAudit = true`), consumed at src/	`enterSystemOperation` writes the audit exemption into the caller's context frame and nothing ever clears it	The grant is an ambient flag set on the object `currentContext()` returns — which is the very frame `runWithContext` stored, not a copy — so its lifetime is the whole request rather than the staging call, and there is no release on either the return path or the throw path.
H0051	1	4	Critical	src/audit/guard.ts — `const MUTATIONS = new Set([...])` and `if (!MUTATIONS.has(action)) r	`MUTATIONS` omits `createMany`, so the audit guard now fails open on a write the same diff performs	`assertAudited` previously refused on the strength of `ctx.actorId` for every action the middleware passed it; the new early return narrows it to a hand-written blacklist-complement that is missing `createMany` — demonstrably incomplete, because src/import/bulk.ts:`stageRows` calls `prisma.importStaging.createMany` in 
H0052	1	4	Critical	src/import/bulk.ts — `applyBatch` (`prisma.membership.upsert`, `update: { role: row.role }	an org admin can grant the `owner` role, and can rewrite an existing member's role, through the CSV	The route admits an actor whose role is `admin`, `ALLOWED_ROLES` accepts `owner`, and nothing between them compares the granted role against the actor's — and because the upsert's `update` branch also writes `role`, the CSV rewrites the role of memberships that already exist rather than only creating new ones.
H0053	1	4	Major	docs/import.md — "Auditing" section; src/import/bulk.ts — `applyBatch` docstring ("Each pr	the doc and the `applyBatch` comment both claim the promotion step is audited, which the implementation contradicts	Three prose claims are stronger than the code: the staging write is not "the single exception" (the exemption outlives it, per finding #1), the promotion is not audited, and "only system operations may call this" declares an enforceable boundary while the implementation is an exported function with no caller check — a 
H0054	1	4	Major	src/import/bulk.ts — `runImport` (`stageRows` → `applyBatch` → `prisma.importStaging.delet	no transaction and no cleanup path — a failure mid-apply leaves memberships applied, staging PII retained, and a retry that double-applies	The three phases are separate un-wrapped operations with no `try/finally`, so any throw in `applyBatch` (or an aborted request) skips the `deleteMany`, and `applyBatch`'s per-row upserts have already committed individually.
H0055	1	4	Major	src/import/bulk.ts — `runImport` (`` const batchId = `${ctx.orgId}-${ctx.requestId}` ``) w	`batchId` is derived from a client-supplied header, so two callers can collide on one batch	`x-request-id` is untrusted, unvalidated and unbounded, and it is the only entropy in a key that `applyBatch` and `deleteMany` select rows by.
H0056	1	4	Major	src/import/bulk.ts — `applyBatch` (`for (const row of staged) { await prisma.membership.up	the apply loop is unbounded and issues one round trip per row, ignoring the chunking the same file already defines	There is no cap on row count anywhere in the change — only a 5 MB byte cap on the body — and the promotion loop awaits one upsert per row while `stageRows`, three functions above it, already establishes the chunking convention for this file.
H0057	1	4	Major	src/routes/import.ts — `POST` (`const csv = await req.text(); if (csv.length > MAX_CSV_BYT	the upload size check measures the wrong quantity and runs after the body is already buffered	`await req.text()` materialises the entire body in memory before any check, and `String.length` counts UTF-16 code units rather than bytes, so a constant named `MAX_CSV_BYTES` is compared against something that is not bytes.
H0058	1	4	Major	src/import/parse.ts — `parseRows` (`const [header, ...body] = lines;`, `const iEmail = col	`parseRows` throws on an empty body and silently imports nothing when the `email` column is missing	For an empty or whitespace-only body, `lines` is `[]`, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length` — an uncaught `TypeError`; and when the header exists but has no `email` column, `iEmail` is `-1`, `f[-1]` is `undefined`, so every row's email becomes `""` and every row is silently dis
H0059	1	4	Major	test/import/parse.test.ts — the sole test file in the diff, against src/audit/guard.ts `as	the only test file covers `parse.ts`; the audit control, the context change and the whole import pipeline ship untested	The change materially modifies a security control (`assertAudited`) and adds four exported production symbols, and not one of them appears in a test — the tests cover only the CSV splitter, which is the one piece with no security or persistence behaviour.
H0060	1	4	Minor	src/context/request.ts — `contextSnapshot`	`contextSnapshot` is exported but never called, and `Readonly<>` gives it no runtime protection	No call site for it exists anywhere in the change, and the `Readonly<RequestContext>` return type is erased at runtime, so the shallow copy it returns is freely mutable.
H0061	1	4	Minor	src/import/bulk.ts — `applyBatch` (`if (!row.email.includes("@"))`), src/routes/import.ts 	rejected rows are counted but never identified, and the rejection test accepts `a@`	The only rejection signal is an integer, with no row number or email, and the test that produces it accepts any string containing an `@` — including `@`, `a@`, and `a@b` with no dot.
H0062	1	5	Critical	src/context/request.ts — `enterSystemOperation` (`ctx.skipAudit = true`), consumed at src/	`enterSystemOperation` sets an ambient flag that is never cleared, so every write after the staging step in the same request runs unaudited	The audit exemption is granted by mutating the request-scoped `RequestContext` object held in `AsyncLocalStorage`, and nothing ever restores it, so the grant's lifetime is the whole request rather than the staging call it was written for.
H0063	1	5	Critical	src/audit/guard.ts — `const MUTATIONS = new Set([...])` and the new `if (!MUTATIONS.has(ac	the `MUTATIONS` allow-set omits `createMany`, so the audit guard never even examines the bulk write this feature adds	The set was written from a supplied list rather than derived from the Prisma action vocabulary, and it is missing `createMany` — which is precisely the action `stageRows` issues — along with `createManyAndReturn`, `updateManyAndReturn`, and every raw path (`$executeRaw`, `$executeRawUnsafe`, `$queryRawUnsafe`).
H0064	1	5	Critical	src/import/parse.ts — `ALLOWED_ROLES = ["member", "admin", "owner"]`; src/import/bulk.ts —	an org admin can grant and overwrite the `owner` role through the CSV, escalating past their own privilege level	The route admits callers with `role === "admin"`, the parser accepts `owner` as a valid CSV role, and `applyBatch` writes `role: row.role` in both the `create` and the `update` branch with no comparison against the actor's own role and no protection for existing memberships.
H0065	1	5	Critical	test/import/parse.test.ts — the entire file; src/audit/guard.ts — both new early-return br	the whole audit-guard change ships with no test, and the only test file covers the CSV parser	Two new branches were added to a fail-closed security control (`assertAudited`) and a new exemption mechanism was added to the request context, and not one test exercises either — the eight tests added cover `parseRows` only, so nothing asserts that an unaudited write is refused or that the guarded mutation did not exe
H0066	1	5	Major	src/import/bulk.ts — `runImport`	no transaction wraps stage → apply → delete, so a mid-import failure leaves partial memberships and orphaned staging rows	`stageRows`, `applyBatch`, and `deleteMany` are three independently committing sequences (and `stageRows` itself commits once per 200-row chunk), with no transaction and no error handling, so any failure between them leaves the database in a state no code path cleans up.
H0067	1	5	Major	src/routes/import.ts — `requestId: req.headers.get("x-request-id") ?? crypto.randomUUID()`	the client-supplied `x-request-id` header becomes the batch partition key, so concurrent imports collide	An unvalidated, unbounded, caller-controlled header is concatenated into the only key that separates one import's staging rows from another's, and `import_staging` has no unique constraint, no `org_id` column, and no per-request scoping to fall back on.
H0068	1	5	Major	src/routes/import.ts — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`	the 5 MB limit is applied after the body is fully buffered, and counts UTF-16 code units rather than bytes	`await req.text()` reads and decodes the entire request body into memory before the size check runs, and `String.prototype.length` counts UTF-16 code units, so a constant named `MAX_CSV_BYTES` admits up to roughly three times its nominal value in actual UTF-8 bytes.
H0069	1	5	Major	src/import/parse.ts — `const [header, ...body] = lines;` and `const iEmail = cols.indexOf(	`parseRows` throws on an empty body and silently rejects every row when the header lacks an `email` column	An empty or whitespace-only CSV leaves `lines` empty, so `header` is `undefined` and `splitLine(undefined)` throws a `TypeError` on `line.length`; and when the header has no `email` column, `iEmail` is `-1`, `f[-1] ?? ""` yields an empty email for every row, which is staged and then counted as rejected.
H0070	1	5	Major	docs/import.md — the "Auditing" section	`docs/import.md` states an audit guarantee the implementation does not provide	The doc claims the middleware "refuses any mutating query that does not carry" an audit record, that the staging writes are "the single exception", and that "the promotion step runs audited as normal" — all three are false against this diff, and the control is declared as an enforceable boundary when `skipAudit` is an 
H0071	1	5	Minor	src/context/request.ts — `contextSnapshot`	`contextSnapshot` is exported but never called	The function is added, exported, and used by nothing in the diff; its `Readonly<RequestContext>` return type also implies an immutability it does not provide beyond one level.
H0072	1	5	Minor	src/import/bulk.ts — `applyBatch`'s `if (!row.email.includes("@"))`	`row.email.includes("@")` stands in for address validation, and it runs after the row is already in the database	A substring test is used to decide whether a string is an address, and the decision is made in `applyBatch` rather than in `parseRows`, so invalid rows are written to `import_staging` before anything examines them.
H0073	1	5	Minor	src/import/parse.ts — `ALLOWED_ROLES`; src/routes/import.ts — the `session.role` compariso	the role vocabulary is hardcoded in three places and the staging table has no constraint backing it	The same closed set of roles is written out independently in a TypeScript array, a pair of string comparisons, and a SQL default with no `CHECK` constraint, and `import_staging.display_name` is nullable while `ImportRow.displayName` is a non-optional `string`.
H0074	2	0	Critical	`src/import/bulk.ts` — `applyBatch`, the `update:` branch of `prisma.membership.upsert`; w	an org admin can grant himself `owner`, and the import silently rewrites existing members' roles	the route admits an actor whose role is `admin`, `ALLOWED_ROLES` accepts `owner` as a legal cell value, and `applyBatch` writes `role` in both the `create` and `update` branches without ever comparing the requested role against the actor's, so nothing between the HTTP boundary and the database checks that the actor is 
H0075	2	0	Critical	`src/context/request.ts` — `enterSystemOperation`; call site `src/import/bulk.ts` — `stage	`enterSystemOperation` writes the audit bypass onto the caller's live request frame and never restores it, so every write after staging runs unaudited	`currentContext()` returns `storage.getStore()` — the very object `runWithContext` was handed, not a copy — so `ctx.skipAudit = true` mutates the request-scoped frame in place, with no acquire/release, no `finally`, and no restore of the previous value, making the grant's lifetime the whole request rather than the stag
H0076	2	0	Critical	`src/audit/guard.ts` — `const MUTATIONS = new Set([...])` and the added `if (!MUTATIONS.ha	the new `MUTATIONS` allowlist omits `createMany`, converting a deny-by-default audit guard into a fail-open one	`assertAudited` previously checked every action the Prisma middleware handed it and now returns unconditionally for any action absent from a hand-written six-element list, and that list — derived from recollection rather than from Prisma's action enumeration — omits `createMany`, which is the exact action `src/import/b
H0077	2	0	Major	`src/import/bulk.ts` — `runImport`, the `stageRows` → `applyBatch` → `deleteMany` sequence	`runImport` stages, promotes and deletes across three unrelated transactions, so a mid-run failure strands the batch with no path back	none of the three phases shares a transaction — `applyBatch` issues one `await prisma.membership.upsert(...)` per row in a bare loop, and the `deleteMany` that clears the staging rows runs only if that loop completes — so there is no atomic unit anywhere between "nothing applied" and "everything applied and cleaned up"
H0078	2	0	Major	`src/routes/import.ts` — `const csv = await req.text();` then `if (csv.length > MAX_CSV_BY	the 5 MB cap is measured in UTF-16 code units and applied only after the whole body is already in memory	`req.text()` has fully materialised the request body before the comparison ever runs, so the cap bounds nothing at ingest, and `String.prototype.length` counts UTF-16 code units rather than the bytes the constant is named for, so the check is wrong in both directions; there is additionally no cap on the row count, whic
H0079	2	0	Major	`src/import/bulk.ts` — `const batchId = \`${ctx.orgId}-${ctx.requestId}\``; `src/routes/im	`batchId` is built from a client-supplied header and is the only key scoping the staging rows	`x-request-id` is taken from the caller with no validation and concatenated into the batch identity, while `import_staging` has no `org_id` column and no uniqueness on `batch_id`, so a caller-chosen string is the sole selector for both `applyBatch`'s `findMany({ where: { batchId } })` and `runImport`'s `deleteMany({ wh
