cluster_id	n	member_ids	claim	status
CTX-01	48	H0002,H0012,H0024,H0036,H0050,H0062,H0075,H0085,H0101,H0112,H0124,H0139,H0151,H0166,H0180,H0191,H0201,H0213,H0225,H0236,H0248,H0260,H0273,H0283,H0293,H0305,H0320,H0336,H0349,H0364,H0374,H0386,H0399,H0410,H0422,H0434,H0447,H0458,H0473,H0484,H0494,H0505,H0517,H0529,H0541,H0556,H0569,H0580	`enterSystemOperation()` sets `skipAudit = true` on the live `RequestContext` object held by the `AsyncLocalStorage` frame and nothing ever restores it, so the audit exemption lasts for the whole request instead of the staging write it was granted for.	existing
CTX-02	44	H0011,H0021,H0034,H0060,H0071,H0097,H0110,H0122,H0135,H0148,H0177,H0190,H0200,H0212,H0223,H0234,H0245,H0258,H0270,H0282,H0291,H0303,H0318,H0332,H0363,H0373,H0384,H0397,H0408,H0421,H0432,H0444,H0456,H0470,H0482,H0492,H0504,H0513,H0525,H0540,H0553,H0566,H0577,H0589	`contextSnapshot()` is added and exported with no call site anywhere in the diff, and its `Readonly<RequestContext>` return is a compile-time-only annotation over a shallow spread that provides no runtime immutability.	existing
CTX-03	2	H0043,H0431	The diff's new and changed production symbols — `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary`, `POST`, and the rewritten `assertAudited` — ship with no test, the only test file being `test/import/parse.test.ts`, which covers `parseRows` alone.	existing
CTX-05	4	H0146,H0377,H0496,H0512	`docs/import.md` and the `enterSystemOperation` doc comment state guarantees the implementation does not provide — that staging writes are the single exception, that the promotion step runs audited as normal, and that only system operations may call the grant.	existing
CTX-06	1	H0263	`skipAudit` is an ordinary optional field on the exported `RequestContext`, so any caller of `runWithContext` can pass `skipAudit: true` directly and the "only system operations may call this" restriction is enforced by nothing.	existing
CTX-07	2	H0047,H0345	`contextSnapshot()` copies `skipAudit` into the snapshot, so restoring a context from a snapshot taken inside a granted scope re-establishes the audit suspension.	existing
DOC-01	16	H0004,H0070,H0127,H0155,H0198,H0210,H0232,H0256,H0279,H0290,H0296,H0314,H0358,H0481,H0538,H0574	The "Auditing" section of `docs/import.md` states guarantees the shipped code does not provide — that every membership change writes an audit record, that the Prisma middleware refuses any mutating query without one, that the staging writes are the single exception, and that the promotion step runs audited as normal.	existing
GUARD-01	47	H0001,H0013,H0037,H0051,H0063,H0076,H0086,H0102,H0113,H0125,H0140,H0152,H0167,H0181,H0192,H0202,H0214,H0226,H0237,H0249,H0261,H0274,H0284,H0295,H0306,H0321,H0337,H0350,H0366,H0375,H0387,H0400,H0411,H0423,H0435,H0448,H0459,H0475,H0485,H0495,H0506,H0519,H0530,H0542,H0557,H0570,H0581	The hand-written `MUTATIONS` set omits mutating Prisma actions — `createMany` above all, the action `stageRows` itself issues, plus variants such as `createManyAndReturn`, `updateManyAndReturn` and the raw-execute actions — so the new `if (!MUTATIONS.has(action)) return;` makes `assertAudited` exit without any check for those writes.	existing
GUARD-02	22	H0020,H0026,H0045,H0088,H0104,H0120,H0154,H0182,H0216,H0264,H0323,H0344,H0352,H0389,H0402,H0418,H0439,H0450,H0461,H0490,H0524,H0588	`assertAudited` only throws when `ctx.actorId` is empty and otherwise emits a log line, never writing or verifying an audit record, while its docstring and the "Auditing" section of `docs/import.md` state that every membership change writes an audit record and that the middleware refuses any mutating query not carrying one.	existing
GUARD-03	11	H0059,H0065,H0145,H0222,H0289,H0308,H0341,H0417,H0455,H0501,H0511	The diff materially changes `assertAudited` and adds new exported production symbols (`enterSystemOperation`, `contextSnapshot`, `runImport`, `POST`), but its only test file covers `parseRows`, so no test in the change executes the audit guard at all.	existing
GUARD-04	4	H0083,H0246,H0396,H0565	The audit-skip branch logs at `logger.debug` while audited writes log at `logger.info`, so the record that the audit control was bypassed is emitted below the level production deployments normally retain.	existing
GUARD-09	1	H0346	The "audit skipped" log line omits `actorId` and any batch identifier, so a suspended write cannot be attributed to a principal, while the audited-write line beside it carries `actorId`.	existing
MIG-01	7	H0098,H0247,H0271,H0347,H0516,H0551,H0579	`import_staging` has no `org_id` column and no owning foreign key, so tenancy is carried only inside the free-text `batch_id` and no database constraint scopes rows to an org.	existing
MIG-02	4	H0292,H0304,H0445,H0568	`import_staging.role` is `text NOT NULL DEFAULT 'member'` with no `CHECK` constraint, so the role vocabulary is enforced only by `ALLOWED_ROLES` in `src/import/parse.ts` and the column accepts any string.	existing
MIG-03	2	H0471,H0483	`import_staging` has no retention path — no TTL, sweep, or reaper over `created_at` — so rows carrying emails and display names from batches that fail before the happy-path `deleteMany` are retained indefinitely.	existing
MIG-04	1	H0138	Migration `0058_import.sql` ships no down-migration, so the two tables and two indexes it creates cannot be reverted.	existing
MIG-05	1	H0099	`org_activity.org_id` and `org_activity.actor_id` declare `REFERENCES` with no `ON DELETE` clause, so they default to `NO ACTION` and block deletion of any org or user that has an activity row.	existing
MIG-06	1	H0251	Nothing in the diff ties the new snake_case tables to the Prisma models the code addresses (`prisma.importStaging`, `prisma.orgActivity`) — no Prisma schema change and no migration-verification step in CI.	existing
MIG-07	2	H0049,H0361	`import_staging.display_name` is nullable while `stageRows` always writes `r.displayName`, which `parseRows` guarantees to be a string, so the schema admits a NULL state the application never produces.	existing
MIG-08	1	H0123	`import_staging` has no unique constraint on `(batch_id, email)`, so a CSV listing the same address twice stages two rows and upserts that membership twice, inflating the reported `applied` count.	new
MIG-09	1	H0174	`org_activity.at` is `timestamptz DEFAULT now()`, which is the transaction start time and therefore identical across rows written in one transaction, so `(org_id, at DESC)` is not a total order and a keyset cursor over the feed has undefined order within a tie.	new
MIG-10	1	H0398	`import_staging.role`'s `DEFAULT 'member'` restates the `"member"` fallback already encoded in `src/import/parse.ts` and can never fire because `stageRows` always supplies `role`, leaving two copies of the default free to drift apart.	new
PARSE-01	33	H0018,H0030,H0041,H0058,H0069,H0081,H0091,H0106,H0118,H0144,H0161,H0186,H0199,H0231,H0242,H0257,H0268,H0281,H0302,H0313,H0327,H0342,H0371,H0381,H0406,H0416,H0429,H0454,H0478,H0503,H0535,H0549,H0586	`parseRows` throws an unhandled `TypeError` on an empty or whitespace-only CSV, because the blank-line filter leaves `lines` empty, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length`.	existing
PARSE-02	14	H0009,H0132,H0173,H0207,H0221,H0288,H0312,H0382,H0390,H0466,H0526,H0539,H0548,H0578	`cols.indexOf(...)` returning `-1` for an absent header column is never checked and is used directly as a field index, so `f[-1] ?? ""` silently turns a missing or misspelled `email`/`name` column into an empty value for every row instead of rejecting the file.	existing
PARSE-03	18	H0010,H0031,H0082,H0092,H0131,H0208,H0319,H0328,H0359,H0420,H0430,H0469,H0493,H0515,H0527,H0536,H0555,H0567	`parseRows` splits the document on `/\r?\n/` before any quote parsing, so `splitLine`'s quote state cannot span a record and an RFC 4180 quoted field containing a newline is torn into two corrupt rows.	existing
PARSE-04	17	H0193,H0215,H0227,H0250,H0285,H0294,H0307,H0322,H0365,H0376,H0388,H0401,H0424,H0460,H0531,H0558,H0571	The CSV `role` column is validated only against the global `ALLOWED_ROLES` allowlist, which includes `owner`, and `applyBatch` writes it on both the create and update branches, so an actor admitted to the route as `admin` can grant or overwrite `owner` — including on their own membership — with no check against the actor's own rank.	existing
PARSE-05	4	H0121,H0259,H0317,H0333	The role is compared against `ALLOWED_ROLES` case-sensitively while the email is normalised with `.toLowerCase()`, so a capitalised spelling such as `Admin` fails the membership test and falls back to `member`.	existing
PARSE-07	8	H0073,H0084,H0136,H0149,H0162,H0178,H0362,H0457	The role vocabulary is spelled out independently in `ALLOWED_ROLES`, in the route's `session.role` comparison, and in the migration, with no shared definition.	existing
PARSE-08	2	H0159,H0211	`"member"` is both the fallback for an unrecognised or absent role and a legitimate role value, so a coerced row is indistinguishable from a row that genuinely said `member`, and neither the caller nor `ImportSummary` reports the substitution.	existing
PARSE-16	1	H0409	`splitLine` never inspects `quoted` after its loop ends, so a line with an unterminated quote silently yields the rest of the line as one trailing field instead of being reported as malformed.	existing
PARSE-17	1	H0224	`import_staging` carries no `org_id` column and no foreign key to `orgs`, so a staged row's tenancy is encoded only inside the `batch_id` string.	new
PARSE-18	1	H0433	`import_staging.display_name` is declared nullable in the migration while `ImportRow.displayName` and `applyBatch`'s membership `create`/`update` treat it as a non-optional `string`.	new
ROUTE-01	47	H0005,H0017,H0029,H0042,H0057,H0068,H0078,H0094,H0105,H0115,H0130,H0143,H0158,H0172,H0185,H0196,H0206,H0219,H0230,H0241,H0265,H0280,H0287,H0300,H0311,H0326,H0338,H0355,H0369,H0379,H0393,H0404,H0415,H0428,H0440,H0453,H0464,H0477,H0487,H0502,H0510,H0522,H0533,H0547,H0562,H0575,H0583	The 5 MB upload cap in `POST /api/import` is evaluated only after `await req.text()` has buffered the entire body, and it compares `csv.length` — UTF-16 code units — against a constant named `MAX_CSV_BYTES`, so it neither prevents the allocation nor bounds bytes.	existing
ROUTE-02	15	H0033,H0093,H0133,H0176,H0220,H0254,H0316,H0329,H0348,H0356,H0419,H0443,H0467,H0554,H0563	The new `POST /api/import` endpoint ships with no rate limiter or concurrency bound, while each accepted request costs a multi-megabyte parse, a chunked insert, and one database round trip per CSV row.	existing
ROUTE-03	21	H0006,H0039,H0067,H0129,H0156,H0194,H0204,H0229,H0252,H0298,H0310,H0354,H0368,H0380,H0405,H0425,H0463,H0508,H0546,H0561,H0572	`batchId` is built from the unvalidated client-supplied `x-request-id` header and is the sole predicate for `applyBatch`'s `findMany` and the cleanup `deleteMany` against an `import_staging` table that carries no tenancy column, so two requests choosing the same header value read and delete each other's staged rows.	existing
ROUTE-04	1	H0331	The route's 401/403 authorization gate ships with no test on either the deny side or the allow side, and nothing asserts that a denied request performed no write.	existing
ROUTE-07	4	H0168,H0203,H0351,H0543	An `admin` caller can assign the `owner` role and rewrite the role of existing memberships through the import, because the route admits `admin`, `ALLOWED_ROLES` accepts `owner`, and `applyBatch` upserts the role with no check against the acting session's own privilege.	existing
ROUTE-09	1	H0499	The only durable record of the import is a single free-text aggregate `orgActivity.create` written after `runImport` returns, with no transaction spanning the membership upserts and that row.	existing
TEST-01	35	H0008,H0019,H0032,H0080,H0096,H0109,H0119,H0134,H0160,H0169,H0187,H0197,H0209,H0233,H0243,H0255,H0269,H0278,H0301,H0330,H0357,H0370,H0383,H0395,H0407,H0442,H0468,H0480,H0491,H0523,H0537,H0550,H0564,H0576,H0587	The new exported production symbols `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary` and the route `POST`, together with the materially changed audit guard `assertAudited`, have no test anywhere in the diff, whose only test file covers `parseRows`.	existing
