id	panellist	severity	file	title	what_is_wrong
A27	A	Major	app/webhooks/delivery.py — LOCK_KEY TTL	60s TTL is shorter than a batch's worst-case runtime	100 deliveries with 30s timeouts and 2+4+8+16s sleeps far exceed 60s, so the lock expires mid-batch and a second worker starts processing the same table.
A28	A	Critical	app/webhooks/delivery.py — _claim_batch	claim query has no row locking	the SELECT has no `FOR UPDATE SKIP LOCKED` and the status update is not conditional, so concurrent workers or instances select the same pending rows and deliver them twice.
A29	A	Critical	app/webhooks/delivery.py — _claim_batch	rows set to in_flight are never returned to pending	nothing resets `in_flight` after a crash, cancellation, or unhandled exception, and no reaper exists, so those deliveries are excluded from the pending filter forever.
A30	A	Major	app/webhooks/delivery.py — deliver	retry state is kept only in a local variable	`attempt` is incremented in memory and `attempts`/`next_attempt_at` are written only by `_finish`, so a restart mid-retry loses all attempt history and the row's scheduled time.
A31	A	Major	app/webhooks/delivery.py — deliver	4xx responses are retried	the loop retries every non-2xx status until MAX_ATTEMPTS, so a permanent 400 or 404 costs five attempts instead of stopping immediately as documented.
A32	A	Major	app/webhooks/delivery.py — backoff_for	backoff has no jitter	`timedelta(seconds=BASE_DELAY_SECONDS**attempt)` is fully deterministic, so all deliveries failing at the same moment retry in lockstep.
A33	A	Major	app/webhooks/delivery.py — enqueue_for_event	naive datetime written into a timezone-aware column	`next_attempt_at=datetime.utcnow()` produces a naive value while `_claim_batch` compares against `datetime.now(timezone.utc)`, mixing naive and aware datetimes.
A34	A	Major	app/webhooks/delivery.py — _finish	the fetched row is used without a None check	`session.get(...)` returns None for a deleted delivery and the next line assigns `row.status`, raising AttributeError inside the finalisation path.
A35	A	Major	app/webhooks/delivery.py — deliver	only httpx.HTTPError is caught	any other failure — serialisation TypeError, DetachedInstanceError, DB error from `_finish` — escapes the loop, leaving the row `in_flight` with no terminal status.
A36	A	Major	app/webhooks/delivery.py — run_worker	asyncio.gather without return_exceptions	the first delivery to raise propagates out of `gather`, out of the `try`, and terminates the worker's `while True` loop entirely.
A37	A	Major	app/webhooks/delivery.py — run_worker	`batch` can be referenced before assignment	if `_claim_batch()` raises, the `finally` runs and the exception propagates, but on any path where the exception is handled upstream the trailing `if not batch` reads an unbound local.
A38	A	Major	app/webhooks/delivery.py — run_worker	follow_redirects=True on outbound customer requests	the client follows 3xx responses, so a registered public URL can redirect the signed payload to an internal host or downgrade it to plaintext http.
A39	A	Major	app/webhooks/delivery.py — send_once	the HMAC signature is written to the application log	"`log.info(""POST %s headers=%s"", endpoint.url, headers)` logs the full header dict at INFO on every attempt, exposing the signature (and any credentials embedded in the URL) to log storage."
A40	A	Major	app/webhooks/delivery.py — _finish	the remote response body is stored unbounded	`response.text` from an untrusted endpoint is written straight into `response_body`, so a hostile receiver can persist arbitrarily large content per attempt.
A41	A	Major	app/webhooks/delivery.py — deliver	endpoint.active is not re-checked at send time	activity is filtered only when the row is enqueued, so an endpoint deactivated afterwards still receives every already-queued delivery.
A42	A	Minor	app/webhooks/delivery.py — run_worker	no bound on concurrent outbound requests	`asyncio.gather` fires all 100 batch deliveries at once, with no per-host or global concurrency limit.
A43	A	Minor	app/webhooks/delivery.py — run_worker	the loop busy-spins whenever the batch is non-empty	`await asyncio.sleep(poll_interval)` is only reached when `batch` is falsy, so a non-empty batch immediately re-enters the lock/claim cycle with no pause.
A44	A	Minor	app/webhooks/delivery.py — enqueue_for_event	declared async but performs only blocking work	there is no `await` in the body, so the endpoint query and inserts block the event loop while pretending to be awaitable.
A45	A	Minor	app/webhooks/delivery.py — enqueue_for_event	the returned count is computed before the insert is durable	`return len(rows)` runs before the session commits, so callers are told rows were enqueued even when the flush or commit subsequently fails.
A46	A	Minor	app/webhooks/delivery.py — deliver	permanent failure has no side effect beyond the row status	reaching `failed_permanent` neither notifies anyone nor deactivates a consistently failing endpoint, so dead endpoints are retried five times per event forever.
A47	A	Minor	app/webhooks/delivery.py — run_worker	no cancellation or shutdown handling	`while True` has no `asyncio.CancelledError` path, so a shutdown during a batch abandons rows in `in_flight` and leaves the redis lock behind.
A48	A	Critical	app/webhooks/signing.py — new_signing_secret	the signing secret comes from the non-cryptographic random module	`random.choice` uses a Mersenne Twister seeded from process state, so observing a few generated secrets allows the remaining ones to be predicted.
A49	A	Critical	app/webhooks/signing.py — verify	signature comparison is not constant time	`expected == signature` short-circuits on the first differing byte, leaking the correct digest through timing while the docs tell customers to use a constant-time comparison.
A50	A	Major	app/webhooks/signing.py — sign	the timestamp is not covered by the MAC	the HMAC input is only the serialised payload, so an attacker replaying a captured request can rewrite `X-Acme-Timestamp` freely and the documented five-minute replay window provides no protection.
A51	A	Major	app/webhooks/signing.py — verify	verify ignores the timestamp the caller received	it recomputes a fresh timestamp from `time.time()` and discards it, so it cannot enforce any freshness window and accepts an arbitrarily old signature.
A52	A	Major	app/webhooks/signing.py — serialize	json.dumps raises on non-JSON-native payload values	payloads containing datetimes, Decimals, or UUIDs raise TypeError with no `default=` handler, and that exception is not among the errors `deliver` catches.
A53	A	Minor	app/webhooks/signing.py — SECRET_BYTES	SECRET_BYTES names a character count, not bytes	the constant is used as the length of an alphanumeric string, so the entropy is 32 characters over a 62-symbol alphabet rather than the 32 bytes the name claims.
A54	A	Critical	app/webhooks/models.py — WebhookDelivery.status	the status values the code writes are not the ones the schema allows	`_finish` writes `failed_permanent` and `STATUSES` declares it, while the migration's CHECK constraint allows only `failed`, so every permanent failure raises a constraint violation.
A55	A	Major	app/webhooks/models.py — created_at / next_attempt_at / updated_at	model declares timezone-aware columns while the migration creates naive ones	`DateTime(timezone=True)` maps to `timestamptz` but the SQL uses bare `TIMESTAMP`, so offsets are dropped on write and reads come back naive.
A56	A	Major	app/webhooks/models.py — WebhookEndpoint.signing_secret	the signing secret is stored in plaintext	the column holds the raw HMAC key with no encryption or hashing, so any database dump or read-only replica access yields every customer's secret.
A57	A	Minor	app/webhooks/models.py — STATUSES	the STATUSES tuple is declared but never used	nothing validates assignments against it, so `status` accepts any string up to 20 characters at the ORM layer.
A58	A	Minor	app/webhooks/models.py — WebhookDelivery.updated_at	updated_at has a default but no onupdate	only `_finish` sets it explicitly, so status changes made anywhere else (such as the `in_flight` transition in `_claim_batch`) leave a stale timestamp.
A59	A	Minor	app/webhooks/models.py — WebhookDelivery.payload	the full event payload is copied per endpoint with no retention bound	each delivery row stores its own JSONB copy of the event body, so an org with several endpoints multiplies retention of potentially sensitive payload data indefinitely.
A60	A	Minor	app/webhooks/models.py — WebhookDelivery.event_id	event_id is a bare BigInteger with no foreign key	nothing ties a delivery to the events table, so deletion of an event leaves orphaned delivery rows and the dedupe key the docs advertise is unenforced on our side.
A61	A	Minor	app/webhooks/models.py — WebhookDelivery.to_dict	to_dict omits created_at although the API orders by it	`list_deliveries` sorts by `created_at.desc()` but never returns it, so clients cannot tell when an attempt happened or page through results.
A62	A	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	UNIQUE index on event_id alone breaks multi-endpoint fan-out	`enqueue_for_event` inserts one row per active endpoint for the same `event_id`, so any org with two or more endpoints hits a unique violation and gets no deliveries at all.
A63	A	Critical	migrations/0042_webhook_delivery.sql — status CHECK	the CHECK constraint omits the status the code writes	the allowed set is `('pending','in_flight','delivered','failed')` while `delivery._finish` writes `failed_permanent`.
A64	A	Major	migrations/0042_webhook_delivery.sql — TIMESTAMP columns	timestamps are created without time zone	`created_at`, `next_attempt_at` and `updated_at` are `TIMESTAMP`, so the aware values the code produces are stored with their offset discarded and compared against `now()` in the server's local zone.
A65	A	Major	migrations/0042_webhook_delivery.sql — organizations.webhooks_enabled	a new NOT NULL flag column is added that no code reads	the ALTER TABLE introduces `webhooks_enabled DEFAULT FALSE`, but neither the dispatcher nor the API consults it, so the flag is dead and the feature is on for everyone.
A66	A	Minor	migrations/0042_webhook_delivery.sql — ALTER TABLE organizations	the organizations ALTER shares a transaction with the table creates	the ALTER takes an ACCESS EXCLUSIVE lock on a hot table for the duration of the whole migration transaction, blocking all reads and writes to organizations.
A67	A	Minor	migrations/0042_webhook_delivery.sql — indexes	no index supports the claim query's ordering	`_claim_batch` filters on status and orders by `next_attempt_at`, but only a single-column index on `status` exists, so the sort is done on the whole pending set.
A68	A	Minor	migrations/0042_webhook_delivery.sql — indexes	no index supports the deliveries listing query	`list_deliveries` filters on `endpoint_id` and orders by `created_at desc` with neither column indexed, so the listing scans the deliveries table.
A69	A	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	no uniqueness on (org_id, url)	the same URL can be registered repeatedly for one org, causing duplicate POSTs of every event to the same receiver.
A70	A	Minor	migrations/0042_webhook_delivery.sql — file	no rollback path is provided	the migration creates two tables and alters a third with no down section, so a failed deploy has to be reversed by hand.
A71	A	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test captures the body and the signature but never checks one against the other	it asserts only that the header starts with `sha256=`, so the mismatch between the signed bytes and the transmitted bytes passes unnoticed even though both are captured.
A72	A	Major	tests/webhooks/test_delivery.py — test_verify_accepts_signature_produced_by_sign	the round-trip test is tautological	`verify` calls `sign` internally, so the assertion holds for any implementation of `sign` and pins nothing about the on-the-wire format.
A73	A	Major	tests/webhooks/test_delivery.py — module	the retry and worker logic has no tests	`deliver`, `_claim_batch`, `_acquire_lock`, `_finish` and `run_worker` — where the retries, locking and status transitions live — are never exercised, only the two pure helpers and `send_once`.
A74	A	Major	tests/webhooks/test_delivery.py — module	the new API routes are untested	nothing covers `create_webhook_endpoint`, `list_webhook_endpoints` or `list_deliveries`, so the URL validation and the missing org scoping are unexercised.
A75	A	Minor	tests/webhooks/test_delivery.py — test_max_attempts_matches_documented_limit	the test asserts a constant against a literal	`assert MAX_ATTEMPTS == 5` restates the source line it imports and cannot fail for any behavioural reason.
A76	A	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the test pins exact delays and so forbids the documented jitter	parametrising `(1,2),(2,4),(3,8),(4,16)` with exact equality means adding the jitter the docs promise turns the test red.
A77	A	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the secret test checks shape only	prefix and length assertions pass equally for a CSPRNG and for a constant string, so nothing detects the use of `random`.
A78	A	Minor	tests/webhooks/test_delivery.py — FakeEndpoint / FakeDelivery	hand-rolled stand-ins replace the ORM models under test	using plain classes with class attributes means the detached-instance behaviour, column types, and JSONB round-tripping of the real models are never exercised.
A79	A	Minor	tests/webhooks/test_delivery.py — module	no test asserts the statuses the code writes are accepted by the schema	nothing inserts a `failed_permanent` row, so the CHECK-constraint mismatch survives a green suite.
A80	A	Minor	tests/webhooks/test_delivery.py — test_send_once_propagates_connection_errors	the test asserts httpx's own behaviour, not the code's	`send_once` contains no error handling, so the test only confirms that MockTransport's raised `ConnectError` travels up an `await`.
A81	A	Major	"docs/webhooks.md — ""Only https:// URLs are accepted"""	the documented URL restriction is not what the code enforces	the validator accepts any scheme beginning with `http`, so plaintext endpoints are registrable despite the stated https-only rule.
A82	A	Major	"docs/webhooks.md — ""it cannot be read back afterwards"""	the documented secrecy guarantee is false	`GET /v1/settings/webhook-endpoints` returns `signing_secret` for every endpoint.
A83	A	Major	"docs/webhooks.md — ""a 4xx is permanent and we stop immediately"""	the documented 4xx behaviour contradicts the retry loop	`deliver` retries every non-2xx status up to MAX_ATTEMPTS.
A84	A	Major	"docs/webhooks.md — ""the HMAC-SHA256 of {timestamp}.{raw_request_body}"""	the documented signing input does not match sign()	`sign` HMACs a re-serialised, key-sorted JSON string with no timestamp prefix, so a customer following the docs will never reproduce our signature.
A85	A	Major	"docs/webhooks.md — ""reject requests whose timestamp is more than five minutes old"""	the documented replay defence cannot work	because the timestamp is outside the MAC, an attacker replaying a captured body can set the header to the current time and still pass verification.
A86	A	Major	"docs/webhooks.md — ""returns the most recent attempts for an endpoint belonging to your organization"""	the documented ownership scoping is not implemented	`list_deliveries` never filters by `org_id`, so the endpoint returns attempts for any endpoint id.
A87	A	Minor	"docs/webhooks.md — ""backoff is exponential with jitter"""	the documented jitter does not exist	`backoff_for` returns a fixed `2**attempt` seconds.
A88	A	Minor	"docs/webhooks.md — ""delivery is at-least-once, so deduplicate on event_id"""	the at-least-once claim is not backed by the code	enqueue failures are swallowed in the dispatcher and the unique index on `event_id` rejects fan-out rows, so events can be dropped outright, and `event_id` is not present in the POSTed body to deduplicate on.
A89	A	Minor	"docs/webhooks.md — ""we POST every subscribed event to it"""	the documented event coverage overstates the wiring	only the three types in `WEBHOOK_EVENT_TYPES` reach the webhook path, regardless of what an endpoint subscribes to.
A90	A	Minor	docs/webhooks.md — file	the docs omit behaviour the code has	nothing documents the 30-second request timeout, the redirect-following, the `in_flight` state visible in the deliveries API, or the per-org `webhooks_enabled` flag the migration introduces.
B01	B	Critical	app/api/routes/settings.py — list_deliveries()	deliveries endpoint has no org scoping, so any user can read any endpoint's deliveries	The query filters only on WebhookDelivery.endpoint_id taken from the path and never joins WebhookEndpoint to check org_id == user.org_id, so any authenticated user can enumerate other organizations' delivery rows including response bodies.
B02	B	Critical	app/api/routes/settings.py — create_webhook_endpoint()	user-supplied URL is fetched by the worker with no SSRF defence	The endpoint stores any host the caller supplies and the delivery worker later POSTs to it, so a customer can point an endpoint at 127.0.0.1, 169.254.169.254 or an internal service and use the signed request as a blind SSRF probe.
B03	B	Major	app/api/routes/settings.py — create_webhook_endpoint()	plain http:// URLs are accepted although docs promise HTTPS only	"The check `parsed.scheme.startswith(""http"")` passes for scheme `http`, so payloads are delivered in cleartext even though docs/webhooks.md states ""Only `https://` URLs are accepted""."
B04	B	Minor	app/api/routes/settings.py — create_webhook_endpoint()	scheme validation by prefix accepts arbitrary schemes	"`parsed.scheme.startswith(""http"")` is true for `httpfoo://host`, so an unusable scheme is persisted and only fails much later inside httpx at delivery time."
B05	B	Major	app/api/routes/settings.py — list_webhook_endpoints()	signing secret is readable back through the list endpoint	"`WebhookEndpoint.to_dict()` includes `signing_secret` and the list route returns it for every endpoint, contradicting docs/webhooks.md (""the response is the only place the signing secret appears — it cannot be read back afterwards"") and turning any read-scoped credential into secret disclosure."
B06	B	Minor	app/api/routes/settings.py — list_deliveries()	limit query parameter has no upper bound	`Query(50, ge=1)` declares a floor but no `le`, so a caller can pass limit=10000000 and force an unbounded result set and JSON serialization of every stored payload row.
B07	B	Minor	app/api/routes/settings.py — EndpointIn.event_types	requested event types are never validated against the types that can fire	"`event_types` is an unconstrained `list[str]`, so a typo like ""invoice.payed"" is accepted and the endpoint silently never receives anything."
B08	B	Minor	app/api/routes/settings.py — webhook-endpoints routes	endpoints can be created and listed but never deactivated or deleted	The model carries an `active` flag that only `enqueue_for_event` reads, and the diff adds no route that can set it or remove an endpoint, so a compromised or dead URL keeps receiving signed payloads.
B09	B	Minor	app/api/routes/settings.py — list_deliveries()	unknown endpoint_id returns 200 with an empty list instead of 404	The handler never loads the endpoint, so a nonexistent id is indistinguishable from an endpoint that has no deliveries.
B10	B	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	only three hardcoded event types can ever reach webhooks	"`dispatch` gates the enqueue on a module-level literal set, so an endpoint registered with empty `event_types` receives just those three types and not ""every event type we emit"" as docs/webhooks.md promises."
B11	B	Major	app/events/dispatcher.py — dispatch()	webhook enqueue failures are swallowed, silently dropping the delivery	The `except Exception` around `enqueue_for_event` only logs a warning and returns the event id as success, so a transient DB error loses the webhook entirely with nothing to retry it, breaking the documented at-least-once guarantee.
B12	B	Major	app/events/dispatcher.py — dispatch()	event persistence and delivery enqueue are in separate transactions	The event row is committed when `session_scope` exits and `enqueue_for_event` opens its own session afterwards, so a crash between the two leaves a persisted event with no delivery rows and no mechanism that reconciles them.
B13	B	Minor	app/events/dispatcher.py — dispatch()	a failing in-process subscriber prevents webhook enqueue	The `for subscriber in SUBSCRIBERS...` loop is unguarded and runs before the webhook block, so one raising subscriber aborts `dispatch` and the webhook is never enqueued.
B14	B	Major	app/events/dispatcher.py — dispatch()	the org-level webhooks_enabled flag added by the migration is never consulted	Migration 0042 adds `organizations.webhooks_enabled NOT NULL DEFAULT FALSE`, but neither `dispatch` nor `enqueue_for_event` reads it, so webhooks fire for every org regardless of the flag and the flag's default suggests the opposite.
B15	B	Critical	app/webhooks/delivery.py — deliver()	time.sleep() inside a coroutine blocks the whole event loop	`deliver` is async but backs off with `time.sleep(delay)`, so a single retrying delivery freezes the worker and every other delivery in the `asyncio.gather` batch for up to 16 seconds at a time.
B16	B	Critical	app/webhooks/delivery.py — _claim_batch() / deliver()	ORM rows are used after their session closes, so attribute access raises DetachedInstanceError	`_claim_batch` returns `WebhookDelivery` instances after `session_scope` exits and commits, and `deliver`/`send_once` then read `delivery.payload`, `delivery.attempts` and `delivery.id` on expired, detached objects.
B17	B	Critical	app/webhooks/delivery.py — deliver()	endpoint is loaded then used outside its session	`endpoint = session.get(m.WebhookEndpoint, ...)` is fetched inside `with session_scope()` but `endpoint.signing_secret` and `endpoint.url` are read in `send_once` after the session closed, so the attribute load fails on a detached instance.
B18	B	Minor	app/webhooks/delivery.py — deliver()	a deleted endpoint yields AttributeError on None	`session.get` returns None when the endpoint row is gone (cascade delete), and the code passes it straight to `send_once` without a None check.
B19	B	Critical	app/webhooks/delivery.py — send_once() vs signing.serialize()	the signature is computed over different bytes than the request body	`sign` hashes `json.dumps(payload, sort_keys=True)` while the request is sent with `client.post(..., json=delivery.payload)`, which serializes with httpx's own key order and separators, so the HMAC never matches the raw body a receiver verifies.
B20	B	Critical	app/webhooks/delivery.py — send_once() / signing.sign()	the timestamp header is not covered by the signature	`sign` returns a timestamp but MACs only the payload, so `X-Acme-Timestamp` is unauthenticated and an attacker can rewrite it freely, defeating the five-minute replay window docs/webhooks.md tells customers to rely on.
B21	B	Major	app/webhooks/delivery.py — send_once()	full request headers including the signature are logged at INFO	"`log.info(""POST %s headers=%s"", endpoint.url, headers)` writes the computed `X-Acme-Signature` and timestamp into application logs, so anyone with log access can replay a valid signed request."
B22	B	Major	app/webhooks/delivery.py — deliver()	4xx responses are retried although the docs call them permanent	"The success branch checks only `200 <= status < 300` and everything else falls through to the retry path, so a 400 or 404 is hammered five times, contradicting ""a 4xx is permanent and we stop immediately""."
B23	B	Critical	app/webhooks/delivery.py — _finish()	the status written on permanent failure violates the migration's CHECK constraint	"`_finish(..., ""failed_permanent"", ...)` stores a value the `webhook_deliveries` CHECK allows only as `'failed'`, so every permanently failed delivery aborts its transaction with a constraint violation."
B24	B	Major	app/webhooks/delivery.py — _acquire_lock()	get-then-set lock acquisition is not atomic	Two workers can both see an empty `LOCK_KEY` before either writes it, so both proceed to claim and deliver the same batch; the check needs a single SET NX.
B25	B	Major	app/webhooks/delivery.py — _acquire_lock()	SET and EXPIRE are separate calls, so a crash leaves a lock with no TTL	If the process dies between `redis_client.set` and `redis_client.expire`, `LOCK_KEY` persists forever and every worker afterwards spins on the poll interval without ever dispatching.
B26	B	Major	app/webhooks/delivery.py — run_worker()	the lock is deleted without checking ownership	`redis_client.delete(LOCK_KEY)` in the `finally` removes whatever value is there, so a worker that overran the 60s TTL deletes the lock a second worker legitimately acquired.
B27	B	Major	app/webhooks/delivery.py — run_worker()	batch processing can far outlive the 60-second lock TTL	The lock expires after 60s while `asyncio.gather` may run five attempts with 30s timeouts and blocking backoffs, so another worker acquires the lock and re-processes rows the first worker still holds.
B28	B	Major	app/webhooks/delivery.py — run_worker()	`batch` is referenced outside the try, so a claim failure raises UnboundLocalError	If `_claim_batch()` raises, the `finally` releases the lock and control reaches `if not batch:` with `batch` never assigned, crashing the worker loop with a NameError instead of the original error.
B29	B	Major	app/webhooks/delivery.py — run_worker()	rows marked in_flight are never recovered after a worker dies	"`_claim_batch` flips status to ""in_flight"" and commits, and nothing resets stale in_flight rows or catches exceptions from `gather`, so a crash or unhandled error strands those deliveries permanently outside the pending query."
B30	B	Major	app/webhooks/delivery.py — run_worker()	asyncio.gather without return_exceptions aborts the whole batch	One delivery raising a non-`httpx.HTTPError` exception (for example `httpx.InvalidURL` or `UnsupportedProtocol` from a stored bogus scheme) propagates out of `gather` and out of `run_worker`, killing the worker and leaving sibling deliveries unfinished.
B31	B	Major	app/webhooks/delivery.py — _claim_batch()	claiming relies solely on the Redis lock with no row-level locking	The SELECT has no `FOR UPDATE SKIP LOCKED` and the status flip happens in a read-then-write gap, so any concurrent claimer (or a lock failure) produces duplicate deliveries.
B32	B	Major	app/webhooks/delivery.py — enqueue_for_event()	naive datetime.utcnow() is written to a timezone-aware column and compared to an aware now()	`next_attempt_at=datetime.utcnow()` produces a naive value while `_claim_batch` filters with `datetime.now(timezone.utc)`, so the comparison depends on the driver's interpretation and misfires by the server's UTC offset.
B33	B	Major	app/webhooks/delivery.py — deliver()	attempts and next_attempt_at are only persisted at terminal state	"The retry ladder runs entirely in memory and `_finish` writes once at the end, so `attempts` stays 0 and `next_attempt_at` never advances during retries, making the deliveries API's ""when the next attempt is scheduled"" wrong and losing all progress if the worker restarts."
B34	B	Minor	app/webhooks/delivery.py — backoff_for()	"backoff has no jitter despite the documented ""exponential with jitter"""	`timedelta(seconds=BASE_DELAY_SECONDS**attempt)` is fully deterministic, so all endpoints failing together retry in lockstep thundering herds.
B35	B	Minor	app/webhooks/delivery.py — _finish()	the row fetched for finishing is used without a None check	`session.get(m.WebhookDelivery, delivery_id)` can return None if the row was deleted by endpoint cascade, and the next line assigns `row.status` on None.
B36	B	Major	app/webhooks/delivery.py — _finish()	the entire response body is stored unbounded in the database	`response_body = detail` persists `response.text` from an arbitrary customer server, so a multi-megabyte or attacker-controlled body is written verbatim into `webhook_deliveries` and later served back through the deliveries API.
B37	B	Major	app/webhooks/delivery.py — run_worker()	follow_redirects=True lets a customer redirect a signed request to another host	The shared `httpx.AsyncClient` follows redirects, so a registered HTTPS endpoint can 302 the signed payload to an internal address or a third party, bypassing whatever validation was done on the stored URL.
B38	B	Minor	app/webhooks/delivery.py — run_worker()	no bound on delivery concurrency	`asyncio.gather` fans out all `BATCH_SIZE` = 100 deliveries at once with no semaphore, so one batch can open 100 simultaneous outbound connections.
B39	B	Minor	app/webhooks/delivery.py — enqueue_for_event() / _finish()	synchronous DB work runs inside coroutines	`enqueue_for_event`, `_claim_batch` and `_finish` do blocking SQLAlchemy calls with no await, so every DB round trip stalls the event loop the worker shares with in-flight HTTP requests.
B40	B	Major	app/webhooks/delivery.py — send_once()	the delivered body carries no event id, so receivers cannot deduplicate	"The request body is the bare internal event payload with no envelope, yet docs/webhooks.md instructs customers to ""deduplicate on `event_id`"" — a field that is never transmitted in the body or headers."
