cluster_id	n	member_ids	claim	status
BULK-12	1	K0090	The change calls `prisma.importStaging` and `prisma.orgActivity` and ships raw DDL, but no Prisma schema declaring those models or the `orgId_email` compound unique appears in the diff.	existing
BULK-14	6	K0001,K0044,K0051,K0116,K0158,K0164	`parseRows` maps an absent or empty name cell to `""` and `applyBatch`'s `update` branch writes it unconditionally, so an empty name column blanks an existing member's display name.	existing
BULK-15	2	K0229,K0266	`enterSystemOperation` sets `skipAudit = true` on the request-scoped `RequestContext` and nothing ever clears it, so the audit exemption granted for the staging writes persists for the remainder of the request, including the promotion upserts.	existing
BULK-19	2	K0128,K0170	`applyBatch` re-reads `role` out of `import_staging` and writes it into `membership` with no re-validation against `ALLOWED_ROLES`, and the staging column carries no `CHECK`, so the parser's allowlist does not survive the staging round trip.	existing
BULK-25	2	K0073,K0088	`parseRows` resolves column positions with `cols.indexOf(...)`, which returns `-1` for an absent column, and `f[-1] ?? ""` then yields an empty string for every row, so a CSV whose header omits `email` parses without error and every row is silently rejected later.	existing
BULK-30	1	K0162	`createMany` is not one of the actions `assertAudited` enumerates, so `enterSystemOperation`'s `skipAudit` grant is a no-op for the staging write it exists to permit and takes effect only on the enumerated writes — the promotion `upsert` and the `org_activity` insert.	existing
BULK-32	1	K0328	`import_staging.display_name` is declared nullable while `ImportRow.displayName` is a non-optional `string`, so a NULL read back by `applyBatch` reaches code whose type cannot represent it.	existing
BULK-33	14	K0013,K0017,K0021,K0053,K0059,K0085,K0101,K0103,K0132,K0146,K0182,K0190,K0212,K0227	`applyBatch` reads the staged batch with `findMany({ where: { batchId } })` and no `orderBy`, so when one CSV lists the same address twice the row applied last — and therefore the surviving role — is decided by the storage engine rather than by the order of the file.	new
BULK-34	1	K0210	`skipAudit` is an optional public field of the exported `RequestContext`, so any code that builds a context can suspend the audit control by setting it in the object literal, without calling `enterSystemOperation` at all.	new
BULK-35	1	K0156	The upsert's `update` branch lowers an existing `owner` to `member` with no check that another owner remains, so a routine import can leave the org with no owner.	new
BULK-36	2	K0092,K0119	`runImport` deletes the staging rows and the only durable record left behind is an `org_activity` row whose detail is two counts, so nothing in the system records which memberships the import created or changed, or with what roles.	new
BULK-37	1	K0007	`import_staging` carries no per-row status or outcome column and `runImport` re-stages every row on each call, so a failed batch is neither resumable nor attributable and a retried request stages a second copy of every row.	new
BULK-38	1	K0189	`applyBatch` discards the parsed `rows` array and re-reads the batch from `import_staging`, so the set promoted into `membership` is whatever the table happens to hold for that `batchId` — including rows orphaned by an earlier failed import — rather than the rows this request parsed.	new
BULK-39	1	K0142	`batchId` joins `ctx.orgId` and `ctx.requestId` with a `-` that occurs inside both operands, so the (org, request) → batch mapping is unambiguous only because org ids happen to be fixed-width UUIDs, a property nothing in the code or schema enforces.	new
CTX-01	16	K0243,K0254,K0279,K0294,K0306,K0316,K0329,K0342,K0353,K0365,K0376,K0390,K0408,K0423,K0434,K0447	`enterSystemOperation()` sets `skipAudit = true` on the live `RequestContext` object held by the `AsyncLocalStorage` frame and nothing ever restores it, so the audit exemption lasts for the whole request instead of the staging write it was granted for.	existing
CTX-02	16	K0240,K0252,K0264,K0277,K0293,K0304,K0314,K0326,K0340,K0351,K0363,K0374,K0387,K0406,K0420,K0431	`contextSnapshot()` is added and exported with no call site anywhere in the diff, and its `Readonly<RequestContext>` return is a compile-time-only annotation over a shallow spread that provides no runtime immutability.	existing
CTX-05	1	K0256	`docs/import.md` and the `enterSystemOperation` doc comment state guarantees the implementation does not provide — that staging writes are the single exception, that the promotion step runs audited as normal, and that only system operations may call the grant.	existing
CTX-06	3	K0070,K0138,K0219	`skipAudit` is an ordinary optional field on the exported `RequestContext`, so any caller of `runWithContext` can pass `skipAudit: true` directly and the "only system operations may call this" restriction is enforced by nothing.	existing
CTX-07	2	K0446,K0456	`contextSnapshot()` copies `skipAudit` into the snapshot, so restoring a context from a snapshot taken inside a granted scope re-establishes the audit suspension.	existing
CTX-08	2	K0118,K0194	`enterSystemOperation` is a plain exported function that takes no argument and checks nothing about its caller, so any module that imports `src/context/request.ts` can suspend the audit guard and the doc comment's "Only system operations may call this" is backed by no mechanism.	existing
CTX-10	6	K0034,K0098,K0114,K0139,K0145,K0152	`enterSystemOperation` calls `currentContext()`, which throws `Error("no request context")` when the `AsyncLocalStorage` store is empty, so the nightly reconciler and schema backfill its docstring names — neither of which runs inside a `runWithContext` frame — cannot call it at all.	existing
CTX-11	1	K0042	The `enterSystemOperation` doc comment names three system operations as its callers, but the change adds exactly one call site, `stageRows` in `src/import/bulk.ts`.	new
CTX-12	2	K0048,K0074	Every field of `RequestContext` is a primitive, so the spread in `contextSnapshot()` is a complete copy and its `Readonly` return is not defective for shallowness.	new
DOC-01	5	K0269,K0313,K0339,K0381,K0455	The "Auditing" section of `docs/import.md` states guarantees the shipped code does not provide — that every membership change writes an audit record, that the Prisma middleware refuses any mutating query without one, that the staging writes are the single exception, and that the promotion step runs audited as normal.	existing
DOC-03	1	K0124	The stated rationale for the audit exemption — that staging rows are scratch rows an operator can inspect or discard before they are applied — describes an inspect-before-apply workflow no code path provides, since `runImport` stages, promotes, and deletes within one request.	existing
DOC-04	3	K0192,K0209,K0228	`docs/import.md` restates the values of `MAX_CSV_BYTES` and `CHUNK` as prose literals ("5 MB per upload", "chunks of 200"), duplicating the constants.	existing
GUARD-01	18	K0230,K0244,K0255,K0267,K0280,K0295,K0307,K0317,K0330,K0344,K0354,K0366,K0377,K0391,K0409,K0424,K0435,K0448	The hand-written `MUTATIONS` set omits mutating Prisma actions — `createMany` above all, the action `stageRows` itself issues, plus variants such as `createManyAndReturn`, `updateManyAndReturn` and the raw-execute actions — so the new `if (!MUTATIONS.has(action)) return;` makes `assertAudited` exit without any check for those writes.	existing
GUARD-02	12	K0238,K0246,K0286,K0300,K0319,K0360,K0368,K0380,K0394,K0410,K0426,K0438	`assertAudited` only throws when `ctx.actorId` is empty and otherwise emits a log line, never writing or verifying an audit record, while its docstring and the "Auditing" section of `docs/import.md` state that every membership change writes an audit record and that the middleware refuses any mutating query not carrying one.	existing
GUARD-03	6	K0274,K0371,K0379,K0393,K0416,K0437	The diff materially changes `assertAudited` and adds new exported production symbols (`enterSystemOperation`, `contextSnapshot`, `runImport`, `POST`), but its only test file covers `parseRows`, so no test in the change executes the audit guard at all.	existing
GUARD-04	10	K0011,K0038,K0076,K0110,K0150,K0157,K0188,K0196,K0206,K0444	The audit-skip branch logs at `logger.debug` while audited writes log at `logger.info`, so the record that the audit control was bypassed is emitted below the level production deployments normally retain.	existing
GUARD-08	2	K0126,K0137	The Prisma middleware and `assertAudited` now each decide independently whether a query is mutating, by different semantics, so the two predicates disagree by construction.	existing
GUARD-09	3	K0120,K0133,K0216	The "audit skipped" log line omits `actorId` and any batch identifier, so a suspended write cannot be attributed to a principal, while the audited-write line beside it carries `actorId`.	existing
GUARD-13	1	K0422	The guard emits an actor identifier at `info` on every mutating write and puts the client-supplied `requestId` into the debug line without validating it, so identity data lands in the logs on the hot path and an untrusted value is logged verbatim.	new
MIG-01	3	K0341,K0375,K0421	`import_staging` has no `org_id` column and no owning foreign key, so tenancy is carried only inside the free-text `batch_id` and no database constraint scopes rows to an org.	existing
MIG-02	4	K0037,K0242,K0315,K0433	`import_staging.role` is `text NOT NULL DEFAULT 'member'` with no `CHECK` constraint, so the role vocabulary is enforced only by `ALLOWED_ROLES` in `src/import/parse.ts` and the column accepts any string.	existing
MIG-03	2	K0291,K0389	`import_staging` has no retention path — no TTL, sweep, or reaper over `created_at` — so rows carrying emails and display names from batches that fail before the happy-path `deleteMany` are retained indefinitely.	existing
MIG-05	6	K0084,K0176,K0185,K0191,K0215,K0400	`org_activity.org_id` and `org_activity.actor_id` declare `REFERENCES` with no `ON DELETE` clause, so they default to `NO ACTION` and block deletion of any org or user that has an activity row.	existing
MIG-06	6	K0016,K0069,K0079,K0151,K0193,K0201	Nothing in the diff ties the new snake_case tables to the Prisma models the code addresses (`prisma.importStaging`, `prisma.orgActivity`) — no Prisma schema change and no migration-verification step in CI.	existing
MIG-08	1	K0125	`import_staging` has no unique constraint on `(batch_id, email)`, so a CSV listing the same address twice stages two rows and upserts that membership twice, inflating the reported `applied` count.	existing
MIG-11	1	K0172	The diff does not establish that Prisma models for `import_staging` and `org_activity` are missing, because a model can be declared in `schema.prisma` ahead of its table and this project keeps hand-written SQL outside `prisma/migrations/`, so the missing-model claim rests on an inference the change does not support.	new
PARSE-01	12	K0234,K0262,K0272,K0311,K0324,K0333,K0359,K0372,K0386,K0395,K0417,K0442	`parseRows` throws an unhandled `TypeError` on an empty or whitespace-only CSV, because the blank-line filter leaves `lines` empty, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length`.	existing
PARSE-02	8	K0149,K0253,K0287,K0303,K0347,K0388,K0404,K0453	`cols.indexOf(...)` returning `-1` for an absent header column is never checked and is used directly as a field index, so `f[-1] ?? ""` silently turns a missing or misspelled `email`/`name` column into an empty value for every row instead of rejecting the file.	existing
PARSE-03	19	K0032,K0039,K0045,K0050,K0057,K0065,K0091,K0095,K0102,K0148,K0159,K0161,K0167,K0174,K0181,K0290,K0334,K0349,K0418	`parseRows` splits the document on `/\r?\n/` before any quote parsing, so `splitLine`'s quote state cannot span a record and an RFC 4180 quoted field containing a newline is torn into two corrupt rows.	existing
PARSE-04	9	K0046,K0257,K0296,K0305,K0343,K0355,K0367,K0378,K0392	The CSV `role` column is validated only against the global `ALLOWED_ROLES` allowlist, which includes `owner`, and `applyBatch` writes it on both the create and update branches, so an actor admitted to the route as `admin` can grant or overwrite `owner` — including on their own membership — with no check against the actor's own rank.	existing
PARSE-05	11	K0003,K0010,K0019,K0020,K0100,K0107,K0121,K0123,K0140,K0147,K0265	The role is compared against `ALLOWED_ROLES` case-sensitively while the email is normalised with `.toLowerCase()`, so a capitalised spelling such as `Admin` fails the membership test and falls back to `member`.	existing
PARSE-07	3	K0015,K0221,K0289	The role vocabulary is spelled out independently in `ALLOWED_ROLES`, in the route's `session.role` comparison, and in the migration, with no shared definition.	existing
PARSE-08	2	K0327,K0432	`"member"` is both the fallback for an unrecognised or absent role and a legitimate role value, so a coerced row is indistinguishable from a row that genuinely said `member`, and neither the caller nor `ImportSummary` reports the substitution.	existing
PARSE-14	1	K0112	`displayName` has no length bound in `parseRows` and the backing column is unbounded `text`, so an arbitrarily long value reaches storage.	existing
PARSE-15	2	K0058,K0168	Email validity is adjudicated only by `applyBatch`'s `row.email.includes("@")` after the staging round trip rather than at the parse boundary, so values such as `@`, `a@`, and `@x` pass as addresses.	existing
PARSE-16	3	K0113,K0141,K0405	`splitLine` never inspects `quoted` after its loop ends, so a line with an unterminated quote silently yields the rest of the line as one trailing field instead of being reported as malformed.	existing
PARSE-17	1	K0276	`import_staging` carries no `org_id` column and no foreign key to `orgs`, so a staged row's tenancy is encoded only inside the `batch_id` string.	existing
PARSE-19	4	K0012,K0023,K0041,K0226	`splitLine` toggles `quoted` on any `"` regardless of its position in the field, so a bare quote inside an unquoted value opens quote state mid-field and the following commas stop delimiting, merging the remaining cells into one.	existing
PARSE-20	2	K0033,K0094	`parseRows` normalises header cells with `.trim().toLowerCase()` only, which does not strip a leading UTF-8 BOM, so a CSV exported by a spreadsheet yields `cols[0] === "﻿email"` and the `indexOf` lookups return `-1`.	existing
PARSE-21	1	K0006	Nothing on the upload path bounds the number of data rows in a CSV — the 5 MB byte cap in `src/routes/import.ts` is the only size limit, and neither `parseRows` nor the schema caps how many rows a single import may carry.	new
PARSE-22	10	K0026,K0062,K0068,K0108,K0115,K0122,K0130,K0173,K0217,K0225	`applyBatch`'s upsert writes `role` and `displayName` unconditionally in its `update` branch, so values `parseRows` manufactured for columns the CSV never supplied overwrite existing memberships — a CSV with no `role` column demotes every listed admin and owner to `member`.	new
PARSE-23	1	K0027	`parseRows` never compares a parsed row's field count with the header's column count, so a row with fewer fields than columns is filled from `??` defaults and emitted as a valid `ImportRow` instead of being rejected.	new
PARSE-24	1	K0080	The importer lowercases `email` and keys the `orgId_email` upsert on the normalised value, so a membership stored with its original case by another code path is not matched and a duplicate row is created instead of updated.	new
PARSE-25	1	K0197	Nothing in the change treats `email` as a key, so a CSV containing the same address twice stages two rows and `applyBatch` promotes them in unspecified order, leaving the repeated member's final role nondeterministic.	new
PARSE-26	1	K0364	`parseRows` unconditionally consumes the first line as the header, so a CSV with no header row silently loses its first data row instead of being rejected.	new
ROUTE-01	18	K0235,K0249,K0258,K0273,K0284,K0297,K0310,K0322,K0336,K0348,K0358,K0370,K0383,K0398,K0415,K0427,K0439,K0452	The 5 MB upload cap in `POST /api/import` is evaluated only after `await req.text()` has buffered the entire body, and it compares `csv.length` — UTF-16 code units — against a constant named `MAX_CSV_BYTES`, so it neither prevents the allocation nor bounds bytes.	existing
ROUTE-02	7	K0097,K0223,K0239,K0250,K0288,K0325,K0399	The new `POST /api/import` endpoint ships with no rate limiter or concurrency bound, while each accepted request costs a multi-megabyte parse, a chunked insert, and one database round trip per CSV row.	existing
ROUTE-03	5	K0282,K0309,K0321,K0412,K0451	`batchId` is built from the unvalidated client-supplied `x-request-id` header and is the sole predicate for `applyBatch`'s `findMany` and the cleanup `deleteMany` against an `import_staging` table that carries no tenancy column, so two requests choosing the same header value read and delete each other's staged rows.	existing
ROUTE-04	1	K0402	The route's 401/403 authorization gate ships with no test on either the deny side or the allow side, and nothing asserts that a denied request performed no write.	existing
ROUTE-05	4	K0129,K0155,K0179,K0224	The handler reads the raw request body with no `Content-Type` allowlist, no `Origin`/`Sec-Fetch-Site` check, and no CSRF token, so a cross-origin HTML form can issue this state-changing request as a CORS simple request.	existing
ROUTE-07	1	K0318	An `admin` caller can assign the `owner` role and rewrite the role of existing memberships through the import, because the route admits `admin`, `ALLOWED_ROLES` accepts `owner`, and `applyBatch` upserts the role with no check against the acting session's own privilege.	existing
ROUTE-09	7	K0040,K0047,K0111,K0127,K0136,K0144,K0204	The only durable record of the import is a single free-text aggregate `orgActivity.create` written after `runImport` returns, with no transaction spanning the membership upserts and that row.	existing
ROUTE-15	1	K0218	The route asserts no media type before handing the raw body to `parseRows`, so a browser `multipart/form-data` file upload — the flow `docs/import.md` describes — is parsed with the boundary marker as the header row and returns HTTP 200 rather than being rejected.	existing
ROUTE-17	4	K0067,K0081,K0165,K0214	The activity row's `detail` records only the applied and rejected counts — no `batchId`, no affected email addresses, no role transitions — while `runImport` deletes the staging rows in the same request, so nothing that outlives the import says which memberships were created or which roles were overwritten.	existing
ROUTE-18	1	K0024	The 401 and 403 rejection paths return before `runWithContext` is entered, so a refused privileged import writes no `org_activity` row and leaves no audit line at all.	new
ROUTE-19	1	K0030	`x-request-id` is used only to name the staging batch and never as an idempotency key, so a client that retries after a timeout re-runs the entire import and appends a second `org_activity` row for one logical import.	new
TEST-01	12	K0237,K0251,K0263,K0285,K0301,K0312,K0323,K0338,K0350,K0361,K0429,K0454	The new exported production symbols `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary` and the route `POST`, together with the materially changed audit guard `assertAudited`, have no test anywhere in the diff, whose only test file covers `parseRows`.	existing
TEST-08	18	K0022,K0035,K0071,K0087,K0093,K0099,K0105,K0117,K0134,K0154,K0160,K0163,K0171,K0177,K0180,K0187,K0198,K0202	`it("keeps an allowed role")` asserts that a CSV-supplied `owner` survives `parseRows` unchanged, so the suite states the privilege-escalation path as the intended contract and any fix narrowing the role allowlist turns a green test red.	existing
TEST-09	6	K0004,K0008,K0014,K0078,K0199,K0207	`it("defaults a missing role to member")` feeds a header with no `role` column, so it is green by way of the `cols.indexOf("role") === -1` → `f[-1] === undefined` path and pins that negative-index fallback as the expected contract instead of exercising a real default.	existing
TEST-10	1	K0018	`it("accepts CRLF line endings")` asserts only `toHaveLength(1)`, so it passes for any implementation that yields one row — including one that leaves a trailing `\r` on the last field — and cannot fail for the reason its name states.	existing
TEST-11	1	K0055	Every case in `test/import/parse.test.ts` uses the same `email,name,role` column order, so the header-index mapping `parseRows` computes is never exercised and a parser that read fields positionally would pass the whole suite.	new
