batch	review	arm	part	agent_id	model	tool_calls	tool_errors	output_git_blob_sha1
4	4	W	a	a9005523f22fb4438	claude-opus-5	13	0	f5a9ed3a4a86c04cd4d01a9e602318ca87a590af
4	4	W	b	a51c7c953e12c800a	claude-opus-5	19	1	ca681f5ecb481181e5baf800c4885f0e648e28c7
4	4	W	c	a289482cc997b9d74	claude-opus-5	10	0	4de7aa1a9aca12958832775f83d5cb418731d43c
6	6	N	a	afeff40bc5bf2776d	claude-opus-5	8	0	47a4a662a814aa38cd184bb06491d15c7daea043
6	6	N	b	ad374ac91a5b006f4	claude-opus-5	10	0	ce004ee374853ed227d71d311c9565d937345c8d
6	6	N	c	a3513c43a52c8883f	claude-opus-5	9	0	829dcb642fea68dad934e480bba4789a591d7e80
6	6	W	a	aa9de4e7a1637879e	claude-opus-5	11	0	f25b46ed193e20a28e8cde856fbe6273c3a591b5
6	6	W	b	ac8800ae146f7e2e2	claude-opus-5	9	0	b7d8c18dd7465f72d33b3d8cd7e9f286a60ee28a
6	6	W	c	af88cc39f436f77d8	claude-opus-5	8	0	8745c7484f4e1b4dd3728e9f265cf0d8aa307a83
7	7	N	a	a863b3e0783aabbf1	claude-opus-5	8	0	83a77bac3b8012c096ddc7fe8d928bc23f493100
7	7	N	b	afd74018e3f8e0796	claude-opus-5	10	0	b6f4e0b9659c9d538ebea14fd36b4cb8fde655c2
7	7	N	c	a9075c6f26f011cf6	claude-opus-5	12	0	0b23c8777aac7999ebcf6e60d9819412e47ba17c
7	7	W	a	abfb301773456b51e	claude-opus-5	13	0	7852ce10ab1dbb634fb69922af47498718d32074
7	7	W	b	abfbe2955e11f081c	claude-opus-5	9	0	7dc2021603596748b033beb264bc1b7ccf0df7ef
7	7	W	c	ae20affae474fa49b	claude-opus-5	8	0	ca24165f4fd1f41fbb7dbccd014c840f3c382a6f
8	8	N	a	a1e5223bd5a5cd40f	claude-opus-5	7	0	49462cdcb0833ef05971be6c8d03dd05c0076207
8	8	N	b	a7fab58404ab98c70	claude-opus-5	7	0	9917b5d541888abf88135d1f1f6bcb5577626ee7
8	8	N	c	ab305e971889f1aa6	claude-opus-5	8	0	44e8af3cda646b507fd99511137f5e79d9d899b9
8	8	W	a	ad5f5d9cdf0801622	claude-opus-5	11	1	1417ce47b4994779ba7cc586e36bb1018cfc7aa1
8	8	W	b	a8ab3764447490ef0	claude-opus-5	7	0	47e49bf4589ee94f8d2ae0850d684ca872874420
8	8	W	c	aed9e96b24ddc95a9	claude-opus-5	8	0	431e02ca0f054e72ee2821e29d6698eb185d54a0
9	9	N	a	ab9e11581cc23a31d	claude-opus-5	11	0	d3b48ce3318da0317a1390c85d69bebdde31ff38
9	9	N	b	adaa27200073756b7	claude-opus-5	10	0	47ecb84248850070d245a1767d02fe496636a582
9	9	N	c	a05fb52847fa10d07	claude-opus-5	15	0	6ddf69b7c1c58b8d8d3e33867bae30751dd85956
9	9	W	a	a483204e2793eaec6	claude-opus-5	9	0	c3511f9dbea81221ae7d2da064724bc0501d09c5
9	9	W	b	ad3f4d54d0b64ecbe	claude-opus-5	7	0	c95062b74fdd0c8da9fa0e89144aed99910c6d1e
9	9	W	c	a385336379153f3e2	claude-opus-5	8	0	f063cc96d3a7fc13068fc0f6d5b365b144727bef
10	10	N	a	a51441e06b228eaf6	claude-opus-5	8	0	ab0bb3edd68e68d519a7da01f15ec740fdf3f823
10	10	N	b	acdeaa23890e890f7	claude-opus-5	6	0	2040f525377fa06210b10178c5aecb9f0b6395b1
10	10	N	c	a8568978f8c379d41	claude-opus-5	8	0	b98874e7ce0e3f18c47166311428be48bcc94f27
10	10	W	a	a5556f6261deafed9	claude-opus-5	8	0	18044eeec3fe8ceadd684cd14aa4a5435fe92eb9
10	10	W	b	a713928c9749552ce	claude-opus-5	6	0	557dca9f356fef039e7500be9843b060eb479e0e
10	10	W	c	ae91ad3e10a42d9f1	claude-opus-5	15	0	2efbd70a637ca302f1da9c2075eef7bf1e737f72
11	11	N	a	ab669a512b718663d	claude-opus-5	10	0	717a62080c266427d69bd6fcee7e3e36e7f407b1
11	11	N	b	af2761496545fcd76	claude-opus-5	11	0	18eab268e7d4f2516a06feb549e7bb7fbe8887a9
11	11	N	c	ac2531c61207c0184	claude-opus-5	9	0	aa9d77f6fd01502a806580bac91086060e596868
11	11	W	a	a3038339e1517c91b	claude-opus-5	10	0	fd9f72ef7702142f45c599b4160ee917e749561d
11	11	W	b	a53420a5671b0d99a	claude-opus-5	10	0	028fe9ff97e90df7ac2e5afe2d45736277ac73dc
11	11	W	c	a5a0cda43a9fd5292	claude-opus-5	7	0	35209d4ea4a94e5f5a18ec9be7b71cd0a5df724c
12	12	N	a	a94bb4511b7f2de44	claude-opus-5	7	0	da54b023b6f53256c9c18e48a2b2451bc926929c
12	12	N	b	ae5775538f4f0c76b	claude-opus-5	8	0	fccb716276494ff1d8c286960b18fabc5e4bdae9
12	12	N	c	ad86e3c6abf712514	claude-opus-5	8	0	579b0770251620afc2b9122e7a0ab85359af6434
12	12	W	a	a71bf39d3acfa54b9	claude-opus-5	11	0	d54674d3b3f20d6a8beee997f3549fedb8a4fd58
12	12	W	b	ab9c480bf5529a069	claude-opus-5	9	0	b781a7710ec880d778eeed959ce4830be6c41def
12	12	W	c	a4690dfa5d7ac2a7d	claude-opus-5	8	0	df676fb6dec74050d34b4dfe0399fbf08001df72
