cluster_id	n	member_ids	claim	status
GUARD-02	23	G0008,G0039,G0051,G0093,G0101,G0112,G0179,G0198,G0205,G0223,G0232,G0280,G0298,G0307,G0320,G0347,G0440,G0451,G0474,G0519,G0525,G0549,G0589	`assertAudited` only throws when `ctx.actorId` is empty and otherwise emits a log line, never writing or verifying an audit record, while its docstring and the "Auditing" section of `docs/import.md` state that every membership change writes an audit record and that the middleware refuses any mutating query not carrying one.	existing
GUARD-03	15	G0009,G0031,G0058,G0067,G0082,G0173,G0210,G0222,G0286,G0338,G0354,G0380,G0409,G0518,G0541	The diff materially changes `assertAudited` and adds new exported production symbols (`enterSystemOperation`, `contextSnapshot`, `runImport`, `POST`), but its only test file covers `parseRows`, so no test in the change executes the audit guard at all.	existing
GUARD-04	8	G0052,G0084,G0174,G0288,G0328,G0356,G0470,G0598	The audit-skip branch logs at `logger.debug` while audited writes log at `logger.info`, so the record that the audit control was bypassed is emitted below the level production deployments normally retain.	existing
MIG-01	10	G0011,G0085,G0096,G0302,G0315,G0330,G0342,G0370,G0444,G0585	`import_staging` has no `org_id` column and no owning foreign key, so tenancy is carried only inside the free-text `batch_id` and no database constraint scopes rows to an org.	existing
MIG-02	11	G0025,G0035,G0239,G0251,G0289,G0357,G0405,G0420,G0432,G0482,G0496	`import_staging.role` is `text NOT NULL DEFAULT 'member'` with no `CHECK` constraint, so the role vocabulary is enforced only by `ALLOWED_ROLES` in `src/import/parse.ts` and the column accepts any string.	existing
MIG-03	3	G0061,G0130,G0509	`import_staging` has no retention path — no TTL, sweep, or reaper over `created_at` — so rows carrying emails and display names from batches that fail before the happy-path `deleteMany` are retained indefinitely.	existing
MIG-05	1	G0457	`org_activity.org_id` and `org_activity.actor_id` declare `REFERENCES` with no `ON DELETE` clause, so they default to `NO ACTION` and block deletion of any org or user that has an activity row.	existing
MIG-06	1	G0492	Nothing in the diff ties the new snake_case tables to the Prisma models the code addresses (`prisma.importStaging`, `prisma.orgActivity`) — no Prisma schema change and no migration-verification step in CI.	existing
PARSE-01	25	G0007,G0017,G0032,G0059,G0091,G0117,G0127,G0149,G0185,G0224,G0234,G0260,G0271,G0296,G0350,G0368,G0379,G0415,G0464,G0480,G0503,G0516,G0539,G0580,G0592	`parseRows` throws an unhandled `TypeError` on an empty or whitespace-only CSV, because the blank-line filter leaves `lines` empty, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length`.	existing
PARSE-02	24	G0043,G0071,G0081,G0106,G0141,G0164,G0172,G0196,G0211,G0225,G0246,G0261,G0284,G0325,G0339,G0351,G0393,G0439,G0455,G0493,G0532,G0557,G0568,G0593	`cols.indexOf(...)` returning `-1` for an absent header column is never checked and is used directly as a field index, so `f[-1] ?? ""` silently turns a missing or misspelled `email`/`name` column into an empty value for every row instead of rejecting the file.	existing
PARSE-03	13	G0070,G0197,G0238,G0275,G0285,G0312,G0414,G0427,G0481,G0494,G0530,G0543,G0556	`parseRows` splits the document on `/\r?\n/` before any quote parsing, so `splitLine`'s quote state cannot span a record and an RFC 4180 quoted field containing a newline is torn into two corrupt rows.	existing
PARSE-04	10	G0028,G0076,G0088,G0122,G0204,G0386,G0396,G0460,G0499,G0537	The CSV `role` column is validated only against the global `ALLOWED_ROLES` allowlist, which includes `owner`, and `applyBatch` writes it on both the create and update branches, so an actor admitted to the route as `admin` can grant or overwrite `owner` — including on their own membership — with no check against the actor's own rank.	existing
PARSE-05	7	G0118,G0154,G0276,G0314,G0417,G0531,G0544	The role is compared against `ALLOWED_ROLES` case-sensitively while the email is normalised with `.toLowerCase()`, so a capitalised spelling such as `Admin` fails the membership test and falls back to `member`.	existing
PARSE-07	8	G0056,G0073,G0108,G0188,G0327,G0454,G0558,G0572	The role vocabulary is spelled out independently in `ALLOWED_ROLES`, in the route's `session.role` comparison, and in the migration, with no shared definition.	existing
PARSE-08	2	G0047,G0404	`"member"` is both the fallback for an unrecognised or absent role and a legitimate role value, so a coerced row is indistinguishable from a row that genuinely said `member`, and neither the caller nor `ImportSummary` reports the substitution.	existing
PARSE-15	1	G0300	Email validity is adjudicated only by `applyBatch`'s `row.email.includes("@")` after the staging round trip rather than at the parse boundary, so values such as `@`, `a@`, and `@x` pass as addresses.	new
PARSE-16	2	G0343,G0599	`splitLine` never inspects `quoted` after its loop ends, so a line with an unterminated quote silently yields the rest of the line as one trailing field instead of being reported as malformed.	new
ROUTE-01	45	G0006,G0016,G0042,G0072,G0077,G0095,G0103,G0115,G0126,G0137,G0150,G0160,G0170,G0180,G0195,G0206,G0220,G0233,G0243,G0257,G0269,G0283,G0295,G0309,G0323,G0336,G0353,G0364,G0378,G0401,G0412,G0425,G0438,G0450,G0463,G0477,G0490,G0502,G0515,G0528,G0540,G0553,G0566,G0579,G0594	The 5 MB upload cap in `POST /api/import` is evaluated only after `await req.text()` has buffered the entire body, and it compares `csv.length` — UTF-16 code units — against a constant named `MAX_CSV_BYTES`, so it neither prevents the allocation nor bounds bytes.	existing
ROUTE-02	23	G0152,G0184,G0200,G0213,G0236,G0248,G0297,G0324,G0337,G0352,G0365,G0381,G0389,G0400,G0413,G0428,G0465,G0478,G0501,G0517,G0554,G0567,G0578	The new `POST /api/import` endpoint ships with no rate limiter or concurrency bound, while each accepted request costs a multi-megabyte parse, a chunked insert, and one database round trip per CSV row.	existing
ROUTE-03	16	G0089,G0113,G0125,G0136,G0148,G0169,G0207,G0219,G0256,G0308,G0334,G0348,G0426,G0476,G0514,G0538	`batchId` is built from the unvalidated client-supplied `x-request-id` header and is the sole predicate for `applyBatch`'s `findMany` and the cleanup `deleteMany` against an `import_staging` table that carries no tenancy column, so two requests choosing the same header value read and delete each other's staged rows.	existing
ROUTE-07	2	G0217,G0473	An `admin` caller can assign the `owner` role and rewrite the role of existing memberships through the import, because the route admits `admin`, `ALLOWED_ROLES` accepts `owner`, and `applyBatch` upserts the role with no check against the acting session's own privilege.	existing
TEST-01	30	G0021,G0044,G0094,G0102,G0116,G0128,G0138,G0151,G0162,G0183,G0199,G0235,G0258,G0273,G0299,G0313,G0326,G0366,G0390,G0441,G0453,G0466,G0479,G0491,G0506,G0533,G0555,G0569,G0581,G0596	The new exported production symbols `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary` and the route `POST`, together with the materially changed audit guard `assertAudited`, have no test anywhere in the diff, whose only test file covers `parseRows`.	existing
