cluster_id	status	n	member_ids	claim
DELIVERY-20	existing	47	F0553,F0554,F0638,F0639,F0640,F0641,F0642,F0643,F0644,F0645,F0646,F0647,F0652,F0653,F0654,F0659,F0660,F0718,F0719,F0720,F0722,F0723,F0740,F0741,F0742,F0743,F0744,F0745,F0746,F0747,F0799,F0800,F0826,F0827,F0829,F0830,F0834,F0835,F0839,F0858,F0859,F0860,F0861,F0862,F0863,F0864,F0873	send_once logs the full header dict at INFO, writing the X-Acme-Signature and timestamp values into application logs on every attempt.
DELIVERY-21	existing	26	F0464,F0465,F0467,F0528,F0529,F0530,F0531,F0532,F0533,F0655,F0656,F0657,F0658,F0661,F0724,F0725,F0824,F0825,F0828,F0874,F0895,F0896,F0897,F0898,F0899,F0936	_finish stores the remote response.text in response_body with no truncation or size bound, so a receiver controls how much content is persisted per attempt.
DELIVERY-25	existing	3	F0474,F0475,F0748	enqueue_for_event, _claim_batch and _finish perform blocking synchronous SQLAlchemy work while called from coroutines, so every database round trip stalls the event loop.
DELIVERY-30	existing	8	F0721,F0790,F0791,F0792,F0793,F0794,F0795,F0796	the POSTed body is the bare event payload with no event_id or event_type in the body or headers, so a receiver has no id to deduplicate on.
DISPATCH-01	existing	49	F0274,F0275,F0276,F0277,F0278,F0279,F0280,F0281,F0282,F0283,F0284,F0285,F0286,F0287,F0288,F0289,F0290,F0291,F0301,F0302,F0311,F0312,F0313,F0314,F0315,F0316,F0318,F0336,F0337,F0338,F0339,F0340,F0341,F0342,F0343,F0344,F0345,F0346,F0347,F0348,F0349,F0350,F0351,F0352,F0356,F0357,F0358,F0359,F0365	dispatch gates the webhook enqueue on the hardcoded three-entry WEBHOOK_EVENT_TYPES set, so an endpoint subscribed to any other type, or to all types via an empty event_types, receives nothing.
DISPATCH-02	existing	37	F0292,F0293,F0294,F0295,F0296,F0297,F0298,F0299,F0300,F0304,F0305,F0306,F0307,F0308,F0309,F0310,F0319,F0320,F0321,F0322,F0323,F0324,F0325,F0326,F0327,F0328,F0329,F0330,F0331,F0332,F0333,F0334,F0335,F0367,F0368,F0369,F0370	the except Exception around enqueue_for_event logs a warning and lets dispatch return the event id as success, so a failed enqueue drops the webhook with no retry or failure signal.
DISPATCH-03	existing	16	F0303,F0317,F0353,F0354,F0355,F0360,F0361,F0362,F0363,F0364,F0366,F0371,F0372,F0373,F0374,F0375	the event row is committed when session_scope exits and enqueue_for_event then opens its own transaction, so a failure between the two leaves a persisted event with no delivery rows.
MIGRATION-01	existing	54	F1214,F1215,F1216,F1217,F1218,F1219,F1220,F1221,F1222,F1223,F1224,F1225,F1374,F1375,F1376,F1377,F1378,F1379,F1380,F1381,F1382,F1383,F1384,F1385,F1386,F1387,F1388,F1389,F1390,F1391,F1392,F1393,F1394,F1395,F1396,F1397,F1398,F1399,F1400,F1401,F1402,F1403,F1404,F1405,F1406,F1407,F1408,F1409,F1410,F1411,F1412,F1413,F1416,F1417	CREATE UNIQUE INDEX idx_webhook_deliveries_event on webhook_deliveries (event_id) permits only one delivery row per event, so fan-out to a second endpoint violates the index and the whole enqueue fails.
MIGRATION-02	existing	54	F0788,F0789,F0869,F0870,F1227,F1284,F1285,F1297,F1298,F1299,F1322,F1323,F1330,F1331,F1332,F1333,F1334,F1335,F1336,F1337,F1338,F1339,F1340,F1341,F1342,F1343,F1344,F1345,F1346,F1347,F1348,F1349,F1350,F1351,F1352,F1353,F1354,F1355,F1356,F1357,F1358,F1359,F1360,F1361,F1362,F1363,F1364,F1365,F1366,F1367,F1370,F1371,F1372,F1373	_finish writes the status failed_permanent, which the migration's CHECK constraint ('pending','in_flight','delivered','failed') does not allow, so a permanent failure cannot be recorded.
MIGRATION-03	existing	52	F1229,F1230,F1231,F1232,F1233,F1234,F1235,F1236,F1237,F1238,F1239,F1240,F1241,F1242,F1243,F1244,F1245,F1246,F1247,F1248,F1249,F1250,F1251,F1252,F1253,F1254,F1256,F1257,F1258,F1259,F1260,F1261,F1262,F1263,F1264,F1265,F1266,F1267,F1268,F1269,F1270,F1271,F1272,F1273,F1274,F1275,F1276,F1277,F1278,F1296,F1301,F1302	the migration adds organizations.webhooks_enabled NOT NULL DEFAULT FALSE but no code in the change reads it, so the flag has no effect on endpoint creation or delivery.
MIGRATION-04	existing	30	F1226,F1228,F1255,F1283,F1290,F1291,F1292,F1293,F1300,F1303,F1304,F1305,F1306,F1307,F1308,F1309,F1310,F1311,F1312,F1313,F1314,F1315,F1316,F1317,F1318,F1319,F1321,F1324,F1414,F1415	the only index available to the claim query is on status, while _claim_batch also filters on and orders by next_attempt_at, so the pending set is sorted on every poll.
MIGRATION-05	existing	4	F1294,F1295,F1320,F1325	no index supports list_deliveries, which filters on endpoint_id and orders by created_at DESC with neither column indexed.
MIGRATION-08	existing	1	F1327	the migration contains only forward DDL with no down or rollback section, so the two new tables and the organizations column cannot be reverted by the migration tool.
MODELS-01	existing	54	F0104,F0903,F0904,F0905,F0906,F0907,F0908,F0909,F0910,F0911,F0924,F0925,F0926,F0927,F0928,F0929,F0937,F0938,F0940,F0941,F0942,F0946,F0950,F0951,F0952,F0953,F0955,F0956,F0957,F0958,F0959,F0960,F0961,F0962,F0963,F0964,F0965,F0966,F0967,F0968,F0969,F0970,F0971,F0972,F0973,F0974,F0975,F0976,F0977,F0978,F0979,F0980,F0981,F0982	WebhookEndpoint.to_dict includes signing_secret, so GET /v1/settings/webhook-endpoints returns every endpoint's signing secret rather than exposing it only in the creation response.
MODELS-03	existing	10	F0947,F0949,F1286,F1287,F1288,F1289,F1326,F1328,F1368,F1369	models.py declares created_at, updated_at and next_attempt_at as DateTime(timezone=True) while migration 0042 creates them as TIMESTAMP without time zone, so offsets are dropped on write.
MODELS-04	existing	19	F0912,F0913,F0914,F0915,F0916,F0917,F0918,F0919,F0920,F0921,F0922,F0923,F0930,F0931,F0932,F0933,F0934,F0935,F0954	the STATUSES tuple is referenced by no column, validator, or check, and lists failed_permanent where the migration's CHECK lists failed.
MODELS-05	existing	1	F0943	WebhookDelivery.updated_at has a creation default but no onupdate, so writes that do not go through _finish, such as the in_flight flip, leave the timestamp stale.
MODELS-07	existing	1	F0948	WebhookDelivery.event_type is declared String(100) in the model while the migration creates the column as unbounded TEXT.
NEWDEL-01	existing	29	F0018,F0020,F0023,F0024,F0025,F0113,F0114,F0115,F0118,F0119,F0132,F0134,F0196,F0224,F0413,F0419,F0421,F0422,F0525,F0605,F0622,F0623,F0624,F0625,F0784,F0786,F0787,F0797,F0798	_claim_batch orders by next_attempt_at and list_deliveries orders by created_at, both non-unique wall-clock timestamps with no unique tie-break ahead of the LIMIT, so the order among tied rows is undefined.
NEWDEL-02	existing	15	F0540,F0541,F0542,F0543,F0544,F0545,F0546,F0617,F0618,F0714,F0876,F0877,F0878,F0879,F0880	run_worker's poll body wraps _claim_batch, asyncio.gather and the Redis calls in a try whose only clause is finally, so any exception propagates out of the while True loop and terminates the worker.
NEWDEL-03	existing	1	F0473	endpoint.active is filtered only in enqueue_for_event and is re-checked in neither _claim_batch nor deliver, so rows queued before an endpoint was deactivated are still POSTed to it.
NEWDEL-05	existing	2	F0476,F0477	enqueue_for_event is declared async but contains no await, so its coroutine signature promises a yield to the event loop that never happens.
NEWDEL-09	existing	1	F0412	send_once sets the Content-Type header by hand while also passing json=, which httpx already sets, so the manual header is redundant.
NEWSCH-01	existing	1	F0939	WebhookDelivery.to_dict returns next_attempt_at but omits created_at and updated_at, so a caller has no timestamp for when an attempt actually happened.
NEWSCH-02	existing	1	F0945	webhook_deliveries stores a full copy of every event payload and the full remote response_body with no retention policy, TTL, purge job, or size bound.
NEWSCH-03	existing	1	F1329	migration 0042 combines the two CREATE TABLE statements with an ALTER TABLE on the existing organizations table, so a lock wait or failure on that hot table rolls back the whole feature's schema.
NEWSCH-05	existing	4	F1279,F1280,F1281,F1282	webhook_deliveries.endpoint_id is declared REFERENCES webhook_endpoints (id) ON DELETE CASCADE, so deleting an endpoint destroys its entire delivery history.
NEWSET-01	existing	48	F0135,F0158,F0159,F0160,F0161,F0162,F0163,F0164,F0165,F0177,F0178,F0179,F0180,F0181,F0182,F0183,F0184,F0186,F0187,F0188,F0189,F0190,F0191,F0192,F0200,F0201,F0234,F0235,F0236,F0237,F0238,F0239,F0240,F0241,F0242,F0243,F0244,F0245,F0246,F0252,F0253,F0254,F0255,F0256,F0257,F0259,F0260,F0262	None of the three new routes create_webhook_endpoint, list_webhook_endpoints and list_deliveries carries a rate-limit dependency or decorator, so each is callable without any per-caller throttle.
NEWSET-02	existing	13	F0021,F0022,F0026,F0101,F0102,F0120,F0121,F0122,F0123,F0133,F0226,F0230,F0231	list_deliveries orders by WebhookDelivery.created_at with no unique tie-break before applying limit, and rows written by one enqueue_for_event fan-out share that timestamp, so which rows fall inside the cut is undefined among ties.
NEWSIG-02	existing	2	F1009,F1010	serialize, the helper that determines the signed byte string, has no test of its own and is exercised only indirectly through sign, so its determinism contract is asserted nowhere.
NEWTD-01	existing	5	F1191,F1200,F1203,F1207,F1208	docs/webhooks.md states several behaviours at once that the implementation in the same change does not have — https-only URL acceptance, a signing secret that cannot be read back, jittered backoff, immediate permanent failure on 4xx, a signature over the raw request body, and delivery of every subscribed event type.
NEWTD-03	existing	3	F1427,F1453,F1454	test_backoff_grows_exponentially hardcodes its expected delays as literals instead of deriving them from BASE_DELAY_SECONDS.
R18-DEL-02	existing	7	F0557,F0632,F0634,F0635,F0662,F0663,F0664	the change depends on app.db.session_scope committing its writes and on its expire_on_commit setting, neither of which is part of the diff and so cannot be confirmed from it.
R18-SIG-01	existing	2	F1034,F1518	verify is exported and called by nothing in the change except the tests, so the reference verifier the docs point customers at has no production caller.
R18-SIG-02	existing	1	F1035	new_signing_secret builds a prefixed opaque token from scratch although the codebase's ApiKey model already carries a prefix column of that shape, so it may duplicate an existing token generator.
R19-DEL-01	new	1	F0534	run_worker's await asyncio.sleep(poll_interval) is guarded by if not batch, so a non-empty batch is followed immediately by another lock acquisition and claim query with no pause.
R19-DEL-02	new	1	F0612	an empty event_types list is the in-band sentinel for subscribing to every event type while also being the natural encoding of subscribing to none, and the value a caller who omits the field gets.
R19-DOC-01	new	1	F1188	"docs/webhooks.md restates MAX_ATTEMPTS and BASE_DELAY_SECONDS as the prose literals ""at most 5 times"" and ""2s, 4s, 8s, 16s"" with nothing linking the text to the constants, so the doc and the code can drift apart silently."
R19-DOC-02	new	12	F1192,F1195,F1196,F1197,F1198,F1199,F1201,F1204,F1205,F1210,F1212,F1213	the Retries section of docs/webhooks.md promises backoff that is exponential with jitter and that a 4xx is permanent so delivery stops immediately, while backoff_for returns a bare 2**attempt with no randomisation and deliver retries every non-2xx status alike up to MAX_ATTEMPTS.
R19-DOC-03	new	2	F1202,F1211	docs/webhooks.md describes retries as jittered, 4xx as permanent, and attempts as scheduled through next_attempt_at, while deliver retries every non-2xx in-process with an unjittered 2**attempt delay and never writes next_attempt_at between attempts.
R19-DOC-04	new	1	F1209	docs/webhooks.md promises jittered backoff, an immediate stop on 4xx, and deduplication on event_id, while backoff_for has no jitter, deliver retries every non-2xx, and the POSTed body is the bare envelope.payload carrying no event id to deduplicate on.
R19-DOC-05	new	1	F1206	docs/webhooks.md promises at-least-once delivery with deduplication on event_id, while the unique index on webhook_deliveries.event_id makes a second delivery row for the same event impossible and deliver never re-enqueues after a permanent failure.
R19-MOD-01	new	1	F0944	WebhookDelivery.payload persists the event payload verbatim with no redaction of any personal or billing data it may carry, and the change does not include the payload schema that would settle whether it does.
R19-SET-01	new	1	F0220	create_webhook_endpoint flushes to obtain the generated id and returns endpoint.to_dict() from inside the with session_scope() block, so the 201 response body is built before the transaction that makes the row durable commits.
R19-TST-01	new	1	F1494	test_new_signing_secret_has_prefix_and_length pins len(SECRET_PREFIX) + SECRET_BYTES as the required length, so replacing random.choice with a CSPRNG whose output has a different length turns the test red and reads as a regression.
R19-TST-02	new	1	F1517	FakeDelivery.payload carries id and type keys that production's enqueue_for_event never stores, since it persists envelope.payload verbatim, so the fixture hides that the POSTed body has no event id to deduplicate on.
SETTINGS-01	existing	54	F0006,F0011,F0012,F0013,F0014,F0015,F0016,F0017,F0072,F0073,F0074,F0075,F0076,F0077,F0078,F0079,F0080,F0081,F0082,F0083,F0084,F0085,F0086,F0087,F0088,F0089,F0090,F0091,F0092,F0093,F0094,F0095,F0096,F0097,F0098,F0099,F0100,F0103,F0108,F0109,F0110,F0124,F0125,F0126,F0127,F0128,F0129,F0130,F0131,F0221,F0222,F0223,F0227,F0228	list_deliveries filters only on the endpoint_id taken from the path and never checks that the endpoint belongs to the caller's organization, so any authenticated user can read another organization's delivery rows.
SETTINGS-02	existing	54	F0001,F0002,F0003,F0004,F0005,F0040,F0111,F0112,F0116,F0117,F0136,F0137,F0138,F0139,F0140,F0141,F0142,F0143,F0144,F0145,F0146,F0147,F0148,F0149,F0150,F0151,F0152,F0153,F0167,F0168,F0169,F0170,F0173,F0174,F0175,F0197,F0198,F0199,F0202,F0205,F0206,F0216,F0229,F0232,F0233,F0263,F0266,F0267,F0268,F0269,F0270,F0271,F0272,F0273	create_webhook_endpoint performs no host validation, so a caller can register a loopback, link-local, or internal address that the delivery worker will then POST to from inside the network.
SETTINGS-03	existing	5	F0019,F0027,F0105,F0106,F1193	"create_webhook_endpoint validates the URL with parsed.scheme.startswith(""http""), which accepts plaintext http:// and any scheme merely beginning with those characters such as httpfoo://, contradicting the documented https-only rule."
SETTINGS-04	existing	38	F0041,F0042,F0043,F0044,F0045,F0046,F0047,F0048,F0049,F0050,F0051,F0052,F0053,F0054,F0055,F0056,F0057,F0058,F0059,F0060,F0061,F0062,F0063,F0064,F0065,F0066,F0067,F0068,F0069,F0070,F0071,F0166,F0208,F0218,F0219,F0225,F0264,F0265	the limit parameter is declared Query(50, ge=1) with no upper bound, so one request can pull an unbounded number of delivery rows.
SETTINGS-05	existing	18	F0007,F0028,F0029,F0030,F0031,F0032,F0033,F0034,F0035,F0036,F0037,F0038,F0039,F0156,F0157,F0210,F0214,F0215	event_types is persisted as an unconstrained list[str] with no membership check against the event types the system emits, so a misspelled or unknown name is accepted and silently never matches.
SETTINGS-06	existing	8	F0008,F0009,F0010,F0207,F0209,F0211,F0212,F0213	EndpointIn.url is a bare str with no length or format constraint, so an arbitrarily long string is accepted, stored, and later used as a request target.
SETTINGS-07	existing	8	F0171,F0172,F0176,F0193,F0194,F0195,F0258,F0261	nothing caps how many endpoints one organization can register, so a caller can multiply the per-event fan-out and delivery rows without limit.
SETTINGS-09	existing	11	F0107,F0154,F0155,F0185,F0203,F0204,F0247,F0248,F0249,F0250,F0251	the change adds only create and read routes, so an endpoint cannot be deactivated, deleted, or have its signing secret rotated through the API.
SIGNING-01	existing	52	F0749,F0750,F0775,F0776,F0777,F0778,F0779,F0780,F0781,F0782,F0783,F0865,F0866,F0867,F0868,F0871,F0872,F1058,F1059,F1121,F1122,F1123,F1124,F1125,F1126,F1127,F1128,F1129,F1130,F1131,F1132,F1133,F1134,F1135,F1138,F1140,F1149,F1150,F1151,F1152,F1153,F1154,F1155,F1156,F1157,F1158,F1159,F1160,F1161,F1162,F1163,F1186	sign HMACs json.dumps(payload, sort_keys=True) while the request is sent with client.post(json=...), so the signed bytes differ from the transmitted body and a receiver hashing the raw request body cannot reproduce the signature.
SIGNING-02	existing	32	F1136,F1137,F1141,F1142,F1143,F1144,F1145,F1146,F1147,F1148,F1164,F1165,F1166,F1167,F1168,F1169,F1170,F1171,F1172,F1173,F1174,F1175,F1176,F1177,F1178,F1179,F1180,F1181,F1182,F1183,F1184,F1185	sign MACs only the serialised payload, so the X-Acme-Timestamp header is unauthenticated and a replayer can rewrite it without invalidating the signature.
SIGNING-03	existing	1	F1033	verify recomputes a fresh timestamp from time.time() and accepts no received timestamp, so it cannot enforce the documented five-minute freshness window.
SIGNING-04	existing	53	F1011,F1012,F1013,F1014,F1015,F1016,F1017,F1018,F1019,F1020,F1021,F1022,F1023,F1024,F1025,F1026,F1027,F1028,F1029,F1030,F1031,F1032,F1036,F1037,F1038,F1039,F1040,F1041,F1042,F1043,F1044,F1045,F1046,F1047,F1048,F1049,F1050,F1051,F1052,F1053,F1054,F1055,F1056,F1057,F1060,F1061,F1062,F1063,F1064,F1065,F1066,F1139,F1187	verify compares digests with expected == signature instead of a constant-time comparison, so the comparison short-circuits on the first differing byte.
SIGNING-05	existing	54	F1067,F1068,F1069,F1070,F1071,F1072,F1073,F1074,F1075,F1076,F1077,F1078,F1079,F1080,F1081,F1082,F1083,F1084,F1085,F1086,F1087,F1088,F1089,F1090,F1091,F1092,F1093,F1094,F1095,F1096,F1097,F1098,F1099,F1100,F1101,F1102,F1103,F1104,F1105,F1106,F1107,F1108,F1109,F1110,F1111,F1112,F1113,F1114,F1115,F1116,F1117,F1118,F1119,F1120	new_signing_secret builds the secret from random.choice, which draws on the non-cryptographic Mersenne Twister PRNG rather than a CSPRNG.
SIGNING-06	existing	26	F0983,F0984,F0985,F0986,F0987,F0988,F0989,F0990,F0991,F0992,F0993,F0994,F0995,F0996,F0997,F0998,F0999,F1000,F1001,F1002,F1003,F1004,F1005,F1006,F1007,F1008	SECRET_BYTES = 32 is used as a character count over a 62-symbol alphabet, so the constant's name misstates the entropy of the secret it produces.
TESTS-01	existing	23	F1422,F1423,F1440,F1441,F1442,F1446,F1452,F1460,F1461,F1462,F1463,F1464,F1465,F1482,F1483,F1484,F1485,F1486,F1487,F1488,F1489,F1497,F1502	test_send_once_posts_the_signed_payload captures both the request body and the signature header but asserts only the sha256= prefix, never verifying the signature against the captured body.
TESTS-02	existing	48	F0648,F0651,F0666,F0703,F0704,F0705,F0832,F0833,F1428,F1429,F1430,F1431,F1432,F1433,F1434,F1435,F1436,F1437,F1438,F1443,F1444,F1445,F1447,F1448,F1449,F1455,F1456,F1457,F1458,F1459,F1469,F1470,F1472,F1474,F1475,F1476,F1477,F1478,F1479,F1480,F1481,F1491,F1492,F1516,F1519,F1521,F1522,F1523	deliver, _finish, _claim_batch, _acquire_lock, enqueue_for_event and run_worker have no tests; only the pure helpers and send_once are exercised.
TESTS-03	existing	18	F1424,F1425,F1426,F1439,F1490,F1495,F1496,F1498,F1499,F1500,F1501,F1503,F1504,F1505,F1506,F1507,F1508,F1509	test_verify_accepts_signature_produced_by_sign is tautological because verify calls sign internally, so the assertion holds for any implementation and pins nothing about the on-the-wire format.
TESTS-04	existing	2	F0217,F1524	the new HTTP routes create_webhook_endpoint, list_webhook_endpoints and list_deliveries have no tests, so the URL validation and org scoping are unexercised.
TESTS-05	existing	5	F1420,F1421,F1451,F1525,F1526	test_max_attempts_matches_documented_limit asserts MAX_ATTEMPTS == 5 against a literal and exercises no retry code, so it cannot fail for a behavioural reason.
TESTS-06	existing	2	F1194,F1471	test_backoff_grows_exponentially asserts exact equality with 2, 4, 8 and 16 seconds, pinning jitter-free backoff so adding the documented jitter would turn the test red.
TESTS-08	existing	1	F1493	test_new_signing_secret_has_prefix_and_length asserts only the prefix and length, which a predictable or constant generator satisfies exactly as well as a CSPRNG.
TESTS-10	existing	14	F1418,F1419,F1450,F1466,F1467,F1468,F1473,F1510,F1511,F1512,F1513,F1514,F1515,F1520	the tests substitute hand-rolled FakeEndpoint and FakeDelivery class-attribute stubs for the real ORM models, so detached-instance and missing-row behaviour is never exercised.
