n	severity	file	title	what_is_wrong
27	Major	app/webhooks/delivery.py — send_once() log line	the full header dict including the HMAC signature is logged at INFO	`log.info("POST %s headers=%s", endpoint.url, headers)` writes the per-request signature and timestamp headers into the application log on every attempt.
28	Major	app/webhooks/delivery.py — _finish()	the remote response body is stored and logged in full with no truncation	`response_body = detail` persists the entire `response.text` into a TEXT column and the retry warning logs it too, so an endpoint controls unbounded log and row growth and whatever content it returns.
29	Major	app/webhooks/delivery.py — send_once()	the request body carries no event envelope, so event_id is never transmitted	Only `delivery.payload` is posted, without `event_id` or `event_type`, so a receiver has nothing stable to deduplicate on.
30	Major	app/webhooks/delivery.py — enqueue_for_event()	the organizations.webhooks_enabled flag added by the migration is never consulted	The endpoint query filters on `org_id` and `active` only, so turning `webhooks_enabled` off for an organization has no effect on delivery.
31	Major	app/webhooks/delivery.py — _finish()	missing None check on the delivery lookup	`row = session.get(m.WebhookDelivery, delivery_id)` is followed immediately by attribute assignment, so a deleted row raises AttributeError and the delivery result is lost.
32	Major	app/webhooks/delivery.py — _claim_batch()	the claim relies solely on a Redis lock with no row-level DB locking	The SELECT has no `FOR UPDATE SKIP LOCKED` and no conditional UPDATE, so whenever the Redis lock fails open two workers select and send the same rows.
33	Minor	app/webhooks/delivery.py — run_worker()	an entire batch of 100 deliveries is gathered with no concurrency limit	`asyncio.gather` over the whole `BATCH_SIZE` batch opens up to 100 simultaneous outbound requests from one client with no semaphore.
34	Minor	app/webhooks/delivery.py — deliver() except clause	httpx.InvalidURL is not an HTTPError and escapes the retry loop	A malformed stored URL raises `httpx.InvalidURL`, which the `except httpx.HTTPError` does not catch, so the exception leaves `deliver` and takes the batch down with it.
35	Minor	app/webhooks/delivery.py — backoff_for()	backoff has no jitter and no ceiling	`BASE_DELAY_SECONDS**attempt` is fully deterministic, so all deliveries that failed in the same batch retry at exactly the same instants.
36	Minor	app/webhooks/delivery.py — enqueue_for_event() / _claim_batch() / _finish()	blocking synchronous DB work is performed inside async functions	`session_scope` and the SQLAlchemy queries are synchronous calls made from `async def` bodies, so each one stalls the event loop for the duration of the query.
37	Critical	app/webhooks/models.py — WebhookEndpoint.to_dict()	to_dict returns the signing secret, which the listing endpoint exposes on every call	`"signing_secret": self.signing_secret` is part of the serialized form used by both create and `list_webhook_endpoints`, so the secret is readable at any time by anyone who can list endpoints.
38	Major	app/webhooks/models.py — Column definitions	timestamp columns are declared timezone-aware while the migration creates them without a time zone	`DateTime(timezone=True)` on `created_at`, `updated_at` and `next_attempt_at` does not match the migration's `TIMESTAMP`, so offsets are dropped on write and values come back naive.
39	Major	app/webhooks/models.py — STATUSES	the status vocabulary diverges from the migration's CHECK constraint	`STATUSES` lists `failed_permanent` while the migration allows `failed`, and the constant is never referenced anywhere so nothing detects the mismatch.
40	Minor	app/webhooks/models.py — created_at / updated_at	the timestamp columns omit nullable=False and updated_at has no onupdate	The migration declares both NOT NULL and the model does not, and `updated_at` is refreshed only by the manual assignment in `_finish`, so the status change in `_claim_batch` leaves it stale.
41	Minor	app/webhooks/models.py — WebhookDelivery.event_type	column length disagrees with the migration	The model declares `String(100)` where the migration creates unbounded `TEXT`, so the ORM will reject or truncate values the database accepts.
42	Critical	app/webhooks/signing.py — new_signing_secret()	signing secrets are generated with the non-cryptographic random module	`random.choice` draws from the Mersenne Twister PRNG seeded from process state, so an attacker who observes any output can reconstruct the generator and predict other tenants' secrets.
43	Critical	app/webhooks/signing.py — sign()	the signed bytes are a re-serialization of the payload, not the bytes actually sent	`serialize` uses `json.dumps(payload, sort_keys=True)` with default separators while the request body is encoded independently by httpx's `json=`, so the digest is computed over a different byte string than the receiver sees.
44	Critical	app/webhooks/signing.py — sign()	the timestamp is returned but never included in the MAC	The HMAC covers only the serialized payload, so `X-Acme-Timestamp` is unauthenticated and can be rewritten freely, which removes the replay protection the documented five-minute window depends on.
45	Major	app/webhooks/signing.py — verify()	signature comparison uses == instead of a constant-time compare	`return expected == signature` short-circuits on the first differing character, leaking digest bytes through timing to anyone who can call verify repeatedly.
46	Major	app/webhooks/signing.py — verify()	verify discards the timestamp and enforces no expiry	It re-signs with a fresh `int(time.time())` and ignores it, so a signature stays valid forever and no age check is possible through this API.
47	Minor	app/webhooks/signing.py — SECRET_BYTES	the constant is named for bytes but used as a character count	`range(SECRET_BYTES)` picks 32 characters from a 62-symbol alphabet, so the secret carries about 190 bits rather than the 256 the name implies.
48	Minor	app/webhooks/signing.py — serialize()	a non-JSON-serializable payload raises TypeError from inside sign	`json.dumps` is called with no default handler, so a payload containing a datetime or Decimal raises out of `sign` and out of `send_once` rather than failing the delivery cleanly.
49	Major	docs/webhooks.md — "Only https:// URLs are accepted"	the documented scheme restriction is not what the route enforces	The code accepts anything whose scheme starts with "http", so `http://` endpoints are registered despite the documentation promising TLS only.
50	Critical	docs/webhooks.md — "Verifying the signature"	the documented signature formula does not match the code	The document says the HMAC covers `"{timestamp}.{raw_request_body}"`, while `sign` keys only over `json.dumps(payload, sort_keys=True)`, so any receiver implementing the documentation rejects every delivery.
51	Minor	docs/webhooks.md — "backoff is exponential with jitter"	jitter is documented but not implemented	`backoff_for` returns exactly `2**attempt` seconds with no randomization.
52	Major	docs/webhooks.md — "a 4xx is permanent and we stop immediately"	the documented 4xx handling contradicts the retry loop	`deliver` treats every non-2xx identically and retries a 4xx up to five times.
53	Major	docs/webhooks.md — "it cannot be read back afterwards"	the documented secrecy of the signing secret is false	`GET /v1/settings/webhook-endpoints` serializes each endpoint with `to_dict()`, which includes `signing_secret`.
54	Major	docs/webhooks.md — "Inspecting deliveries"	the documented org scoping of the deliveries endpoint does not exist	The document says the endpoint returns attempts "for an endpoint belonging to your organization", but `list_deliveries` filters on `endpoint_id` alone.
55	Major	docs/webhooks.md — "deduplicate on event_id"	the deduplication key the document tells customers to use is never sent	Only the raw event payload is POSTed, with no `event_id` field or header, so a receiver has no way to follow this instruction.
56	Critical	migrations/0042_webhook_delivery.sql — status CHECK constraint	the CHECK constraint rejects the status the code writes	The constraint allows `'failed'` while `_finish` writes `"failed_permanent"`, so every permanently failed delivery raises a constraint violation instead of being recorded.
57	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	the unique index on event_id alone prevents fan-out to more than one endpoint	`enqueue_for_event` inserts one row per matching endpoint with the same `event_id`, so the second row violates the unique index and the whole enqueue fails for any org with two endpoints.
58	Major	migrations/0042_webhook_delivery.sql — TIMESTAMP columns	timestamp columns are created without a time zone while the code uses aware datetimes	`created_at`, `updated_at` and `next_attempt_at` are `TIMESTAMP`, so the `datetime.now(timezone.utc)` values the code writes lose their offset and come back naive.
59	Major	migrations/0042_webhook_delivery.sql — signing_secret	the signing secret is stored in plaintext	`signing_secret TEXT NOT NULL` keeps a live shared HMAC key in the clear, so a database dump or a SQL-level read hands over every tenant's key.
60	Minor	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_status	no composite index supports the claim query	The claim filters on `status` and `next_attempt_at` and orders by `next_attempt_at`, but only a single-column index on `status` exists, so the low-selectivity `pending` bucket must be sorted on every poll.
61	Minor	migrations/0042_webhook_delivery.sql — webhook_deliveries indexes	no index supports the deliveries listing query	`list_deliveries` filters on `endpoint_id` and orders by `created_at DESC`, and neither column is indexed.
62	Minor	migrations/0042_webhook_delivery.sql — whole file	the migration has no rollback and is not re-runnable	`CREATE TABLE` and `ALTER TABLE ... ADD COLUMN` are unconditional with no `IF NOT EXISTS` and no down script, so a partially applied or repeated run fails.
63	Major	tests/webhooks/test_delivery.py — whole file	the retry behaviour named in the commit subject is never exercised	Only `backoff_for`, `MAX_ATTEMPTS` and `send_once` are tested; `deliver`, `_claim_batch`, `_acquire_lock`, `_finish` and `enqueue_for_event` have no test, so the blocking sleep, the detached rows and the stuck `in_flight` state all pass CI.
64	Major	tests/webhooks/test_delivery.py — test_verify_accepts_signature_produced_by_sign	the round-trip test cannot detect the documented-scheme mismatch	It signs and verifies with the same function, so it stays green whether or not the timestamp and the raw body are part of the MAC.
65	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test checks the signature's shape but never that it validates against the sent body	It asserts only that the header starts with `sha256=`, so the mismatch between `json.dumps(..., sort_keys=True)` and the bytes httpx actually transmits is invisible.
66	Minor	tests/webhooks/test_delivery.py — test_max_attempts_matches_documented_limit	the test asserts a constant against a literal and pins no behaviour	`assert MAX_ATTEMPTS == 5` can only fail if the constant is edited, and it says nothing about how many attempts `deliver` performs.
67	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the test pins jitter-free delays that the documentation says should be jittered	Asserting exact equality with 2, 4, 8, 16 locks in the behaviour that contradicts `docs/webhooks.md`.
68	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the test encodes the bytes-versus-characters confusion as the expected contract	It asserts `len(secret) == len(prefix) + SECRET_BYTES`, so a 32-character base62 secret is treated as correct and any move to 32 real random bytes would fail the test.
69	Minor	tests/webhooks/test_delivery.py — FakeEndpoint / FakeDelivery	the fakes are class-attribute stubs that cannot reproduce the production object lifecycle	They always have populated `url`, `signing_secret` and `payload`, so the detached-instance and None-endpoint failures in `deliver` cannot surface through these tests.
70	Minor	tests/webhooks/test_delivery.py — verify tests	no test asserts that a tampered payload fails verification	Both verify tests vary the secret, never the payload, so a signature computed over the wrong data would still be accepted by the suite.
