n	severity	file	title	what_is_wrong
26	Major	app/webhooks/delivery.py — run_worker()	the lock is deleted without checking ownership	`redis_client.delete(LOCK_KEY)` in the `finally` removes whatever value is there, so a worker that overran the 60s TTL deletes the lock a second worker legitimately acquired.
27	Major	app/webhooks/delivery.py — run_worker()	batch processing can far outlive the 60-second lock TTL	The lock expires after 60s while `asyncio.gather` may run five attempts with 30s timeouts and blocking backoffs, so another worker acquires the lock and re-processes rows the first worker still holds.
28	Major	app/webhooks/delivery.py — run_worker()	`batch` is referenced outside the try, so a claim failure raises UnboundLocalError	If `_claim_batch()` raises, the `finally` releases the lock and control reaches `if not batch:` with `batch` never assigned, crashing the worker loop with a NameError instead of the original error.
29	Major	app/webhooks/delivery.py — run_worker()	rows marked in_flight are never recovered after a worker dies	`_claim_batch` flips status to "in_flight" and commits, and nothing resets stale in_flight rows or catches exceptions from `gather`, so a crash or unhandled error strands those deliveries permanently outside the pending query.
30	Major	app/webhooks/delivery.py — run_worker()	asyncio.gather without return_exceptions aborts the whole batch	One delivery raising a non-`httpx.HTTPError` exception (for example `httpx.InvalidURL` or `UnsupportedProtocol` from a stored bogus scheme) propagates out of `gather` and out of `run_worker`, killing the worker and leaving sibling deliveries unfinished.
31	Major	app/webhooks/delivery.py — _claim_batch()	claiming relies solely on the Redis lock with no row-level locking	The SELECT has no `FOR UPDATE SKIP LOCKED` and the status flip happens in a read-then-write gap, so any concurrent claimer (or a lock failure) produces duplicate deliveries.
32	Major	app/webhooks/delivery.py — enqueue_for_event()	naive datetime.utcnow() is written to a timezone-aware column and compared to an aware now()	`next_attempt_at=datetime.utcnow()` produces a naive value while `_claim_batch` filters with `datetime.now(timezone.utc)`, so the comparison depends on the driver's interpretation and misfires by the server's UTC offset.
33	Major	app/webhooks/delivery.py — deliver()	attempts and next_attempt_at are only persisted at terminal state	The retry ladder runs entirely in memory and `_finish` writes once at the end, so `attempts` stays 0 and `next_attempt_at` never advances during retries, making the deliveries API's "when the next attempt is scheduled" wrong and losing all progress if the worker restarts.
34	Minor	app/webhooks/delivery.py — backoff_for()	backoff has no jitter despite the documented "exponential with jitter"	`timedelta(seconds=BASE_DELAY_SECONDS**attempt)` is fully deterministic, so all endpoints failing together retry in lockstep thundering herds.
35	Minor	app/webhooks/delivery.py — _finish()	the row fetched for finishing is used without a None check	`session.get(m.WebhookDelivery, delivery_id)` can return None if the row was deleted by endpoint cascade, and the next line assigns `row.status` on None.
36	Major	app/webhooks/delivery.py — _finish()	the entire response body is stored unbounded in the database	`response_body = detail` persists `response.text` from an arbitrary customer server, so a multi-megabyte or attacker-controlled body is written verbatim into `webhook_deliveries` and later served back through the deliveries API.
37	Major	app/webhooks/delivery.py — run_worker()	follow_redirects=True lets a customer redirect a signed request to another host	The shared `httpx.AsyncClient` follows redirects, so a registered HTTPS endpoint can 302 the signed payload to an internal address or a third party, bypassing whatever validation was done on the stored URL.
38	Minor	app/webhooks/delivery.py — run_worker()	no bound on delivery concurrency	`asyncio.gather` fans out all `BATCH_SIZE` = 100 deliveries at once with no semaphore, so one batch can open 100 simultaneous outbound connections.
39	Minor	app/webhooks/delivery.py — enqueue_for_event() / _finish()	synchronous DB work runs inside coroutines	`enqueue_for_event`, `_claim_batch` and `_finish` do blocking SQLAlchemy calls with no await, so every DB round trip stalls the event loop the worker shares with in-flight HTTP requests.
40	Major	app/webhooks/delivery.py — send_once()	the delivered body carries no event id, so receivers cannot deduplicate	The request body is the bare internal event payload with no envelope, yet docs/webhooks.md instructs customers to "deduplicate on `event_id`" — a field that is never transmitted in the body or headers.
41	Minor	app/webhooks/delivery.py — deliver()	one endpoint row is re-fetched per delivery	Each `deliver` call opens its own `session_scope` and loads the endpoint, so a batch of 100 deliveries for one endpoint issues 100 identical queries.
42	Critical	app/webhooks/signing.py — new_signing_secret()	signing secrets come from the non-cryptographic `random` module	`random.choice` draws from a seeded Mersenne Twister, so observing a few secrets lets an attacker reconstruct the generator state and forge signatures for other tenants; `secrets` is required here.
43	Major	app/webhooks/signing.py — verify()	signature comparison is not constant time	`return expected == signature` uses ordinary string equality, leaking timing information about the correct digest, while the docs tell customers to use a constant-time comparison the library itself does not.
44	Major	app/webhooks/signing.py — verify()	verify recomputes a fresh timestamp and ignores the one it was given	`verify` calls `sign` again, discarding the returned timestamp and never accepting or checking the received `X-Acme-Timestamp`, so it cannot enforce the documented five-minute replay window at all.
45	Minor	app/webhooks/signing.py — SECRET_BYTES	SECRET_BYTES counts alphabet characters, not bytes	The constant is used as `range(SECRET_BYTES)` over a 62-character alphabet, so it names a character count and misstates the entropy of the secret it produces.
46	Minor	app/webhooks/signing.py — serialize()	the canonical form is not the bytes the receiver sees	`json.dumps(payload, sort_keys=True)` uses Python's default separators and non-ASCII escaping and is documented nowhere, so even a receiver told to re-serialize cannot reproduce it.
47	Major	app/webhooks/models.py — WebhookEndpoint.to_dict()	to_dict unconditionally exposes the signing secret	Every caller of `to_dict()` — including the list route — gets `signing_secret`, so the model itself makes secret leakage the default rather than the create-response-only behaviour the docs describe.
48	Major	app/webhooks/models.py — DateTime(timezone=True) columns	the model declares timezone-aware columns that the migration creates as TIMESTAMP without time zone	`created_at`, `updated_at` and `next_attempt_at` are `DateTime(timezone=True)` in SQLAlchemy but `TIMESTAMP` in migration 0042, so offsets are discarded on write and values come back naive.
49	Minor	app/webhooks/models.py — STATUSES	the STATUSES tuple is dead and disagrees with the DB constraint	`STATUSES` is defined but referenced nowhere, and it lists `failed_permanent` while the migration's CHECK lists `failed`, so it documents a state machine neither the code nor the schema enforces.
50	Minor	app/webhooks/models.py — WebhookDelivery.updated_at	updated_at has no onupdate, so most writes leave it stale	Only `_finish` sets `updated_at` explicitly; `_claim_batch`'s status flip to in_flight does not, so the column does not track the last modification.
51	Minor	app/webhooks/models.py — WebhookDelivery.event_type	column type disagrees with the migration	The model declares `String(100)` while the migration creates `event_type TEXT`, so model-level assumptions about length are not backed by the schema.
52	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	the unique index on event_id alone allows only one endpoint per event	`CREATE UNIQUE INDEX ... ON webhook_deliveries (event_id)` makes the second row inserted by `enqueue_for_event` for an org with two endpoints violate uniqueness, so the whole enqueue fails and every extra endpoint gets nothing.
53	Critical	migrations/0042_webhook_delivery.sql — status CHECK constraint	the CHECK allows 'failed' but the code only ever writes 'failed_permanent'	The constraint list `('pending', 'in_flight', 'delivered', 'failed')` does not contain the literal `_finish` uses for exhausted retries, so permanent failures can never be recorded.
54	Minor	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_status	the claim query's index is missing its sort column	The only index is on `(status)` while `_claim_batch` filters status plus `next_attempt_at <= now` and orders by `next_attempt_at`, so the scheduler sorts a large status='pending' partition on every poll.
55	Minor	migrations/0042_webhook_delivery.sql — webhook_deliveries	no index on endpoint_id for the deliveries listing and FK cascade	`list_deliveries` filters `endpoint_id` and orders by `created_at` with no supporting index, and the `ON DELETE CASCADE` FK also needs one to avoid a full scan per endpoint deletion.
56	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	no index on org_id	Both `list_webhook_endpoints` and `enqueue_for_event` filter `org_id`, and the table is created without an index on it.
57	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	nothing prevents duplicate endpoints for the same org and URL	There is no unique constraint on `(org_id, url)`, so a client that posts the registration twice gets two endpoints and every event is delivered twice with different secrets.
58	Minor	migrations/0042_webhook_delivery.sql — status column	the DB has no default for status while the model does	`status TEXT NOT NULL` without `DEFAULT 'pending'` means any insert path that bypasses the SQLAlchemy default fails, splitting the source of truth for the initial state.
59	Minor	migrations/0042_webhook_delivery.sql — signing_secret	shared secrets are stored in plaintext	`signing_secret TEXT NOT NULL` keeps every tenant's HMAC key readable to anyone with database or backup access, with no encryption or key-management indirection.
60	Minor	migrations/0042_webhook_delivery.sql — ALTER TABLE organizations	the ALTER shares a transaction with the table creation	Adding a NOT NULL column to `organizations` takes an ACCESS EXCLUSIVE lock held for the duration of the whole migration transaction, coupling an unrelated hot table to the new-table DDL.
61	Minor	migrations/0042_webhook_delivery.sql — whole file	the migration has no rollback path	Only forward DDL is provided, so the two new tables and the `organizations.webhooks_enabled` column cannot be reverted if the release is rolled back.
62	Minor	migrations/0042_webhook_delivery.sql — webhook_deliveries	deliveries store a full payload copy with no retention or pruning	Every event is duplicated as JSONB per endpoint alongside the response body, and nothing in the migration or code deletes old rows, so the table grows without bound and retains customer payloads indefinitely.
63	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test captures the body and the signature but never checks one against the other	It asserts only that the signature header starts with "sha256=", so the mismatch between `serialize()` and httpx's own JSON encoding passes green and the test reads as coverage of signing while proving nothing about it.
64	Major	tests/webhooks/test_delivery.py — whole file	the retry, finish, claim, lock and worker logic added by the diff is untested	Only `sign`/`verify`/`backoff_for`/`send_once` are exercised; `deliver`, `_finish`, `_claim_batch`, `_acquire_lock` and `run_worker` — where the blocking sleep, status-constraint mismatch and lock races live — have no tests at all.
65	Minor	tests/webhooks/test_delivery.py — test_verify_accepts_signature_produced_by_sign	the round-trip test is tautological	`verify` calls `sign` internally with the same secret and ignores timestamps, so the assertion holds by construction and cannot fail for any property a real receiver checks.
66	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the secret test pins format only, not unpredictability	It asserts prefix and character count, so a generator returning a constant string of the right shape would pass, which is exactly the class of defect `random.choice` represents.
67	Minor	tests/webhooks/test_delivery.py — FakeEndpoint / FakeDelivery	hand-rolled fakes of the ORM models hide the detached-instance failure	`send_once` is only ever called with plain classes whose attributes are always available, so the tests cannot surface that real `WebhookEndpoint`/`WebhookDelivery` objects are expired and detached by the time they are read.
68	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the backoff parametrisation skips the boundary attempts	Only attempts 1 through 4 are checked, so `backoff_for(0)` returning 1s and the behaviour at MAX_ATTEMPTS are unspecified by any test.
69	Minor	tests/webhooks/test_delivery.py — whole file	nothing tests the endpoint-registration URL validation	The new `create_webhook_endpoint` scheme check has no test, so its acceptance of `http://` and of arbitrary `http`-prefixed schemes is unguarded against regression.
