n	severity	file	title	what_is_wrong
16	Major	app/webhooks/delivery.py — _acquire_lock()	set and expire are separate commands so a crash leaves the lock permanent	The TTL is applied by a second expire call after set, and a process that dies between them leaves LOCK_KEY with no expiry, permanently wedging every worker.
17	Major	app/webhooks/delivery.py — run_worker()	the lock is deleted unconditionally without checking ownership	The finally block calls redis_client.delete(LOCK_KEY) with no fencing value, so a worker whose 60-second lock already expired deletes the lock now held by a different worker.
18	Major	app/webhooks/delivery.py — run_worker()	the 60-second lock TTL is shorter than a batch can take	The lock expires after 60 seconds while a batch of up to 100 deliveries with a 30-second timeout and four backoff sleeps can run for minutes, so a second worker starts claiming and delivering while the first is still in flight.
19	Major	app/webhooks/delivery.py — _claim_batch()	rows are claimed without row-level locking	The claim is a plain SELECT followed by an in-Python status assignment with no FOR UPDATE SKIP LOCKED, so two concurrent transactions can select and claim the same pending rows.
20	Major	app/webhooks/delivery.py — deliver()	a delivery left in in_flight is never recovered	status is set to in_flight at claim time and only rewritten by _finish, so any worker crash, cancellation or unhandled exception strands the row in in_flight where no query will ever pick it up again.
21	Major	app/webhooks/delivery.py — deliver()	attempts is only persisted at a terminal state so the retry cap is not durable	row.attempts is written solely by _finish on success or permanent failure, so a delivery that fails four times and then crashes reappears with attempts still 0 and gets a fresh full quota of attempts.
22	Major	app/webhooks/delivery.py — deliver()	all retries happen inside one in-process loop, so next_attempt_at is never used	The while loop performs up to MAX_ATTEMPTS attempts in a single pass and never resets the row to pending with a future next_attempt_at, so the scheduled-retry column and the pending-queue design are dead and no retry survives a restart.
23	Major	app/webhooks/delivery.py — deliver()	4xx responses are retried although the code only special-cases 2xx	The success branch tests 200 <= status < 300 and everything else falls through to the retry path, so a 400 or 404 is retried five times instead of being treated as permanent.
24	Major	app/webhooks/delivery.py — backoff_for()	the backoff has no jitter	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds, so all deliveries that failed in the same batch retry in lockstep and hammer the receiver in synchronized waves.
25	Major	app/webhooks/delivery.py — deliver()	only httpx.HTTPError is caught, so any other exception aborts the whole batch	Exceptions from _finish, from session_scope, or a None endpoint escape deliver into asyncio.gather, which is called without return_exceptions=True, so one bad delivery cancels the sibling coroutines and leaves them in in_flight.
26	Major	app/webhooks/delivery.py — deliver()	the loaded endpoint is not checked for None	session.get returns None when the endpoint row was deleted, and endpoint.signing_secret then raises AttributeError inside the retry loop, which is not an HTTPError and so is not caught.
27	Major	app/webhooks/delivery.py — _finish()	the delivery row is not checked for None before being mutated	_finish assigns row.status immediately after session.get, so a delivery whose row was removed by a cascading endpoint delete raises AttributeError and takes down the gather.
28	Major	app/webhooks/delivery.py — send_once()	the outbound signature and headers are written to the application log	log.info("POST %s headers=%s", ...) logs the full header dict including X-Acme-Signature, putting an authentication credential derived from the shared secret into logs that get shipped and indexed.
29	Major	app/webhooks/delivery.py — _finish()	the entire response body is persisted with no size bound	_finish stores response.text and the f-string detail straight into response_body TEXT, so a receiver returning a multi-megabyte body writes it verbatim into the database on every attempt.
30	Major	app/webhooks/delivery.py — enqueue_for_event()	next_attempt_at is written as a naive datetime while the claim query compares against an aware one	enqueue_for_event uses datetime.utcnow() (naive) whereas _claim_batch filters with datetime.now(timezone.utc), so the comparison mixes naive and aware values against a timezone-aware column.
31	Major	app/webhooks/delivery.py — enqueue_for_event()	an async function does entirely blocking database work	enqueue_for_event, _claim_batch and _finish are synchronous SQLAlchemy calls invoked from coroutines with no thread offload, so every database round trip blocks the event loop that is supposed to be running deliveries concurrently.
32	Major	app/webhooks/delivery.py — run_worker()	an exception from _claim_batch kills the worker permanently	The try block has only a finally, so a transient database error propagates out of the while loop and terminates run_worker with no restart, silently stopping all webhook delivery.
33	Minor	app/webhooks/delivery.py — run_worker()	batch may be unbound when it is tested	if not batch runs after the try/finally, and the name is only assigned inside the try, so a failure in _claim_batch would reach the test with batch undefined were the exception ever suppressed.
34	Major	app/events/dispatcher.py — dispatch()	webhook enqueue failures are swallowed, so events are silently never delivered	The enqueue call is wrapped in except Exception with only a log.warning, and it runs after the event transaction has already committed, so a database blip drops the webhook for that event with no outbox row and no retry.
35	Minor	app/events/dispatcher.py — dispatch()	the swallowed exception is logged without a traceback	log.warning formats only str(exc) with no exc_info, so the stack that would identify why enqueue failed is discarded.
36	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	a hardcoded three-type allowlist silently overrides per-endpoint subscriptions	Only invoice.paid, invoice.payment_failed and subscription.updated ever reach enqueue_for_event, so an endpoint that registered any other event type, or an empty list meaning all types, receives nothing and gets no error.
37	Major	app/api/routes/settings.py — create_webhook_endpoint()	the URL scheme check accepts plaintext http and bogus schemes	not parsed.scheme.startswith("http") passes for http, and also for httpfoo or httpx, so non-TLS and nonsense schemes are stored and later handed to httpx.
38	Major	app/api/routes/settings.py — create_webhook_endpoint()	event_types is stored without validating the names against the emitted set	Any string list is accepted and persisted, so a typo such as invoice.payed silently subscribes the endpoint to nothing and the user gets a 201 with no indication.
39	Major	migrations/0042_webhook_delivery.sql — organizations.webhooks_enabled	the feature flag added by the migration is never read	The migration adds webhooks_enabled defaulting to FALSE, but neither the routes nor the dispatcher nor the delivery worker consults it, so webhooks are live for every org and the column is inert.
40	Major	migrations/0042_webhook_delivery.sql — signing_secret	the shared HMAC secret is stored in plaintext	signing_secret is a plain TEXT column with no encryption or wrapping, so any database dump, replica or read-only analytics role yields every customer's webhook signing key.
41	Major	migrations/0042_webhook_delivery.sql — TIMESTAMP columns	the migration uses TIMESTAMP while the models declare timezone-aware columns	created_at, updated_at and next_attempt_at are TIMESTAMP WITHOUT TIME ZONE in SQL but DateTime(timezone=True) in models.py, so the offset written by aware Python datetimes is dropped by the database.
42	Major	migrations/0042_webhook_delivery.sql — indexes	there is no index supporting the queries the code actually issues	Only status and event_id are indexed, while _claim_batch filters status and orders by next_attempt_at and list_deliveries filters endpoint_id ordering by created_at, so both do sorts over unindexed columns.
43	Minor	migrations/0042_webhook_delivery.sql — file	the migration has no rollback path	The file contains only forward DDL inside BEGIN/COMMIT with no corresponding down migration, so the two tables and the organizations column cannot be reverted by the migration tool.
44	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	nothing prevents unlimited duplicate endpoints per org	There is no unique constraint on (org_id, url) and no count limit, so the same URL can be registered repeatedly and each copy multiplies the deliveries for every event.
45	Minor	app/webhooks/models.py — event_type column	the model narrows event_type to 100 characters while the migration allows unbounded TEXT	Column(String(100)) and TEXT disagree, so a value the database accepts fails the model's own length expectation depending on which path writes it.
46	Minor	app/webhooks/models.py — STATUSES	the STATUSES tuple is declared but never enforced anywhere	STATUSES lists the four legal values yet no column, validator or check references it, so it documents nothing the code actually applies and drifts from the migration's CHECK.
47	Minor	app/webhooks/models.py — WebhookDelivery.updated_at	updated_at has a creation default but no onupdate	The column defaults to _now at insert with no onupdate=_now, so any write that is not routed through _finish leaves updated_at showing the insert time.
48	Minor	app/webhooks/models.py — created_at columns	created_at and updated_at are nullable in the model but NOT NULL in the migration	Neither column declares nullable=False, so an ORM insert that bypasses the Python-side default sends NULL and is rejected by the database rather than by validation.
49	Major	app/webhooks/delivery.py — enqueue_for_event()	nothing in the delivered request identifies the event	The request body is the raw event payload and the headers carry only a timestamp and signature, so a receiver has no event id or event type to deduplicate on despite delivery being at-least-once.
50	Minor	app/api/routes/settings.py — list_deliveries()	the limit parameter has a lower bound but no upper bound	Query(50, ge=1) permits limit=1000000, so a single request can pull an unbounded number of delivery rows and their serialization into memory.
51	Minor	app/api/routes/settings.py — list_webhook_endpoints()	the endpoint listing is unpaginated	The query has no limit or offset and returns every endpoint for the org in one response, so the payload grows without bound as endpoints accumulate.
52	Minor	app/api/routes/settings.py — EndpointIn	the request model accepts arbitrary extra fields and an unbounded url	EndpointIn declares url as a bare str with no length limit and no extra="forbid", so unknown keys are ignored silently and a megabyte-long string is stored in the TEXT column.
53	Minor	app/api/routes/settings.py — webhook-endpoints routes	there is no way to deactivate, delete or rotate an endpoint	active is hardcoded True at creation and only POST and GET routes exist, so a customer whose secret leaks or whose URL changes has no API path to fix it.
54	Minor	app/webhooks/delivery.py — run_worker()	deliveries are fanned out with no per-endpoint concurrency limit	asyncio.gather is applied to the whole batch of up to 100 rows at once, so several deliveries destined for one endpoint hit it simultaneously.
55	Minor	app/webhooks/signing.py — SECRET_BYTES	SECRET_BYTES counts characters, not bytes	new_signing_secret picks SECRET_BYTES characters from a 62-symbol alphabet, so the constant's name misstates the entropy and any future switch to token_bytes silently changes the secret length.
56	Major	docs/webhooks.md — "Only https:// URLs are accepted"	the documented https-only restriction is not implemented	The doc promises https-only registration while create_webhook_endpoint accepts any scheme beginning with http, so customers are told their payloads travel over TLS when they may not.
57	Major	docs/webhooks.md — "it cannot be read back afterwards"	the doc claims the signing secret is write-once	list_webhook_endpoints returns to_dict for every endpoint including signing_secret, so the secret is readable on demand contrary to the stated contract.
58	Major	docs/webhooks.md — signature definition	the documented signing input does not match the code	The doc says the HMAC covers "{timestamp}.{raw_request_body}" whereas sign hashes only a re-serialized payload, so any customer implementing verification from the doc rejects every request.
59	Major	docs/webhooks.md — "An empty event_types subscribes the endpoint to every event type"	the documented wildcard subscription is limited to three hardcoded types	dispatch only forwards events whose type is in WEBHOOK_EVENT_TYPES, so an empty event_types receives three types rather than every event emitted.
60	Major	docs/webhooks.md — "a 4xx is permanent and we stop immediately"	the documented 4xx behaviour is the opposite of the code	deliver retries every non-2xx response up to MAX_ATTEMPTS, so a 400 or 410 is retried four more times instead of stopping.
61	Minor	docs/webhooks.md — "backoff is exponential with jitter"	jitter is documented but not implemented	backoff_for is a pure power of two with no randomisation, so the described jitter does not exist.
62	Minor	docs/webhooks.md — "reject requests whose timestamp is more than five minutes old"	our own verify helper does not do what the doc asks receivers to do	The doc instructs a five-minute freshness check and constant-time comparison, while verify ignores the timestamp entirely and uses ==, so the shipped reference contradicts the published guidance.
63	Minor	docs/webhooks.md — "deduplicate on event_id"	the doc tells receivers to dedupe on a field they are never sent	Nothing in the body or the headers carries event_id, so the instruction cannot be followed.
64	Minor	docs/webhooks.md — "an endpoint belonging to your organization"	the doc asserts an ownership scope the handler does not enforce	list_deliveries filters only on the path endpoint_id, so the documented per-organization scoping is absent.
65	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test never verifies the signature against the transmitted body	It asserts only that the header starts with sha256= and is the right length, so the mismatch between the signed serialization and the body httpx actually sends passes the test that claims to cover the signed payload.
66	Major	tests/webhooks/test_delivery.py — test_verify_accepts_signature_produced_by_sign	the round-trip test is tautological	verify calls sign internally, so the assertion holds for any deterministic MAC regardless of canonicalization, timestamp binding or header format, and cannot fail for the reasons it appears to guard.
67	Major	tests/webhooks/test_delivery.py — test_max_attempts_matches_documented_limit	the test asserts a constant against a literal instead of behaviour	assert MAX_ATTEMPTS == 5 exercises no retry code, so the attempt cap could be ignored entirely by deliver and the test would stay green.
68	Major	tests/webhooks/test_delivery.py — file	the retry loop, batch claim, lock and enqueue paths have no tests at all	Only signing helpers, backoff_for and send_once are covered, leaving deliver, _claim_batch, _acquire_lock, _finish, enqueue_for_event and run_worker — where the concurrency and durability bugs live — entirely unexercised.
69	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the secret test checks shape only and passes for a predictable generator	It asserts the prefix and total length, so swapping a CSPRNG for random.choice, or even a constant per-process seed, leaves the test green.
70	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the backoff test pins the undocumented no-jitter behaviour and skips the boundary attempts	The parametrization covers attempts 1 to 4 with exact equality, which both codifies the absence of the documented jitter and never exercises attempt 0 or the MAX_ATTEMPTS boundary.
71	Minor	tests/webhooks/test_delivery.py — FakeEndpoint and FakeDelivery	hand-rolled fakes of the ORM models hide the detached-instance and missing-row failures	The fakes expose plain class attributes that always resolve, so send_once is tested against objects that can never be expired, detached, or None the way real WebhookEndpoint and WebhookDelivery rows are.
72	Minor	tests/webhooks/test_delivery.py — FakeDelivery.attempts	fake state lives on the class rather than an instance	attempts, id and payload are class attributes, so any test that mutated a fake would leak that mutation into every other test through shared state.
