n	severity	file	title	what_is_wrong
38	Major	app/webhooks/delivery.py — run_worker	follow_redirects=True on outbound customer requests	the client follows 3xx responses, so a registered public URL can redirect the signed payload to an internal host or downgrade it to plaintext http.
39	Major	app/webhooks/delivery.py — send_once	the HMAC signature is written to the application log	`log.info("POST %s headers=%s", endpoint.url, headers)` logs the full header dict at INFO on every attempt, exposing the signature (and any credentials embedded in the URL) to log storage.
40	Major	app/webhooks/delivery.py — _finish	the remote response body is stored unbounded	`response.text` from an untrusted endpoint is written straight into `response_body`, so a hostile receiver can persist arbitrarily large content per attempt.
41	Major	app/webhooks/delivery.py — deliver	endpoint.active is not re-checked at send time	activity is filtered only when the row is enqueued, so an endpoint deactivated afterwards still receives every already-queued delivery.
42	Minor	app/webhooks/delivery.py — run_worker	no bound on concurrent outbound requests	`asyncio.gather` fires all 100 batch deliveries at once, with no per-host or global concurrency limit.
43	Minor	app/webhooks/delivery.py — run_worker	the loop busy-spins whenever the batch is non-empty	`await asyncio.sleep(poll_interval)` is only reached when `batch` is falsy, so a non-empty batch immediately re-enters the lock/claim cycle with no pause.
44	Minor	app/webhooks/delivery.py — enqueue_for_event	declared async but performs only blocking work	there is no `await` in the body, so the endpoint query and inserts block the event loop while pretending to be awaitable.
45	Minor	app/webhooks/delivery.py — enqueue_for_event	the returned count is computed before the insert is durable	`return len(rows)` runs before the session commits, so callers are told rows were enqueued even when the flush or commit subsequently fails.
46	Minor	app/webhooks/delivery.py — deliver	permanent failure has no side effect beyond the row status	reaching `failed_permanent` neither notifies anyone nor deactivates a consistently failing endpoint, so dead endpoints are retried five times per event forever.
47	Minor	app/webhooks/delivery.py — run_worker	no cancellation or shutdown handling	`while True` has no `asyncio.CancelledError` path, so a shutdown during a batch abandons rows in `in_flight` and leaves the redis lock behind.
48	Critical	app/webhooks/signing.py — new_signing_secret	the signing secret comes from the non-cryptographic random module	`random.choice` uses a Mersenne Twister seeded from process state, so observing a few generated secrets allows the remaining ones to be predicted.
49	Critical	app/webhooks/signing.py — verify	signature comparison is not constant time	`expected == signature` short-circuits on the first differing byte, leaking the correct digest through timing while the docs tell customers to use a constant-time comparison.
50	Major	app/webhooks/signing.py — sign	the timestamp is not covered by the MAC	the HMAC input is only the serialised payload, so an attacker replaying a captured request can rewrite `X-Acme-Timestamp` freely and the documented five-minute replay window provides no protection.
51	Major	app/webhooks/signing.py — verify	verify ignores the timestamp the caller received	it recomputes a fresh timestamp from `time.time()` and discards it, so it cannot enforce any freshness window and accepts an arbitrarily old signature.
52	Major	app/webhooks/signing.py — serialize	json.dumps raises on non-JSON-native payload values	payloads containing datetimes, Decimals, or UUIDs raise TypeError with no `default=` handler, and that exception is not among the errors `deliver` catches.
53	Minor	app/webhooks/signing.py — SECRET_BYTES	SECRET_BYTES names a character count, not bytes	the constant is used as the length of an alphanumeric string, so the entropy is 32 characters over a 62-symbol alphabet rather than the 32 bytes the name claims.
54	Critical	app/webhooks/models.py — WebhookDelivery.status	the status values the code writes are not the ones the schema allows	`_finish` writes `failed_permanent` and `STATUSES` declares it, while the migration's CHECK constraint allows only `failed`, so every permanent failure raises a constraint violation.
55	Major	app/webhooks/models.py — created_at / next_attempt_at / updated_at	model declares timezone-aware columns while the migration creates naive ones	`DateTime(timezone=True)` maps to `timestamptz` but the SQL uses bare `TIMESTAMP`, so offsets are dropped on write and reads come back naive.
56	Major	app/webhooks/models.py — WebhookEndpoint.signing_secret	the signing secret is stored in plaintext	the column holds the raw HMAC key with no encryption or hashing, so any database dump or read-only replica access yields every customer's secret.
57	Minor	app/webhooks/models.py — STATUSES	the STATUSES tuple is declared but never used	nothing validates assignments against it, so `status` accepts any string up to 20 characters at the ORM layer.
58	Minor	app/webhooks/models.py — WebhookDelivery.updated_at	updated_at has a default but no onupdate	only `_finish` sets it explicitly, so status changes made anywhere else (such as the `in_flight` transition in `_claim_batch`) leave a stale timestamp.
59	Minor	app/webhooks/models.py — WebhookDelivery.payload	the full event payload is copied per endpoint with no retention bound	each delivery row stores its own JSONB copy of the event body, so an org with several endpoints multiplies retention of potentially sensitive payload data indefinitely.
60	Minor	app/webhooks/models.py — WebhookDelivery.event_id	event_id is a bare BigInteger with no foreign key	nothing ties a delivery to the events table, so deletion of an event leaves orphaned delivery rows and the dedupe key the docs advertise is unenforced on our side.
61	Minor	app/webhooks/models.py — WebhookDelivery.to_dict	to_dict omits created_at although the API orders by it	`list_deliveries` sorts by `created_at.desc()` but never returns it, so clients cannot tell when an attempt happened or page through results.
62	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	UNIQUE index on event_id alone breaks multi-endpoint fan-out	`enqueue_for_event` inserts one row per active endpoint for the same `event_id`, so any org with two or more endpoints hits a unique violation and gets no deliveries at all.
63	Critical	migrations/0042_webhook_delivery.sql — status CHECK	the CHECK constraint omits the status the code writes	the allowed set is `('pending','in_flight','delivered','failed')` while `delivery._finish` writes `failed_permanent`.
64	Major	migrations/0042_webhook_delivery.sql — TIMESTAMP columns	timestamps are created without time zone	`created_at`, `next_attempt_at` and `updated_at` are `TIMESTAMP`, so the aware values the code produces are stored with their offset discarded and compared against `now()` in the server's local zone.
65	Major	migrations/0042_webhook_delivery.sql — organizations.webhooks_enabled	a new NOT NULL flag column is added that no code reads	the ALTER TABLE introduces `webhooks_enabled DEFAULT FALSE`, but neither the dispatcher nor the API consults it, so the flag is dead and the feature is on for everyone.
66	Minor	migrations/0042_webhook_delivery.sql — ALTER TABLE organizations	the organizations ALTER shares a transaction with the table creates	the ALTER takes an ACCESS EXCLUSIVE lock on a hot table for the duration of the whole migration transaction, blocking all reads and writes to organizations.
67	Minor	migrations/0042_webhook_delivery.sql — indexes	no index supports the claim query's ordering	`_claim_batch` filters on status and orders by `next_attempt_at`, but only a single-column index on `status` exists, so the sort is done on the whole pending set.
68	Minor	migrations/0042_webhook_delivery.sql — indexes	no index supports the deliveries listing query	`list_deliveries` filters on `endpoint_id` and orders by `created_at desc` with neither column indexed, so the listing scans the deliveries table.
69	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	no uniqueness on (org_id, url)	the same URL can be registered repeatedly for one org, causing duplicate POSTs of every event to the same receiver.
70	Minor	migrations/0042_webhook_delivery.sql — file	no rollback path is provided	the migration creates two tables and alters a third with no down section, so a failed deploy has to be reversed by hand.
71	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test captures the body and the signature but never checks one against the other	it asserts only that the header starts with `sha256=`, so the mismatch between the signed bytes and the transmitted bytes passes unnoticed even though both are captured.
72	Major	tests/webhooks/test_delivery.py — test_verify_accepts_signature_produced_by_sign	the round-trip test is tautological	`verify` calls `sign` internally, so the assertion holds for any implementation of `sign` and pins nothing about the on-the-wire format.
73	Major	tests/webhooks/test_delivery.py — module	the retry and worker logic has no tests	`deliver`, `_claim_batch`, `_acquire_lock`, `_finish` and `run_worker` — where the retries, locking and status transitions live — are never exercised, only the two pure helpers and `send_once`.
74	Major	tests/webhooks/test_delivery.py — module	the new API routes are untested	nothing covers `create_webhook_endpoint`, `list_webhook_endpoints` or `list_deliveries`, so the URL validation and the missing org scoping are unexercised.
75	Minor	tests/webhooks/test_delivery.py — test_max_attempts_matches_documented_limit	the test asserts a constant against a literal	`assert MAX_ATTEMPTS == 5` restates the source line it imports and cannot fail for any behavioural reason.
76	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the test pins exact delays and so forbids the documented jitter	parametrising `(1,2),(2,4),(3,8),(4,16)` with exact equality means adding the jitter the docs promise turns the test red.
77	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the secret test checks shape only	prefix and length assertions pass equally for a CSPRNG and for a constant string, so nothing detects the use of `random`.
78	Minor	tests/webhooks/test_delivery.py — FakeEndpoint / FakeDelivery	hand-rolled stand-ins replace the ORM models under test	using plain classes with class attributes means the detached-instance behaviour, column types, and JSONB round-tripping of the real models are never exercised.
79	Minor	tests/webhooks/test_delivery.py — module	no test asserts the statuses the code writes are accepted by the schema	nothing inserts a `failed_permanent` row, so the CHECK-constraint mismatch survives a green suite.
80	Minor	tests/webhooks/test_delivery.py — test_send_once_propagates_connection_errors	the test asserts httpx's own behaviour, not the code's	`send_once` contains no error handling, so the test only confirms that MockTransport's raised `ConnectError` travels up an `await`.
81	Major	docs/webhooks.md — "Only https:// URLs are accepted"	the documented URL restriction is not what the code enforces	the validator accepts any scheme beginning with `http`, so plaintext endpoints are registrable despite the stated https-only rule.
82	Major	docs/webhooks.md — "it cannot be read back afterwards"	the documented secrecy guarantee is false	`GET /v1/settings/webhook-endpoints` returns `signing_secret` for every endpoint.
83	Major	docs/webhooks.md — "a 4xx is permanent and we stop immediately"	the documented 4xx behaviour contradicts the retry loop	`deliver` retries every non-2xx status up to MAX_ATTEMPTS.
84	Major	docs/webhooks.md — "the HMAC-SHA256 of {timestamp}.{raw_request_body}"	the documented signing input does not match sign()	`sign` HMACs a re-serialised, key-sorted JSON string with no timestamp prefix, so a customer following the docs will never reproduce our signature.
85	Major	docs/webhooks.md — "reject requests whose timestamp is more than five minutes old"	the documented replay defence cannot work	because the timestamp is outside the MAC, an attacker replaying a captured body can set the header to the current time and still pass verification.
86	Major	docs/webhooks.md — "returns the most recent attempts for an endpoint belonging to your organization"	the documented ownership scoping is not implemented	`list_deliveries` never filters by `org_id`, so the endpoint returns attempts for any endpoint id.
87	Minor	docs/webhooks.md — "backoff is exponential with jitter"	the documented jitter does not exist	`backoff_for` returns a fixed `2**attempt` seconds.
88	Minor	docs/webhooks.md — "delivery is at-least-once, so deduplicate on event_id"	the at-least-once claim is not backed by the code	enqueue failures are swallowed in the dispatcher and the unique index on `event_id` rejects fan-out rows, so events can be dropped outright, and `event_id` is not present in the POSTed body to deduplicate on.
89	Minor	docs/webhooks.md — "we POST every subscribed event to it"	the documented event coverage overstates the wiring	only the three types in `WEBHOOK_EVENT_TYPES` reach the webhook path, regardless of what an endpoint subscribes to.
90	Minor	docs/webhooks.md — file	the docs omit behaviour the code has	nothing documents the 30-second request timeout, the redirect-following, the `in_flight` state visible in the deliveries API, or the per-org `webhooks_enabled` flag the migration introduces.
