n	severity	file	title	what_is_wrong
22	Major	app/webhooks/models.py — WebhookEndpoint.to_dict()	`signing_secret` is returned by the list endpoint as well as creation	`to_dict()` always includes the secret and `list_webhook_endpoints` returns it for every endpoint, so the secret is readable on demand by any org member, contradicting the documented "it cannot be read back afterwards".
23	Major	app/events/dispatcher.py — dispatch()	a failed enqueue is swallowed and the webhook is lost forever	The event row is already committed when `enqueue_for_event` runs in its own transaction, and its failure is only logged at warning level with no outbox or retry, so the documented at-least-once guarantee does not hold.
24	Major	app/events/dispatcher.py — dispatch()	an exception from an in-process subscriber prevents webhook enqueue	`await subscriber(envelope)` runs before the webhook block and is unguarded, so one failing subscriber silently drops the outbound webhook for an event that was already persisted.
25	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	the hardcoded allowlist contradicts the documented "every event type we emit"	Only three types can ever reach the webhook path, so an endpoint registered with empty `event_types` receives nothing for any other event the system emits.
26	Major	app/webhooks/signing.py — verify()	the signature comparison is not constant time	`expected == signature` short-circuits on the first differing byte, leaking timing information to a caller probing signatures — while the docs instruct customers to use a constant-time comparison.
27	Major	app/webhooks/delivery.py — enqueue_for_event()	`next_attempt_at` is set with naive `datetime.utcnow()`	The value has no tzinfo while `_claim_batch` compares against a tz-aware `datetime.now(timezone.utc)`, so the comparison depends on the driver's coercion and can mis-order or exclude rows.
28	Major	app/webhooks/models.py vs migrations/0042_webhook_delivery.sql	column types disagree on timezone	The ORM declares `DateTime(timezone=True)` while the migration creates plain `TIMESTAMP` columns defaulted with `now()`, so offsets are dropped and DB-side defaults record server-local time.
29	Major	app/webhooks/delivery.py — _finish()	`session.get` result is used without a None check	If the delivery row was deleted (for example by the endpoint's ON DELETE CASCADE), `row.status = status` raises AttributeError on None and the delivery is left `in_flight`.
30	Major	app/webhooks/delivery.py — deliver()	a missing endpoint row is not handled	`session.get(m.WebhookEndpoint, delivery.endpoint_id)` can return None for a deleted endpoint, and `send_once` then dereferences `endpoint.signing_secret`, raising inside the loop rather than failing the delivery.
31	Major	app/webhooks/delivery.py — deliver()	the endpoint's `active` flag is not rechecked at send time	Only `enqueue_for_event` filters on `active`, so a delivery already queued keeps being retried for minutes after a customer deactivates the endpoint.
32	Major	app/webhooks/delivery.py — send_once()	signature and timestamp headers are logged at info level	`log.info("POST %s headers=%s", endpoint.url, headers)` writes the full header dict, putting per-request authentication material and the customer URL into shipped logs.
33	Major	app/webhooks/delivery.py — _finish()	the remote response body is stored untruncated	`response.text` from an untrusted endpoint goes straight into `response_body`, so a customer can push arbitrarily large content into the database on every attempt.
34	Major	tests/webhooks/test_delivery.py — test_send_once_posts_the_signed_payload	the test never verifies the signature against the body it captured	It only asserts the header starts with `sha256=` and is 64 hex chars, so the serialization mismatch between `sign()` and the httpx-encoded body passes the test that claims to cover signed posting.
35	Major	tests/webhooks/test_delivery.py — module scope	the retry loop, claiming, locking and enqueue paths have no tests	Only the pure helpers and `send_once` are exercised, so `deliver`, `_finish`, `_claim_batch`, `_acquire_lock`, `run_worker` and `enqueue_for_event` — where every state transition lives — are entirely uncovered.
36	Major	docs/webhooks.md — "deduplicate on `event_id`"	the delivered request contains no event id	`send_once` posts `delivery.payload` (the raw event payload) with no envelope and no id header, so a consumer has nothing to deduplicate on.
37	Minor	docs/webhooks.md — Retries section	the documented jitter does not exist	`backoff_for` returns exactly `2**attempt` seconds, so all endpoints retry in lockstep after an outage rather than with the documented jitter.
38	Minor	app/api/routes/settings.py — list_deliveries()	`limit` has a lower bound but no upper bound	`Query(50, ge=1)` lets a caller pass `limit=10000000`, so a single request can pull an unbounded result set out of the deliveries table.
39	Minor	migrations/0042_webhook_delivery.sql — organizations.webhooks_enabled	the new flag is never read by any code in the change	The migration adds `webhooks_enabled BOOLEAN NOT NULL DEFAULT FALSE`, but neither the dispatcher nor `enqueue_for_event` consults it, so webhooks fire for orgs the column says are disabled.
40	Minor	app/api/routes/settings.py — create_webhook_endpoint()	`event_types` values are not validated against known event types	Any string is accepted and stored, so a typo like `invoice.payed` silently subscribes the endpoint to an event that will never fire.
41	Minor	app/api/routes/settings.py — EndpointIn	the request model accepts unknown fields	`BaseModel` without `extra="forbid"` silently ignores extra keys, so a client typo in a field name is accepted with a 201 and different behaviour than requested.
42	Minor	app/api/routes/settings.py — create_webhook_endpoint()	no bound on endpoint count, URL length or `event_types` size	Nothing limits how many endpoints an org registers or how large the stored URL and JSONB list are, so a single caller can grow the table and the per-event fan-out without limit.
43	Minor	app/webhooks/delivery.py — run_worker()	batch concurrency is unbounded and untimed as a whole	`asyncio.gather` fires all 100 claimed deliveries at once with no semaphore and no overall deadline, so a slow set of endpoints holds 100 sockets for 30 seconds each per attempt.
44	Minor	app/webhooks/delivery.py — enqueue_for_event()/_claim_batch()	synchronous DB work runs inside async functions	`session_scope()` is a blocking context manager called from coroutines, so every query stalls the event loop that the delivery tasks share.
45	Minor	app/events/dispatcher.py — dispatch()	the webhook enqueue catches bare `Exception`	Any programming error inside `enqueue_for_event` — a TypeError, a bad attribute — is downgraded to a warning line, hiding real bugs behind what looks like a transient delivery problem.
46	Minor	app/webhooks/models.py — STATUSES	the status tuple is declared but never enforced	Nothing validates writes against `STATUSES`, and it also disagrees with the migration's CHECK list, so it documents a contract no code applies.
47	Minor	app/webhooks/models.py — WebhookDelivery.updated_at	`updated_at` has no `onupdate`	It is only refreshed where `_finish` sets it by hand, so any other write to the row leaves a stale timestamp.
48	Minor	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_status	the index does not match the claim query	`_claim_batch` filters on `status` and `next_attempt_at` and orders by `next_attempt_at`, but only `status` is indexed, so the queue scan sorts a large low-cardinality bucket on every poll.
49	Minor	migrations/0042_webhook_delivery.sql — webhook_endpoints	no index on `org_id`	Both `list_webhook_endpoints` and `enqueue_for_event` filter on `org_id`, which is only a foreign key and gets no index in Postgres by default.
50	Minor	migrations/0042_webhook_delivery.sql — webhook_deliveries.event_id	`event_id` has no foreign key to the events table	The column is a bare BIGINT while every other id here is a real reference, so delivery rows can outlive or never match an event.
51	Minor	migrations/0042_webhook_delivery.sql — whole file	the migration has no down/rollback path	Only the forward `BEGIN … COMMIT` block exists, so reverting the release requires hand-written SQL to drop the two tables and the `organizations` column.
52	Minor	app/webhooks/signing.py — SECRET_BYTES	the constant names bytes but is used as a character count	`SECRET_BYTES = 32` is fed to `range()` over an alphanumeric alphabet, so it produces 32 characters, and the test asserting `len(secret) == prefix + SECRET_BYTES` locks in the misnamed semantics.
53	Minor	app/webhooks/signing.py — verify()	`verify` takes no timestamp and cannot enforce freshness	Its signature accepts only secret, payload and signature, so the replay window the docs require of consumers cannot be implemented with the helper the project ships.
54	Minor	app/webhooks/models.py — WebhookEndpoint.signing_secret	the shared secret is stored in plaintext	The column is a plain `TEXT` with no encryption or hashing, so a read-only database compromise yields every customer's signing key.
55	Minor	tests/webhooks/test_delivery.py — test_max_attempts_matches_documented_limit	the test asserts a constant against a literal	`assert MAX_ATTEMPTS == 5` cannot fail for the reason its name claims, because it never exercises that five attempts are actually made.
56	Minor	tests/webhooks/test_delivery.py — test_backoff_grows_exponentially	the test pins the undocumented no-jitter behaviour	It asserts exact equality with 2, 4, 8, 16 seconds, so the documented jitter can never be added without the test failing, and attempt 0 and attempt 5 are untested.
57	Minor	tests/webhooks/test_delivery.py — FakeEndpoint/FakeDelivery	hand-rolled fakes stand in for the project's own ORM models	Class-attribute stubs never expire or detach, so the detached-instance behaviour that breaks `deliver` in production is invisible to the suite.
58	Minor	tests/webhooks/test_delivery.py — module scope	the new HTTP routes have no tests	Nothing covers URL rejection, the 201 body, or org scoping of `list_deliveries`, so the API surface added by this change is unverified.
59	Minor	tests/webhooks/test_delivery.py — test_new_signing_secret_has_prefix_and_length	the secret test checks only shape	It asserts prefix and length, which a predictable `random`-based generator satisfies exactly as well as a CSPRNG one.
60	Minor	app/api/routes/settings.py — create_webhook_endpoint()	no role check on a settings-mutating route	`current_user` only establishes identity, so any member of an org can register a destination that receives all of that org's invoice and subscription events.
