cluster_id	n	member_ids	claim
BULK-11	4	F0239,F0320,F0489,F0502	Rejected rows are reported only as an integer count with no row identity or reason, and the staging rows that would identify them are deleted in the same request.
BULK-12	3	F0003,F0064,F0131	The change calls `prisma.importStaging` and `prisma.orgActivity` and ships raw DDL, but no Prisma schema declaring those models or the `orgId_email` compound unique appears in the diff.
BULK-13	3	F0057,F0123,F0159	`stageRows` and `applyBatch` are module-private and `prisma` is imported as a module-scope singleton with no injection seam, so the staging and promotion logic is reachable from a test only through `runImport` against a real database.
BULK-14	2	F0098,F0242	`parseRows` maps an absent or empty name cell to `""` and `applyBatch`'s `update` branch writes it unconditionally, so an empty name column blanks an existing member's display name.
BULK-15	2	F0278,F0334	`enterSystemOperation` sets `skipAudit = true` on the request-scoped `RequestContext` and nothing ever clears it, so the audit exemption granted for the staging writes persists for the remainder of the request, including the promotion upserts.
BULK-16	2	F0027,F0088	`applyBatch`'s `includes("@")` rejection guard is exercised by no test on either side, and no fixture covers the same email appearing twice within one batch.
BULK-17	2	F0125,F0263	No test in the diff feeds more than one row to anything, so the `CHUNK = 200` loop body executes exactly once and its boundary is never crossed.
BULK-18	2	F0291,F0362	The `staged`, `applied` and `rejected` counters do not reconcile against the uploaded file — rows dropped by `parseRows` and rows never attempted after an early exit are counted nowhere.
BULK-19	2	F0112,F0366	`applyBatch` re-reads `role` out of `import_staging` and writes it into `membership` with no re-validation against `ALLOWED_ROLES`, and the staging column carries no `CHECK`, so the parser's allowlist does not survive the staging round trip.
BULK-20	1	F0087	`src/import/bulk.ts` introduces a new production module with an exported entry point and no test file for it appears in the same diff.
BULK-21	1	F0165	The fields of `ImportSummary` — `staged`, `applied`, `rejected`, `batchId` — are asserted by no test in the diff.
BULK-22	1	F0163	The new `import_staging` and `org_activity` tables and the ORM models they must match are exercised by no test or CI check in the diff.
BULK-23	1	F0574	`parseRows` treats the first line as a header unconditionally, so a file supplied without a header row silently loses its first member.
CTX-01	38	F0001,F0015,F0029,F0042,F0061,F0073,F0092,F0105,F0129,F0142,F0167,F0178,F0203,F0213,F0231,F0245,F0265,F0293,F0307,F0322,F0347,F0363,F0378,F0390,F0403,F0416,F0428,F0439,F0451,F0464,F0477,F0491,F0503,F0516,F0524,F0536,F0549,F0563	`enterSystemOperation()` sets `skipAudit = true` on the live `RequestContext` object held by the `AsyncLocalStorage` frame and nothing ever restores it, so the audit exemption lasts for the whole request instead of the staging write it was granted for.
CTX-02	38	F0013,F0039,F0072,F0082,F0103,F0140,F0152,F0175,F0190,F0202,F0211,F0230,F0243,F0254,F0274,F0290,F0305,F0318,F0332,F0346,F0359,F0375,F0388,F0399,F0413,F0426,F0437,F0448,F0460,F0473,F0486,F0500,F0514,F0522,F0534,F0548,F0559,F0573	`contextSnapshot()` is added and exported with no call site anywhere in the diff, and its `Readonly<RequestContext>` return is a compile-time-only annotation over a shallow spread that provides no runtime immutability.
CTX-03	9	F0024,F0054,F0122,F0158,F0195,F0226,F0258,F0342,F0446	The diff's new and changed production symbols — `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary`, `POST`, and the rewritten `assertAudited` — ship with no test, the only test file being `test/import/parse.test.ts`, which covers `parseRows` alone.
CTX-04	5	F0023,F0052,F0118,F0157,F0225	No test calls the sanctioned routine and then asserts, in the same context immediately after it returns, that the audit invariant still holds, so the suspension's scope is unobserved by the change's tests.
CTX-05	5	F0012,F0182,F0317,F0374,F0431	`docs/import.md` and the `enterSystemOperation` doc comment state guarantees the implementation does not provide — that staging writes are the single exception, that the promotion step runs audited as normal, and that only system operations may call the grant.
CTX-06	1	F0150	`skipAudit` is an ordinary optional field on the exported `RequestContext`, so any caller of `runWithContext` can pass `skipAudit: true` directly and the "only system operations may call this" restriction is enforced by nothing.
CTX-07	1	F0050	`contextSnapshot()` copies `skipAudit` into the snapshot, so restoring a context from a snapshot taken inside a granted scope re-establishes the audit suspension.
DOC-01	11	F0045,F0145,F0216,F0241,F0261,F0282,F0341,F0357,F0394,F0459,F0566	The "Auditing" section of `docs/import.md` states guarantees the shipped code does not provide — that every membership change writes an audit record, that the Prisma middleware refuses any mutating query without one, that the staging writes are the single exception, and that the promotion step runs audited as normal.
DOC-02	2	F0128,F0166	No test in the diff pins the audit behaviour `docs/import.md` asserts — that the promotion step runs audited and that the staging writes are the only exemption.
DOC-03	2	F0081,F0173	The stated rationale for the audit exemption — that staging rows are scratch rows an operator can inspect or discard before they are applied — describes an inspect-before-apply workflow no code path provides, since `runImport` stages, promotes, and deletes within one request.
DOC-04	1	F0562	`docs/import.md` restates the values of `MAX_CSV_BYTES` and `CHUNK` as prose literals ("5 MB per upload", "chunks of 200"), duplicating the constants.
GUARD-01	40	F0002,F0016,F0030,F0043,F0062,F0074,F0093,F0106,F0130,F0143,F0168,F0179,F0204,F0214,F0232,F0247,F0266,F0279,F0295,F0308,F0323,F0335,F0348,F0364,F0377,F0391,F0404,F0417,F0429,F0440,F0452,F0465,F0478,F0492,F0504,F0517,F0525,F0537,F0550,F0564	The hand-written `MUTATIONS` set omits mutating Prisma actions — `createMany` above all, the action `stageRows` itself issues, plus variants such as `createManyAndReturn`, `updateManyAndReturn` and the raw-execute actions — so the new `if (!MUTATIONS.has(action)) return;` makes `assertAudited` exit without any check for those writes.
GUARD-02	17	F0021,F0069,F0076,F0095,F0108,F0248,F0268,F0331,F0384,F0411,F0442,F0485,F0494,F0506,F0518,F0532,F0539	`assertAudited` only throws when `ctx.actorId` is empty and otherwise emits a log line, never writing or verifying an audit record, while its docstring and the "Auditing" section of `docs/import.md` state that every membership change writes an audit record and that the middleware refuses any mutating query not carrying one.
GUARD-03	11	F0051,F0155,F0224,F0281,F0313,F0350,F0383,F0396,F0406,F0436,F0458	The diff materially changes `assertAudited` and adds new exported production symbols (`enterSystemOperation`, `contextSnapshot`, `runImport`, `POST`), but its only test file covers `parseRows`, so no test in the change executes the audit guard at all.
GUARD-04	7	F0049,F0117,F0189,F0249,F0273,F0379,F0461	The audit-skip branch logs at `logger.debug` while audited writes log at `logger.info`, so the record that the audit control was bypassed is emitted below the level production deployments normally retain.
GUARD-05	4	F0086,F0120,F0156,F0257	No test enumerates or pins the membership of the `MUTATIONS` allowlist, so nothing measures the direction in which the new gate fails open.
GUARD-06	3	F0084,F0193,F0256	No test asserts that `assertAudited` refuses the next write in the same request context after `stageRows` returns, so nothing proves the `skipAudit` suspension does not outlive the sanctioned call.
GUARD-07	1	F0121	No test reaches the production call path where the guard is enforced — the Prisma middleware that invokes `assertAudited` is not registered anywhere in the change, so a direct call to the function does not prove the middleware forwards the new actions to it.
GUARD-08	1	F0180	The Prisma middleware and `assertAudited` now each decide independently whether a query is mutating, by different semantics, so the two predicates disagree by construction.
GUARD-09	1	F0223	The "audit skipped" log line omits `actorId` and any batch identifier, so a suspended write cannot be attributed to a principal, while the audited-write line beside it carries `actorId`.
MIG-01	6	F0277,F0302,F0316,F0333,F0402,F0560	`import_staging` has no `org_id` column and no owning foreign key, so tenancy is carried only inside the free-text `batch_id` and no database constraint scopes rows to an org.
MIG-02	5	F0041,F0153,F0191,F0501,F0535	`import_staging.role` is `text NOT NULL DEFAULT 'member'` with no `CHECK` constraint, so the role vocabulary is enforced only by `ALLOWED_ROLES` in `src/import/parse.ts` and the column accepts any string.
MIG-03	4	F0141,F0361,F0389,F0427	`import_staging` has no retention path — no TTL, sweep, or reaper over `created_at` — so rows carrying emails and display names from batches that fail before the happy-path `deleteMany` are retained indefinitely.
MIG-04	2	F0059,F0104	Migration `0058_import.sql` ships no down-migration, so the two tables and two indexes it creates cannot be reverted.
MIG-05	2	F0412,F0463	`org_activity.org_id` and `org_activity.actor_id` declare `REFERENCES` with no `ON DELETE` clause, so they default to `NO ACTION` and block deletion of any org or user that has an activity row.
MIG-06	1	F0126	Nothing in the diff ties the new snake_case tables to the Prisma models the code addresses (`prisma.importStaging`, `prisma.orgActivity`) — no Prisma schema change and no migration-verification step in CI.
MIG-07	1	F0292	`import_staging.display_name` is nullable while `stageRows` always writes `r.displayName`, which `parseRows` guarantees to be a string, so the schema admits a NULL state the application never produces.
PARSE-01	16	F0007,F0025,F0034,F0067,F0136,F0172,F0196,F0208,F0314,F0329,F0344,F0354,F0385,F0435,F0542,F0555	`parseRows` throws an unhandled `TypeError` on an empty or whitespace-only CSV, because the blank-line filter leaves `lines` empty, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length`.
PARSE-02	16	F0068,F0099,F0222,F0237,F0288,F0298,F0345,F0371,F0400,F0414,F0474,F0488,F0512,F0523,F0533,F0541	`cols.indexOf(...)` returning `-1` for an absent header column is never checked and is used directly as a field index, so `f[-1] ?? ""` silently turns a missing or misspelled `email`/`name` column into an empty value for every row instead of rejecting the file.
PARSE-03	14	F0006,F0035,F0078,F0137,F0236,F0275,F0287,F0299,F0386,F0425,F0447,F0496,F0513,F0569	`parseRows` splits the document on `/\r?\n/` before any quote parsing, so `splitLine`'s quote state cannot span a record and an RFC 4180 quoted field containing a newline is torn into two corrupt rows.
PARSE-04	9	F0107,F0144,F0181,F0280,F0453,F0479,F0505,F0526,F0538	The CSV `role` column is validated only against the global `ALLOWED_ROLES` allowlist, which includes `owner`, and `applyBatch` writes it on both the create and update branches, so an actor admitted to the route as `admin` can grant or overwrite `owner` — including on their own membership — with no check against the actor's own rank.
PARSE-05	4	F0014,F0040,F0360,F0487	The role is compared against `ALLOWED_ROLES` case-sensitively while the email is normalised with `.toLowerCase()`, so a capitalised spelling such as `Admin` fails the membership test and falls back to `member`.
PARSE-06	3	F0055,F0161,F0260	`test/import/parse.test.ts` has no case for degenerate input — empty, header-only, or column-missing CSV — because every test supplies a well-formed header plus at least one well-formed row.
PARSE-07	3	F0083,F0177,F0358	The role vocabulary is spelled out independently in `ALLOWED_ROLES`, in the route's `session.role` comparison, and in the migration, with no shared definition.
PARSE-08	3	F0289,F0321,F0462	`"member"` is both the fallback for an unrecognised or absent role and a legitimate role value, so a coerced row is indistinguishable from a row that genuinely said `member`, and neither the caller nor `ImportSummary` reports the substitution.
PARSE-09	2	F0162,F0201	The quoting tests cover only cases where `splitLine` succeeds (quoted comma, doubled quote) and none of its failure shapes, so the suite advertises RFC 4180 support without exercising a quoted field containing a newline.
PARSE-10	2	F0212,F0450	The role vocabulary is enforced only in `parse.ts`; `import_staging.role` and the membership role column carry no `CHECK` constraint, so any other writer to the table can store a role outside the allowlist.
PARSE-11	1	F0124	The tests stay green under mutations of the code they appear to cover: every fixture uses a lowercase header and exactly one body row, so the header `.toLowerCase()` normalisation and the multi-row `body.map` path are unpinned.
PARSE-12	1	F0197	The missing-column axis is tested for `role` but not for `email` or `name`, leaving the identical `indexOf` pattern on the key column uncovered.
PARSE-13	1	F0192	`displayName` is stored verbatim with no neutralization of spreadsheet formula prefixes (`=`, `+`, `-`, `@`), so CSV formula injection fires at the export boundary.
PARSE-14	1	F0221	`displayName` has no length bound in `parseRows` and the backing column is unbounded `text`, so an arbitrarily long value reaches storage.
ROUTE-01	37	F0008,F0019,F0036,F0048,F0070,F0079,F0100,F0110,F0138,F0147,F0174,F0185,F0218,F0240,F0251,F0270,F0283,F0297,F0311,F0327,F0339,F0353,F0369,F0382,F0398,F0410,F0422,F0434,F0457,F0470,F0484,F0495,F0509,F0529,F0540,F0554,F0571	The 5 MB upload cap in `POST /api/import` is evaluated only after `await req.text()` has buffered the entire body, and it compares `csv.length` — UTF-16 code units — against a constant named `MAX_CSV_BYTES`, so it neither prevents the allocation nor bounds bytes.
ROUTE-02	27	F0020,F0046,F0109,F0146,F0184,F0219,F0252,F0269,F0286,F0301,F0315,F0328,F0340,F0355,F0372,F0397,F0409,F0445,F0456,F0471,F0483,F0510,F0520,F0530,F0545,F0557,F0570	The new `POST /api/import` endpoint ships with no rate limiter or concurrency bound, while each accepted request costs a multi-megabyte parse, a chunked insert, and one database round trip per CSV row.
ROUTE-03	14	F0018,F0033,F0077,F0111,F0187,F0217,F0312,F0370,F0381,F0423,F0454,F0498,F0556,F0568	`batchId` is built from the unvalidated client-supplied `x-request-id` header and is the sole predicate for `applyBatch`'s `findMany` and the cleanup `deleteMany` against an `import_staging` table that carries no tenancy column, so two requests choosing the same header value read and delete each other's staged rows.
ROUTE-04	8	F0053,F0085,F0119,F0160,F0194,F0227,F0259,F0343	The route's 401/403 authorization gate ships with no test on either the deny side or the allow side, and nothing asserts that a denied request performed no write.
ROUTE-05	3	F0114,F0151,F0220	The handler reads the raw request body with no `Content-Type` allowlist, no `Origin`/`Sec-Fetch-Site` check, and no CSRF token, so a cross-origin HTML form can issue this state-changing request as a CORS simple request.
ROUTE-06	3	F0058,F0127,F0199	The upload size limit's 413 branch and its boundary values are exercised by no test in the change.
ROUTE-07	2	F0430,F0493	An `admin` caller can assign the `owner` role and rewrite the role of existing memberships through the import, because the route admits `admin`, `ALLOWED_ROLES` accepts `owner`, and `applyBatch` upserts the role with no check against the acting session's own privilege.
ROUTE-08	1	F0115	The closed role vocabulary is spelled out independently in three places — the route's authorization gate, `ALLOWED_ROLES` in `parse.ts`, and the migration's `role` column default — with nothing tying them together.
ROUTE-09	1	F0183	The only durable record of the import is a single free-text aggregate `orgActivity.create` written after `runImport` returns, with no transaction spanning the membership upserts and that row.
ROUTE-10	1	F0200	The change adds a new HTTP endpoint and two new tables with no manual test plan artifact and no down/rollback path for the migration.
ROUTE-11	1	F0229	The 5 MB upload limit is stated independently in the `MAX_CSV_BYTES` constant and in `docs/import.md`, with the doc restating the value rather than deriving it, so the two can drift.
ROUTE-12	1	F0490	`org_activity.detail` stores the applied/rejected counts as a rendered sentence rather than as structured fields, so the activity feed cannot filter, aggregate, or re-render them.
TEST-01	14	F0272,F0304,F0330,F0368,F0424,F0472,F0482,F0499,F0511,F0519,F0531,F0546,F0558,F0572	The new exported production symbols `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary` and the route `POST`, together with the materially changed audit guard `assertAudited`, have no test anywhere in the diff, whose only test file covers `parseRows`.
TEST-02	3	F0026,F0198,F0228	The role allowlist's only deny fixture is the distant value `superuser` and no fixture sits adjacent to the implemented boundary, so case-variant inputs such as `Admin` that `ALLOWED_ROLES.includes` silently downgrades to `member` are untested.
TEST-03	3	F0060,F0091,F0264	The diff adds `test/import/parse.test.ts` as the first file under `test/import/` without touching any test-runner or CI configuration, so it carries no evidence the new tests are invoked by the authoritative gate.
TEST-04	2	F0056,F0090	The CSV quoting tests exercise only well-formed input, leaving the parser's malformed-quote cases — an unterminated quote, and a newline inside a quoted field that `csv.split(/\r?\n/)` tears into two rows before `splitLine` sees it — untested.
TEST-05	1	F0028	The tests assert against hand-copied role string literals rather than importing the module-private `ALLOWED_ROLES`, so adding a value to the allowlist leaves the whole suite green.
TEST-06	1	F0089	No test covers an absent or misspelled `email` column, for which `cols.indexOf("email")` returns -1 and `parseRows` yields `email: ""` for every row, while the missing-column case is tested only on the benign `role` axis.
TEST-07	1	F0164	Only `owner` is asserted to survive the role allowlist, leaving the other allowed values unasserted on the allow side.
